0,1,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,30.54B,44.75
1,2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,2.67B,-
2,3,AAAU,Perth Mint Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-
3,4,AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,China,36.17M,-
4,5,AACQU,Artius Acquisition Inc.,Financial,Shell Companies,USA,-,-
5,6,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-
6,7,AAL,American Airlines Group Inc.,Industrials,Airlines,USA,6.40B,-
7,8,AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,30.05M,-
8,9,AAME,Atlantic American Corporation,Financial,Insurance - Life,USA,42.39M,-
9,10,AAN,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,3.85B,-
10,11,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,308.12M,-
11,12,AAON,"AAON, Inc.",Industrials,Building Products & Equipment,USA,3.18B,45.05
12,13,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,10.94B,29.34
13,14,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,1961.83B,34.84
14,15,AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.62B,36.56
15,16,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,89.80M,-
16,17,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,1.55B,-
17,18,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-
18,19,AAXN,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,USA,5.11B,-
19,20,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2.81B,10.75
0,1,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,30.54B,44.75
1,2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,2.67B,-
2,3,AAAU,Perth Mint Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-
3,4,AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,China,36.17M,-
4,5,AACQU,Artius Acquisition Inc.,Financial,Shell Companies,USA,-,-
5,6,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-
6,7,AAL,American Airlines Group Inc.,Industrials,Airlines,USA,6.40B,-
7,8,AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,30.05M,-
8,9,AAME,Atlantic American Corporation,Financial,Insurance - Life,USA,42.39M,-
9,10,AAN,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,3.85B,-
10,11,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,308.12M,-
11,12,AAON,"AAON, Inc.",Industrials,Building Products & Equipment,USA,3.18B,45.05
12,13,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,10.94B,29.34
13,14,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,1961.83B,34.84
14,15,AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.62B,36.56
15,16,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,89.80M,-
16,17,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,1.55B,-
17,18,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-
18,19,AAXN,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,USA,5.11B,-
19,20,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2.81B,10.75
0,1,A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,USA,30.54B,44.75
1,2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,2.67B,-
2,3,AAAU,Perth Mint Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-
3,4,AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,China,36.17M,-
4,5,AACQU,Artius Acquisition Inc.,Financial,Shell Companies,USA,-,-
5,6,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-
6,7,AAL,American Airlines Group Inc.,Industrials,Airlines,USA,6.40B,-
7,8,AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,30.05M,-
8,9,AAME,Atlantic American Corporation,Financial,Insurance - Life,USA,42.39M,-
9,10,AAN,"Aaron's, Inc.",Industrials,Rental & Leasing Services,USA,3.85B,-
10,11,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,308.12M,-
