fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-07-31,USD,-32000000,-25000000,-32000000,-6000000,-161000000,-231000000,-60000000,29000000,199000000,35000000,290000000,None,77000000,-56000000,-33000000,-1000000,-24000000,35000000,25000000,None,None,None
2020-04-30,USD,-20000000,35000000,-53000000,-3000000,25000000,-156000000,-33000000,21000000,101000000,104000000,313000000,-36000000,76000000,-55000000,-126000000,-53000000,65000000,125000000,33000000,65000000,-7000000,97000000
2020-01-31,USD,-1000000,-95000000,-35000000,-3000000,60000000,-61000000,-37000000,-275000000,197000000,-155000000,-59000000,-195000000,79000000,-56000000,-28000000,-32000000,-40000000,27000000,34000000,-40000000,-1000000,-156000000
2019-10-31,USD,-3000000,87000000,-1193000000,-1160000000,596000000,497000000,-1000000,23000000,194000000,-382000000,314000000,-35000000,76000000,-51000000,-47000000,-5000000,-48000000,45000000,30000000,-48000000,-1000000,-383000000
2019-07-31,USD,-3000000,-14000000,-51000000,-1000000,600000000,-582000000,-1000000,10000000,191000000,-391000000,242000000,32000000,55000000,-51000000,-530000000,-10000000,-41000000,29000000,47000000,-41000000,1000000,-390000000
2019-04-30,USD,-17000000,66000000,-56000000,-268000000,600000000,-92000000,-1000000,-14000000,182000000,104000000,252000000,-72000000,53000000,-52000000,-39000000,-9000000,5000000,27000000,39000000,5000000,-7000000,97000000
2019-01-31,USD,-3000000,-87000000,-290000000,-248000000,600000000,-122000000,-13000000,-45000000,504000000,-199000000,213000000,26000000,54000000,-52000000,-57000000,-12000000,-22000000,-250000000,39000000,-22000000,9000000,-190000000
2018-10-31,USD,11000000,104000000,-114000000,-89000000,-210000000,-131000000,-1000000,80000000,195000000,127000000,372000000,44000000,56000000,-47000000,-83000000,-17000000,-56000000,46000000,36000000,-56000000,-11000000,116000000
2018-07-31,USD,-10000000,-12000000,-473000000,-430000000,-315000000,-589000000,-4000000,-72000000,236000000,-865000000,197000000,-55000000,53000000,-48000000,-226000000,-32000000,12000000,-5000000,33000000,12000000,-15000000,-880000000
2018-04-30,USD,-3000000,44000000,-50000000,1000000,-30000000,-114000000,-1000000,57000000,205000000,139000000,303000000,2000000,50000000,-48000000,-35000000,-32000000,-16000000,18000000,48000000,-16000000,-15000000,124000000
2018-01-31,USD,-1000000,-65000000,-67000000,-7000000,135000000,37000000,-28000000,-38000000,-320000000,185000000,215000000,557000000,51000000,-48000000,-22000000,-34000000,-5000000,31000000,60000000,-5000000,24000000,209000000
2017-10-31,USD,-1000000,40000000,-60000000,-2000000,-70000000,-106000000,-1000000,-60000000,177000000,122000000,288000000,48000000,52000000,-43000000,8000000,-15000000,-81000000,38000000,58000000,-52000000,-7000000,115000000
2017-07-31,USD,-1000000,-13000000,-101000000,-57000000,39000000,29000000,-1000000,-88000000,175000000,156000000,228000000,-70000000,51000000,-42000000,32000000,-17000000,-29000000,83000000,43000000,19000000,18000000,174000000
2017-04-30,USD,-1000000,47000000,-43000000,1000000,52000000,-67000000,-1000000,-15000000,164000000,147000000,257000000,-15000000,54000000,-43000000,-75000000,-3000000,-48000000,27000000,43000000,-17000000,1000000,148000000
2017-01-31,USD,-1000000,-34000000,-101000000,-69000000,89000000,-58000000,-12000000,-61000000,168000000,-43000000,116000000,-61000000,55000000,-42000000,-93000000,-26000000,31000000,45000000,32000000,-31000000,-5000000,-48000000
2016-10-31,USD,-79000000,41000000,-78000000,-26000000,25000000,-56000000,-2000000,15000000,126000000,100000000,234000000,47000000,56000000,-38000000,-43000000,4000000,-33000000,12000000,52000000,-52000000,-10000000,90000000
2016-07-31,USD,None,25000000,-24000000,0,27000000,-110000000,-8000000,-39000000,122000000,60000000,199000000,-32000000,60000000,-37000000,-67000000,2000000,19000000,22000000,24000000,None,-5000000,60000000
2016-04-30,USD,-83000000,-1000000,-108000000,-83000000,155000000,30000000,5000000,1000000,91000000,178000000,256000000,8000000,64000000,-37000000,-86000000,13000000,19000000,60000000,25000000,34000000,30000000,208000000
2016-01-31,USD,None,-65000000,-28000000,10000000,80000000,-132000000,2000000,None,123000000,-56000000,104000000,-23000000,66000000,-38000000,-176000000,-13000000,15000000,31000000,38000000,-15000000,-16000000,-72000000
2015-10-31,USD,-1000000,56000000,-275000000,-248000000,262000000,-29000000,3000000,-241000000,143000000,-67000000,237000000,-100000000,60000000,-33000000,1000000,-6000000,-24000000,109000000,27000000,-25000000,-5000000,-72000000
2015-07-31,USD,-2000000,-32000000,-87000000,-66000000,None,-110000000,5000000,None,103000000,-106000000,91000000,-35000000,62000000,-33000000,-82000000,18000000,1000000,8000000,19000000,-15000000,-16000000,-122000000
