fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-6222000000,0,-6799000000,-189000000,6162000000,7688000000,-52000000,None,-2067000000,-19000000,-908000000,None,None,0,1525000000,None,None,660000000,388000000,None,None,-19000000
2020-03-31,USD,417000000,0,-162000000,266000000,741000000,526000000,-1000000,None,-2241000000,196000000,-168000000,None,None,-43000000,-171000000,None,None,1513000000,845000000,None,None,196000000
2019-12-31,USD,1313000000,-903000000,639000000,465000000,-956000000,-1272000000,-1000000,-1812000000,1686000000,-33000000,600000000,2912000000,603000000,-43000000,-272000000,None,73000000,592000000,1139000000,-1699000000,None,-33000000
2019-09-30,USD,236000000,0,-469000000,101000000,-121000000,-366000000,-28000000,-1812000000,425000000,-7000000,828000000,None,746000000,-45000000,-200000000,None,73000000,-343000000,806000000,None,None,-7000000
2019-06-30,USD,-1072000000,0,-1933000000,157000000,1241000000,1179000000,-1000000,-1812000000,662000000,-18000000,736000000,None,489000000,-44000000,-17000000,None,73000000,-415000000,1018000000,None,None,-18000000
2019-03-31,USD,480000000,0,-480000000,345000000,-455000000,-1109000000,-6000000,-1812000000,185000000,62000000,1651000000,None,480000000,-46000000,-608000000,None,73000000,986000000,1305000000,None,None,62000000
2018-12-31,USD,274000000,-622000000,-390000000,345000000,-305000000,-367000000,-16000000,-655000000,1412000000,-28000000,729000000,2073000000,536000000,-46000000,-837000000,None,222000000,462000000,1009000000,-1627000000,None,-28000000
2018-09-30,USD,-140000000,0,-548000000,597000000,680000000,636000000,2000000,-655000000,341000000,9000000,-79000000,None,715000000,-46000000,0,0,222000000,-1135000000,1005000000,None,None,9000000
2018-06-30,USD,637000000,0,-79000000,236000000,-687000000,-1100000000,9000000,-655000000,566000000,-95000000,1084000000,None,463000000,-46000000,-376000000,0,222000000,54000000,952000000,None,None,-95000000
2018-03-31,USD,-199000000,0,-956000000,22000000,-334000000,-841000000,2000000,-655000000,186000000,2000000,1799000000,None,445000000,-48000000,-461000000,0,222000000,1168000000,779000000,None,None,2000000
2017-12-31,USD,661000000,79000000,-557000000,190000000,360000000,75000000,6000000,-587000000,1919000000,-45000000,437000000,1744000000,2017000000,-48000000,-243000000,0,-190000000,1192000000,1408000000,-2184000000,None,-45000000
2017-09-30,USD,874000000,0,184000000,679000000,-204000000,-599000000,12000000,-587000000,661000000,-46000000,369000000,None,0,-48000000,-359000000,0,0,-923000000,1369000000,None,None,-46000000
2017-06-30,USD,-194000000,0,-1404000000,270000000,303000000,-272000000,5000000,-587000000,864000000,12000000,1688000000,None,0,-51000000,-529000000,0,0,468000000,1480000000,None,None,12000000
2017-03-31,USD,-262000000,0,-1849000000,127000000,182000000,-349000000,4000000,-587000000,340000000,52000000,2250000000,None,0,-51000000,-484000000,0,0,1611000000,1714000000,None,None,52000000
2016-12-31,USD,-149000000,307000000,-5702000000,2000000,3874000000,-894000000,-44000000,-321000000,289000000,-72000000,6524000000,None,1818000000,-224000000,0,0,-160000000,1721000000,5731000000,None,None,None
2016-09-30,USD,304000000,None,0,2000000,499000000,0,-57000000,None,737000000,-65000000,5897000000,None,0,-172000000,0,0,0,None,4271000000,None,None,None
2016-06-30,USD,-230000000,None,-1657000000,79000000,1102000000,-605000000,62000000,None,950000000,-49000000,2213000000,None,0,-58000000,-1711000000,0,0,None,1506000000,None,None,-49000000
2016-03-31,USD,-565000000,None,-2114000000,8000000,1170000000,-401000000,15000000,None,700000000,105000000,2620000000,None,0,-61000000,-1525000000,0,0,None,1557000000,None,None,105000000
2015-12-31,USD,1993000000,-338000000,438000000,79000000,196000000,-1292000000,19000000,89000000,7610000000,-626000000,228000000,1560000000,1609000000,-72000000,-1435000000,0,352000000,-2935000000,1530000000,352000000,None,-626000000
2015-09-30,USD,107000000,None,-1337000000,-66000000,1767000000,221000000,8000000,None,1693000000,64000000,1180000000,None,0,-66000000,-1480000000,0,0,None,1482000000,None,None,64000000
2015-06-30,USD,157000000,None,-1493000000,80000000,-146000000,-950000000,16000000,None,1704000000,-96000000,2347000000,None,0,-70000000,-750000000,0,0,None,1730000000,None,None,-96000000
