fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,1622000000,2154000000,1954000000,-332000000,-2405000000,-2067000000,None,None,-2659000000,None,3149000000,81000000,-2486000000,-995000000,254000000,-592000000,10000000,-244000000,None,None,None,-592000000,1542000000,None,-2067000000,-2067000000,None
2020-03-31,USD,8515000000,6314000000,4750000000,3765000000,-2633000000,-2241000000,None,None,-2890000000,None,4622000000,-84000000,-2549000000,1692000000,257000000,-649000000,21000000,-236000000,None,None,None,-649000000,-1004000000,None,-2241000000,-2241000000,None
2019-12-31,USD,11313000000,5398000000,5186000000,6127000000,837000000,414000000,None,None,572000000,None,4736000000,108000000,729000000,662000000,265000000,157000000,24000000,-241000000,None,None,None,158000000,-64000000,None,414000000,414000000,None
2019-09-30,USD,11911000000,5706000000,5397000000,6514000000,841000000,425000000,None,None,557000000,None,4979000000,33000000,808000000,727000000,284000000,132000000,34000000,-250000000,None,None,None,132000000,-228000000,None,425000000,425000000,None
2019-06-30,USD,11960000000,5482000000,5325000000,6635000000,1157000000,662000000,None,None,882000000,None,4872000000,4000000,1153000000,610000000,275000000,220000000,35000000,-240000000,None,None,None,220000000,-152000000,None,662000000,662000000,None
2019-03-31,USD,10584000000,5329000000,4880000000,5704000000,516000000,185000000,None,None,245000000,None,4711000000,141000000,375000000,618000000,271000000,60000000,33000000,-238000000,None,None,None,60000000,-12000000,None,185000000,185000000,None
2018-12-31,USD,10938000000,5284000000,5106000000,5832000000,646000000,319000000,0,0,386000000,0,4601000000,98000000,548000000,683000000,260000000,None,None,None,0,0,0,67000000,-473000000,0,319000000,319000000,None
2018-09-30,USD,11559000000,5508000000,5402000000,6157000000,721000000,341000000,0,0,456000000,0,4820000000,72000000,649000000,688000000,265000000,None,None,None,0,0,0,115000000,-485000000,0,341000000,341000000,None
2018-06-30,USD,11643000000,5419000000,5196000000,6447000000,1035000000,566000000,0,0,769000000,0,4804000000,7000000,1028000000,615000000,266000000,None,None,None,0,-195000000,0,203000000,-411000000,0,566000000,566000000,None
2018-03-31,USD,10401000000,5274000000,4696000000,5705000000,538000000,186000000,0,0,273000000,0,4634000000,107000000,431000000,640000000,265000000,None,None,None,0,195000000,0,87000000,-353000000,0,186000000,186000000,None
2017-12-31,USD,10600000000,5333000000,4577000000,6023000000,691000000,258000000,0,0,424000000,0,4608000000,1000000,690000000,725000000,267000000,None,None,None,0,415000000,0,166000000,-977000000,0,258000000,258000000,None
2017-09-30,USD,10878000000,5160000000,4486000000,6392000000,1270000000,624000000,0,0,1004000000,0,4615000000,38000000,1232000000,545000000,266000000,None,None,None,0,691000000,0,380000000,-709000000,0,624000000,624000000,None
2017-06-30,USD,11105000000,5199000000,4371000000,6734000000,1554000000,803000000,0,0,1291000000,0,4579000000,19000000,1535000000,620000000,263000000,None,None,None,0,-513000000,0,488000000,0,0,803000000,803000000,None
2017-03-31,USD,9624000000,4821000000,4202000000,5422000000,622000000,234000000,0,0,365000000,0,4297000000,21000000,601000000,524000000,257000000,None,None,None,0,119000000,0,131000000,0,0,234000000,234000000,None
2016-12-31,USD,9789000000,34296000000,6605000000,13328000000,13117000000,289000000,0,0,500000000,0,1677000000,None,1027000000,6105000000,264000000,None,None,None,0,730000000,0,211000000,-1476000000,0,6597000000,289000000,None
2016-09-30,USD,10593000000,0,6660000000,0,-9013000000,737000000,0,0,1189000000,0,1732000000,None,1724000000,-1845000000,261000000,None,None,None,0,-83000000,0,452000000,-654000000,0,-4963000000,737000000,None
2016-06-30,USD,10363000000,4567000000,4045000000,6318000000,1742000000,950000000,0,0,1493000000,0,4131000000,-9000000,1751000000,436000000,249000000,None,None,None,0,62000000,0,543000000,654000000,0,950000000,950000000,None
2016-03-31,USD,9435000000,4492000000,3608000000,5827000000,1356000000,700000000,0,0,1117000000,0,4038000000,21000000,1335000000,454000000,239000000,None,None,None,0,0,0,417000000,-218000000,0,700000000,700000000,None
2015-12-31,USD,9630000000,4615000000,3947000000,5683000000,473000000,3281000000,0,0,245000000,0,3822000000,-595000000,1068000000,793000000,228000000,None,None,None,0,1051000000,0,-3036000000,-2580000000,0,3281000000,3281000000,None
2015-09-30,USD,10706000000,4400000000,4307000000,6399000000,1928000000,1693000000,0,0,1709000000,0,3901000000,-71000000,1999000000,499000000,219000000,None,None,None,0,0,0,16000000,-159000000,0,1693000000,1693000000,None
2015-06-30,USD,10827000000,4306000000,4600000000,6227000000,1942000000,1704000000,0,0,1719000000,0,3822000000,21000000,1921000000,484000000,223000000,None,None,None,0,0,0,15000000,344000000,0,1704000000,1704000000,None
