fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,42242000,None,None,None,261209000,-218967000,None,None,29000,12028000,None,None,1980000,15845000,7237000,None,None,-126000,4070000,36192000,None,-218967000,14133000,3886000,None,None,1380000,None,None,None,None,None,None,None,1980000,None,6050000,4252000,None,None,253972000,None,None,None,None,None,None,None,None
2020-03-31,USD,49055000,None,None,22000000,10586000,-211531000,None,270000,29000,19863000,None,None,2027000,16731000,6537000,None,None,-122000,4157000,42871000,None,38469000,19412000,4140000,None,None,6267000,None,None,29000,None,19863000,-276428000,None,6184000,None,6184000,4319000,None,4049000,4049000,None,250000000,None,45127000,49055000,16731000,None,1626259
2019-12-31,USD,53248000,None,None,21655000,11218000,-207928000,None,265000,29000,23662000,None,None,1758000,19965000,7000000,None,None,-33000,4339000,47151000,None,42030000,517000,5014000,None,None,6735000,None,None,29000,None,23662000,-276232000,None,6097000,None,6097000,4483000,None,4218000,4218000,None,249958000,None,44646000,53248000,20482000,None,1598512
2019-09-30,USD,53636000,None,None,2010000,10546000,43090000,None,242000,29000,25252000,None,None,1708000,21558000,6255000,None,None,-20000,4458000,47470000,None,-206817000,19734000,4168000,None,None,6013000,None,None,29000,249907000,25252000,-276189000,None,6166000,None,6166000,4533000,None,4291000,4291000,None,None,None,44111000,53636000,41292000,None,1590739
2019-06-30,USD,53114000,0,None,3070000,7044000,46070000,0,171000,29000,28827000,0,0,1598000,20978000,4440000,0,0,17000,2733000,48783000,0,-203785000,20743000,3992000,0,0,4269000,0,0,29000,249855000,28827000,-276189000,0,4331000,0,4331000,2775000,0,2604000,2604000,0,0,0,43531000,53114000,41721000,0,1590739
2019-03-31,USD,47998000,0,None,2102000,5804000,42194000,0,165000,29000,25590000,0,0,1534000,22154000,3161000,0,165000,12000,2782000,43682000,0,-207609000,15715000,3711000,2643000,0,2996000,0,0,29000,249803000,25590000,-276183000,0,4316000,0,4316000,2808000,0,2643000,2643000,0,0,0,42943000,47998000,37869000,0,1589321
2018-12-31,USD,49367000,0,None,1552000,6771000,-207156000,0,0,29000,26558000,0,0,1910000,27171000,6771000,0,0,0,0,47457000,0,-207156000,14766000,3968000,0,0,6771000,0,0,29000,249752000,26558000,-275988000,0,1910000,0,1910000,0,0,0,0,0,0,0,42245000,49367000,41937000,0,1573691
2018-09-30,USD,54914000,0,None,53276000,5491000,49423000,0,0,28000,30899000,0,0,1638000,30194000,5491000,0,0,0,0,53276000,0,-200278000,17904000,4006000,0,0,5491000,0,0,28000,249701000,30899000,-272680000,0,1638000,0,1638000,0,0,0,0,0,0,0,41475000,54914000,0,0,1613852
2018-06-30,USD,53442000,0,None,51958000,3827000,49615000,0,0.06,28000,32106000,0,0,1484000,29266000,3827000,0,0,0,0,51958000,0,-200034000,17069000,4252000,0,0,3827000,-3.76,0.76,28000,249649000,32106000,-272555000,0,1484000,0,1484000,0,0,0,0,0,0,0,40387000,53442000,0,0,1613268
2018-03-31,USD,52867000,0,None,51340000,3516000,49351000,0,2045000,28000,33225000,None,0,1527000,29115000,3516000,None,None,None,0,51340000,None,-200246000,16758000,4027000,0,0,3516000,-200246000,39025000,28000,249597000,33225000,-272524000,None,1527000,None,1527000,None,None,None,None,None,None,None,39025000,52867000,None,None,1611747
2017-12-31,USD,60387000,0,None,1022000,7736000,-196895000,0,5651000,28000,38970000,5651000,0,1974000,33349000,7736000,None,None,-1330000,0,58413000,19266000,52651000,19891000,4151000,0,0,7736000,-196895000,37765000,28000,249546000,38970000,-272328000,None,1974000,None,1974000,None,None,None,None,None,249546000,None,37765000,60387000,53240000,None,1599210
2017-09-30,USD,58709000,0,None,None,6444000,52265000,0,4428000,28000,40805000,None,0,21216000,32813000,6444000,None,None,-2548000,0,55541000,None,-197230000,18048000,4680000,0,0,6444000,-197230000,36499000,28000,249495000,40805000,-272014000,None,3168000,None,3168000,None,None,None,None,None,None,None,36499000,58709000,50861000,None,1583613
2017-06-30,USD,60463000,0,None,None,4930000,55533000,0,2821000,28000,42982000,None,0,23878000,31652000,4930000,None,None,261000,0,57606000,None,-193910000,21021000,4933000,0,0,4930000,-193910000,34833000,28000,249443000,42982000,-272014000,None,2857000,None,2857000,None,None,None,None,None,None,None,34833000,60463000,52673000,None,1572237
2017-03-31,USD,63229000,0,None,None,4015000,59214000,0,959000,27000,44775000,None,0,27283000,30855000,4015000,None,None,2569000,0,60719000,None,-190178000,24773000,5091000,0,0,4015000,-190178000,32931000,27000,249392000,44775000,-270480000,None,2510000,None,2510000,None,None,None,None,None,None,None,32931000,63229000,55628000,None,1547002
2016-12-31,USD,65748000,0,None,None,8687000,-192279000,0,4100000,26000,46145000,4100000,0,19898000,40584000,8687000,None,None,-2662000,0,63784000,17934000,57061000,17934000,5266000,0,0,8687000,-192279000,30696000,26000,249340000,46145000,-266484000,None,1964000,None,1964000,None,None,None,None,None,249340000,None,30696000,65748000,58518000,None,1513912
2016-09-30,USD,65941000,0,None,None,5675000,-189022000,0,3131000,26000,44971000,None,0,19122000,41893000,5675000,None,None,-2889000,0,64526000,None,-189022000,17707000,4926000,0,0,5675000,-189022000,28285000,26000,249288000,47860000,-262304000,None,1415000,None,1415000,None,None,None,None,None,None,None,28285000,65941000,59600000,None,2000000
2016-06-30,USD,61216000,0,None,None,4362000,-192383000,0,2076000,26000,48982000,None,0,16308000,39419000,4362000,None,None,-5667000,0,59837000,None,-192383000,14929000,5489000,0,0,4362000,-192383000,25851000,26000,249237000,48982000,-261575000,None,1379000,None,1379000,None,None,None,None,None,None,None,25851000,61216000,54348000,None,1684194
2016-03-31,USD,68135000,0,None,None,3587000,-184637000,0,1414000,26000,49193000,None,0,21813000,41646000,3587000,None,None,-1102000,0,65816000,None,-184637000,19494000,4676000,0,0,3587000,0,0,26000,249185000,50295000,-257319000,None,2319000,None,2319000,None,None,None,None,None,None,None,23463000,68135000,61140000,None,2000000
2015-12-31,USD,2525776000,0,None,588459000,1311865000,-180861000,0,None,26000,50678000,763369000,0,10344000,205110000,544352000,505630000,1265968000,None,735869000,251136000,1528427000,-180861000,20566000,46026000,505630000,567893000,38722000,0,0,26000,249133000,50678000,-254984000,None,2458000,None,7886000,None,None,767513000,767513000,None,None,None,23419000,2525776000,205110000,None,2048223
2015-09-30,USD,2810701000,0,None,None,1511112000,-171400000,0,None,25000,59670000,None,0,11596000,178145000,581634000,513049000,None,None,816882000,213659000,1768564000,-171400000,25511000,35514000,513049000,387989000,68585000,0,0,25000,249082000,59670000,-252072000,None,1790000,None,9806000,None,None,929478000,929478000,None,None,None,20977000,2810701000,178145000,None,2000000
2015-06-30,USD,2752402000,0,None,None,1391536000,-173239000,0,None,25000,61702000,None,0,16159000,164356000,581300000,523925000,None,None,669413000,210337000,1856493000,-173239000,18459000,45981000,523925000,140004000,57375000,0,0,25000,249030000,61702000,-252072000,None,7554000,None,8605000,None,None,810236000,810236000,None,None,None,17106000,2752402000,164356000,None,2207369
