fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-8000,-233000,-8000,None,None,10000,None,1062000,-7835000,-883000,-885000,None,195000,None,None,None,254000,5672000,8000,None,None,None
2020-03-31,USD,517000,-291000,469000,517000,None,-192000,-205000,-2381000,-3757000,-3155000,-3432000,-843000,108000,None,13000,None,874000,477000,48000,874000,None,-3155000
2019-12-31,USD,438000,748000,383000,109000,None,-43000,-43000,825000,-1539000,-1581000,-1921000,4938000,107000,None,0,None,-846000,-5329000,55000,-846000,None,-1581000
2019-09-30,USD,-63000,1822000,-186000,-329000,None,0,-201000,2117000,-3523000,610000,796000,1996000,97000,None,None,None,-176000,566000,123000,-176000,None,610000
2019-06-30,USD,-236000,1261000,-273000,-266000,0,-6000,-201000,273000,3289000,-1181000,-902000,-5852000,93000,0,0,0,-281000,602000,37000,-281000,0,-1181000
2019-03-31,USD,-72000,-3868000,-110000,42000,0,-195000,-195000,-3700000,-840000,-5022000,-4717000,-1059000,95000,0,-195000,0,257000,698000,80000,257000,0,-5022000
2018-12-31,USD,-305000,1280000,-376000,0,0,-3299000,-3000,288000,-4290000,-3023000,652000,-692000,111000,0,-3296000,0,38000,4205000,71000,38000,0,-3023000
2018-09-30,USD,-137000,1664000,-140000,0,0,-122000,-18000,1426000,-1155000,928000,1190000,-63000,111000,0,-104000,0,246000,387000,3000,246000,0,928000
2018-06-30,USD,290000,311000,230000,0,0,-31000,0,1136000,-1067000,151000,-48000,67000,105000,0,-31000,0,-225000,718000,60000,-225000,0,151000
2018-03-31,USD,193000,-4220000,179000,0,None,-193000,None,-3548000,-4364000,-4234000,-4220000,-66000,109000,0,-193000,0,-101000,4240000,14000,124000,None,-4234000
2017-12-31,USD,-625000,1292000,-1841000,0,None,-311000,-125000,1433000,-1784000,536000,2688000,1086000,302000,0,-186000,0,1115000,1263000,1216000,529000,None,536000
2017-09-30,USD,-625000,1678000,0,0,None,7000,-29000,1549000,-2125000,1161000,1154000,-311000,0,0,36000,0,586000,1659000,0,253000,None,1161000
2017-06-30,USD,193000,2359000,0,0,None,-1526000,-115000,1673000,-1742000,797000,2323000,-347000,0,0,-1411000,0,333000,1895000,0,158000,None,797000
2017-03-31,USD,-625000,-6280000,0,0,None,-3929000,-296000,-546000,-1318000,-9729000,-5800000,-546000,0,0,-3633000,0,175000,2169000,0,175000,None,-9729000
2016-12-31,USD,-15588000,3012000,-152856000,0,None,-4166000,-546000,-2018000,-1663000,-1309000,2857000,-549000,302000,0,-3620000,0,-5143000,2397000,1216000,-340000,None,-1309000
2016-09-30,USD,None,1313000,-132290000,0,None,-727000,-13000,None,-1071000,2474000,3201000,-36000,0,0,-714000,0,0,2432000,0,563000,None,2474000
2016-06-30,USD,None,775000,-132290000,0,None,-4256000,None,None,-1261000,-2227000,2029000,940000,0,0,-4256000,0,0,2388000,0,-813000,None,-2227000
2016-03-31,USD,-15588000,-4867000,-132290000,-116702000,None,-2329000,-12000,None,-940000,-142898000,-8279000,-287000,0,0,-2317000,0,0,2368000,0,-4553000,None,-142898000
2015-12-31,USD,284841000,-3203000,293908000,29095000,-170841000,-209309000,-5196000,12965000,-74720000,31910000,-52689000,38556000,6157000,-30617000,-2655000,0,-21919000,-16049000,20028000,-3430000,None,31910000
2015-09-30,USD,87659000,10326000,10751000,39450000,89754000,38349000,-20025000,None,-7315000,6737000,-42363000,9450000,4103000,-31468000,88000,0,0,-52958000,116358000,-5969000,None,6737000
2015-06-30,USD,48857000,209000,74280000,30890000,51487000,13515000,-118000,None,13835000,47511000,-40284000,8726000,3031000,-31462000,-6392000,0,4971000,-71841000,5467000,5756000,None,47511000
