fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,4297000,7523000,4826000,-529000,-3031000,-7835000,None,None,-8488000,None,2697000,None,-3226000,-713000,None,-653000,None,None,None,None,None,-653000,-5262000,None,-7835000,-7835000,None
2020-03-31,USD,3952000,7173000,4544000,3952000,-3574000,-3757000,None,None,-3574000,None,2629000,-353000,-3221000,4544000,None,183000,-390000,None,None,None,None,183000,-353000,None,-3757000,-3799000,None
2019-12-31,USD,4127000,6807000,4154000,4127000,-1374000,-1539000,None,None,-1374000,None,2653000,1306000,-2680000,4154000,None,165000,1267000,None,None,None,None,165000,1306000,None,-1539000,-1590000,None
2019-09-30,USD,3834000,5707000,4219000,3834000,-2638000,-3523000,None,None,-2638000,None,1488000,-765000,-1873000,4219000,None,885000,-828000,None,None,None,None,885000,-765000,None,-3523000,-3575000,None
2019-06-30,USD,3898000,6474000,4238000,3898000,2508000,3289000,0,0,2508000,0,2236000,5084000,-2576000,4238000,0,-781000,5035000,None,0,0,0,-781000,5084000,0,3289000,3237000,0
2019-03-31,USD,3903000,5799000,4418000,3903000,-771000,-840000,0,0,-771000,0,1381000,1125000,-1896000,4418000,0,69000,1121000,None,0,0,0,69000,1125000,0,-840000,-891000,0
2018-12-31,USD,4024000,5115000,3977000,4024000,-4224000,-4290000,0,0,-4224000,0,1138000,-3133000,-1091000,3977000,0,None,None,None,0,0,0,66000,-3133000,0,-4290000,-4341000,0
2018-09-30,USD,3934000,6072000,4605000,3934000,-1138000,-1155000,0,0,-1138000,0,1467000,1000000,-2138000,4605000,0,None,None,None,0,0,0,17000,1000000,0,-1155000,-1207000,0
2018-06-30,USD,3916000,5834000,4524000,3916000,-1025000,-1067000,0,0,-1025000,0,1310000,893000,-1918000,4524000,0,None,None,None,0,-0.01,0,42000,893000,0,-1067000,-1119000,0
2018-03-31,USD,4052000,5513000,4214000,4052000,-4114000,-4364000,0,0,-4114000,0,1299000,-2653000,-1461000,4214000,0,None,None,None,0,352000,0,250000,-2653000,0,-4364000,-4415000,None
2017-12-31,USD,4077000,5924000,5728000,4077000,-1560000,-1784000,0,0,-1560000,0,1534000,287000,-1847000,4390000,0,None,None,None,0,1883000,0,224000,801000,0,-1784000,-1887000,None
2017-09-30,USD,4429000,6712000,6606000,4429000,-1998000,-2125000,0,0,-1998000,0,1677000,285000,-2283000,5035000,0,None,None,None,0,1943000,0,127000,27000,0,-2125000,-2177000,None
2017-06-30,USD,4643000,6343000,6343000,4643000,-1442000,-1742000,0,0,-1442000,0,1062000,258000,-1700000,5281000,0,None,None,None,0,-1716000,0,300000,2000,0,-1742000,-1793000,None
2017-03-31,USD,5011000,6528000,6528000,5011000,-1261000,-1318000,0,0,-1261000,0,1841000,256000,-1517000,4687000,0,None,None,None,0,684000,0,57000,256000,0,-1318000,-1318000,None
2016-12-31,USD,4415000,6414000,6414000,4415000,-960000,-1663000,0,0,-960000,0,-3399000,1039000,-1999000,9813000,0,None,None,None,0,2173000,0,703000,1094000,0,-1663000,-1663000,None
2016-09-30,USD,4854000,6032000,6032000,5102000,-930000,-1071000,0,0,-930000,0,3413000,None,-930000,2619000,0,None,None,None,0,0,0,141000,-55000,0,-1071000,-1071000,None
2016-06-30,USD,5654000,6097000,6097000,5654000,-388000,-1261000,0,0,-388000,0,3508000,55000,-443000,2589000,0,None,None,None,0,0,0,873000,55000,0,-1261000,-1261000,None
2016-03-31,USD,4526000,5771000,5771000,4820000,-951000,-940000,0,0,-951000,0,3423000,None,-951000,2348000,0,None,None,None,0,0,0,-11000,0,0,-940000,-940000,None
2015-12-31,USD,24142000,98748000,34733000,24142000,-74606000,-8941000,0,0,-74606000,-65779000,41164000,None,-74606000,-16464000,14217000,None,None,None,0,74048000,0,114000,-89631000,0,-74720000,-8941000,None
2015-09-30,USD,58523000,65935000,30051000,58523000,-7412000,-1980000,0,0,-7412000,-5335000,38986000,None,-7412000,12755000,14194000,None,None,None,0,14194000,0,-97000,0,0,-7315000,-1980000,None
2015-06-30,USD,76519000,62490000,33103000,76519000,14029000,743000,0,0,14029000,13092000,39070000,None,14029000,10183000,13237000,None,None,None,0,13237000,0,194000,0,0,13835000,743000,None
