fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,2715702000,176104000,None,None,1194503000,1521199000,234380000,None,45376000,1805869000,323815000,288801000,1133347000,313057000,534983000,285801000,None,-1442000,507890000,1628987000,None,1056294000,None,196290000,285801000,1119640000,249182000,None,None,45376000,None,1805869000,-619257000,None,621810000,None,1086715000,335705000,None,425140000,659520000,None,None,None,290653000,2715702000,313057000,None,None
2020-03-31,USD,3152955000,183269000,None,None,1706341000,1446614000,217768000,175000000,45376000,1740193000,302319000,288801000,1293058000,551017000,1046831000,646069000,None,-1773000,535736000,2039937000,None,974544000,None,211347000,646069000,1277573000,225762000,None,None,45376000,None,1740193000,-620649000,None,640948000,None,1113018000,357191000,646069000,441742000,659510000,None,None,None,283467000,3152955000,551017000,None,67000000
2019-12-31,USD,3297800000,325872000,None,10131000,1560541000,1737259000,None,None,45376000,2029613000,402309000,736582000,1452130000,57755000,450486000,81216000,81216000,-19000,507001000,1770832000,None,750005000,None,104159000,338360000,1433417000,89959000,None,None,None,None,None,-627940000,None,31887000,None,1526968000,372056000,341030000,None,1110055000,None,None,None,290229000,None,57755000,None,69000000
2019-09-30,USD,3219620000,198216000,None,10017000,1351965000,1867655000,297110000,None,45376000,2139353000,376181000,735782000,1303345000,150261000,601341000,347107000,None,-348000,230347000,1613284000,None,933657000,None,181151000,347107000,1281872000,254234000,None,None,45376000,None,2139353000,-600180000,None,441991000,None,1606336000,374443000,347107000,453514000,750624000,None,None,None,283454000,3219620000,150261000,None,69000000
2019-06-30,USD,3180198000,207066000,None,8992000,1330640000,1849558000,288291000,None,45376000,2101915000,368971000,736202000,17753000,100242000,574680000,347767000,None,-45000,233073000,1560118000,None,906290000,None,167152000,347767000,1292724000,226913000,None,None,45376000,None,2101915000,-575221000,None,443739000,None,1620080000,386989000,347767000,467669000,755960000,None,None,None,277533000,3180198000,100242000,None,69000000
2019-03-31,USD,3237966000,216559000,None,8974000,1424458000,1813508000,279224000,None,45376000,2061651000,362834000,734558000,1318534000,124154000,655065000,408286000,None,-663000,228864000,1595222000,None,862391000,None,170002000,408286000,1301066000,246779000,None,None,45376000,None,2061651000,-563583000,None,462763000,None,1642744000,406559000,408286000,490169000,769393000,None,None,None,270727000,3237966000,124154000,None,69000000
2018-12-31,USD,2826692000,228600000,None,6589000,1065984000,1760708000,267500000,27270000,45376000,2005344000,348079000,733170000,1336192000,15278000,717905000,424752000,81228000,-1087000,229492000,1537208000,None,798938000,None,203460000,338359000,1318470000,293153000,None,None,45376000,None,2005344000,-567847000,None,98222000,None,1289484000,None,424752000,80579000,348079000,None,None,None,278922000,2826692000,15278000,None,71000000
2018-09-30,USD,2698898000,230874000,None,9626000,935392000,1763506000,248102000,27454000,45376000,1945961000,319656000,703437000,1214290000,34986000,615736000,297340000,None,59000,216337000,1431895000,None,829195000,0,200097000,297340000,1196812000,318396000,0,0,45376000,0,1945961000,-500159000,None,116355000,None,1267003000,None,None,71554000,319656000,None,None,None,272269000,2698898000,34986000,None,70000000
2018-06-30,USD,2618950000,224513000,None,9698000,874137000,1744813000,257620000,27816000,45376000,1904309000,330233000,626692000,1158595000,94323000,543904000,272941000,272941000,-238000,206984000,1441529000,None,893608000,0,209778000,272941000,1137428000,270963000,0,0,45376000,0,1904309000,-470909000,None,119232000,None,1177421000,None,None,72613000,330233000,None,None,None,266275000,2618950000,94323000,None,71000000
2018-03-31,USD,2719009000,231340000,None,71414000,962817000,1756192000,241137000,74150000,45376000,1867895000,103685000,625706000,900096000,189410000,721680000,358519000,358519000,297000,207415000,1536984000,20466000,899146000,20466000,195012000,358519000,1132096000,289011000,0,0,45376000,0,1867895000,-422679000,None,117564000,None,1182025000,None,None,None,241137000,None,None,None,265303000,2719009000,209876000,None,72000000
2017-12-31,USD,2692264000,235551000,None,68244000,964260000,1728004000,222592000,68060000,45376000,1819524000,100472000,622948000,903854000,51037000,741668000,368798000,97192000,774000,207687000,1509579000,20385000,869505000,20385000,286022000,271606000,1152135000,304810000,0,0,45376000,0,1819524000,-407713000,None,116499000,None,1182685000,None,None,None,222592000,None,None,None,270043000,2692264000,71422000,None,72000000
2017-09-30,USD,2595004000,245025000,None,87042000,1021048000,1573956000,259146000,63185000,45376000,1644089000,93657000,618171000,905348000,126253000,761902000,372691000,372691000,900000,205456000,1374678000,None,710760000,22893000,177263000,372691000,1048269000,326026000,0,0,45376000,0,1644089000,-379599000,None,151674000,None,1220326000,None,None,None,259146000,None,None,None,263190000,2595004000,149146000,None,72000000
2017-06-30,USD,2548130000,235041000,None,85844000,1006057000,1542073000,260032000,62992000,45376000,1620699000,94185000,527924000,803427000,260335000,746025000,401113000,401113000,118000,200842000,1445382000,None,779108000,22252000,168559000,401113000,994236000,281920000,0,0,45376000,0,1620699000,-380152000,None,138941000,None,1102748000,None,None,None,260032000,None,None,None,256032000,2548130000,282587000,None,72000000
2017-03-31,USD,2624484000,240680000,None,75524000,1124291000,1500193000,268074000,64449000,45376000,1586319000,95660000,526641000,804055000,348490000,856217000,484716000,484716000,-328000,204447000,1531786000,None,732872000,21439000,177302000,484716000,984555000,307052000,0,0,45376000,0,1586319000,-381514000,None,120930000,None,1092698000,None,None,None,268074000,None,None,None,250340000,2624484000,369929000,None,72000000
2016-12-31,USD,2615736000,247672000,None,75485000,1134138000,1481598000,276116000,62427000,45376000,1534983000,62427000,526723000,808054000,308561000,858022000,497829000,497829000,-531000,211271000,1520926000,20519000,707203000,20519000,192465000,351314000,999381000,297766000,0,0,45376000,0,1534983000,-352742000,None,109144000,None,1094810000,None,None,None,276116000,None,None,None,254512000,2615736000,329080000,None,73000000
2016-09-30,USD,2551390000,255195000,None,None,1094294000,1457096000,271566000,62901000,45376000,1515318000,62901000,528634000,855875000,319486000,822728000,496170000,496170000,-72000,213163000,1482352000,None,673267000,20948000,183937000,496170000,957981000,263657000,0,0,45376000,0,1515318000,-353141000,None,72046000,None,1069038000,None,None,None,271566000,None,None,None,249615000,2551390000,340434000,None,73000000
2016-06-30,USD,2541447000,261111000,None,None,1081799000,1459648000,295844000,57645000,45376000,1487672000,57645000,524832000,854352000,242239000,785955000,493507000,493507000,169000,214623000,1472472000,None,673705000,20863000,181735000,493507000,1027635000,234803000,0,0,45376000,0,1487672000,-318875000,None,68409000,None,1068975000,None,None,None,295844000,None,None,None,245306000,2541447000,263102000,None,73000000
2016-03-31,USD,2548767000,268235000,None,None,1130845000,1417922000,306671000,61642000,45376000,1451067000,61642000,524687000,886578000,118905000,824174000,518041000,None,76000,220508000,1441681000,None,625000000,22108000,198435000,518041000,1102233000,244491000,0,0,45376000,0,1450991000,-319271000,None,93656000,None,1107086000,None,None,None,306671000,None,None,None,240750000,2548767000,141013000,None,73000000
2015-12-31,USD,2658875000,275912000,None,6976000,1292257000,1366618000,307481000,69233000,45376000,1403120000,69233000,539475000,878525000,14942000,984776000,610450000,606746000,-517000,225836000,1554514000,22226000,551231000,22226000,378408000,453272000,1138938000,305093000,0,0,45376000,0,1403120000,-321473000,None,63162000,None,1104385000,None,None,None,307481000,None,None,None,240112000,2658875000,37168000,None,73000000
2015-09-30,USD,2335674000,279187000,None,None,992312000,1343362000,162764000,55586000,45376000,1383208000,55586000,536121000,883375000,66912000,829548000,494161000,None,-222000,212217000,1240082000,None,528054000,22334000,98221000,460167000,1052615000,279801000,0,0,45376000,0,1383208000,-321620000,None,68067000,None,1095592000,None,None,None,162764000,None,None,None,236620000,2335674000,89246000,None,73000000
2015-06-30,USD,2354707000,285120000,None,None,1037618000,1317089000,198138000,55862000,45376000,1360619000,55862000,533020000,885015000,91144000,839480000,494858000,None,-66000,211886000,1257806000,None,498949000,22758000,105771000,460816000,1038133000,271260000,0,0,45376000,0,1360685000,-321870000,None,66875000,None,1096901000,None,None,None,198138000,None,None,None,232964000,2354707000,113902000,None,73000000
