fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-697000,23871000,-9676000,1319000,-360356000,-361317000,-2683000,-602014000,68377000,-237998000,132995000,-568661000,572438000,-2683000,1722000,-389874000,-66047000,103017000,10298000,-66047000,None,-237998000
2020-03-31,USD,-7041000,-43584000,-30577000,51000,304213000,296196000,-5877000,-465687000,-280005000,493379000,227760000,-482090000,622674000,-2668000,528000,-442045000,-68420000,479185000,23587000,-68420000,None,493379000
2019-12-31,USD,-23084000,14421000,-23084000,-13313000,-6214000,-35865000,-40000,-509838000,-107057000,-92506000,-33575000,None,533113000,-2351000,-29833000,-658314000,-106264000,144809000,25914000,None,None,None
2019-09-30,USD,-7102000,27227000,-27915000,-1823000,-852000,-28170000,-40000,-522178000,39801000,50036000,106121000,-491081000,514756000,-2369000,-24949000,-478837000,-99260000,114678000,18990000,-99260000,None,50036000
2019-06-30,USD,-1775000,-19611000,-29255000,-3228000,-60890000,-74595000,-12977000,-510007000,42650000,-23949000,79901000,-480529000,502168000,-2351000,-11354000,-463812000,-75645000,110868000,24252000,-75645000,None,-24031000
2019-03-31,USD,-11000,-1854000,-26022000,-2204000,-16575000,-29922000,-12977000,-505225000,56078000,108794000,164738000,-462793000,527382000,-2366000,1996000,-481832000,-50467000,96392000,23807000,-50467000,82000,108876000
2018-12-31,USD,-2957000,-28365000,-70788000,-41913000,127294000,57732000,-65000,-522770000,61743000,-19553000,-6497000,-522767000,463309000,-2057000,-67440000,None,-89376000,108959000,25918000,-89376000,-155000,-19708000
2018-09-30,USD,-3648000,44163000,-148845000,-125055000,24316000,-6781000,-480000,-461070000,43720000,-59411000,96215000,-445562000,458732000,-2075000,-29022000,0,-84127000,79289000,20142000,-84127000,74000,-59337000
2018-06-30,USD,-2184000,-18373000,-25550000,-7835000,-85662000,-139674000,-4939000,-423664000,38501000,-95020000,70204000,-433892000,437890000,-2075000,-49073000,0,-63794000,109872000,15531000,-63794000,-67000,-95087000
2018-03-31,USD,1203000,-17792000,-17950000,-1899000,-10566000,-40245000,-12343000,-417474000,52246000,138381000,196576000,-354080000,462123000,-2111000,-15225000,0,-33591000,87670000,17254000,-33591000,-8000,138373000
2017-12-31,USD,-5630000,-18161000,-19553000,1945000,-3968000,-34498000,-186000,-1553379000,177560000,-75189000,-21138000,-541280000,396957000,-2114000,-28230000,0,-208947000,32363000,15868000,-68577000,-27000,-75216000
2017-09-30,USD,-6594000,36118000,-160140000,-138263000,-36888000,-38652000,-276000,-383940000,25341000,-134127000,64665000,-387394000,386548000,-1945000,457000,0,140370000,73341000,15283000,-69289000,45000,-134082000
2017-06-30,USD,-4345000,-30863000,-14962000,3693000,-83897000,-84660000,-330000,-367123000,36335000,-88193000,11429000,-371799000,365060000,-1946000,1513000,0,71081000,49747000,14310000,-37051000,38000,-88155000
2017-03-31,USD,-1741000,14485000,-10682000,3571000,-13412000,-53587000,-5385000,-347700000,53300000,39910000,104179000,-349324000,382638000,-1957000,-32833000,0,34030000,37110000,12512000,-34030000,19000,39929000
2016-12-31,USD,-3980000,-9803000,-16090000,-577000,1848000,54000,-136000,-1189729000,21631000,-11052000,4984000,-344037000,337683000,-1966000,273000,0,-149826000,56649000,11533000,-57139000,127000,-10925000
2016-09-30,USD,-2914000,32694000,-24865000,-6986000,2307000,-34009000,-2000,-290252000,29464000,77247000,136121000,-245318000,337763000,-1818000,-34496000,0,92687000,31041000,14965000,-47212000,None,77247000
2016-06-30,USD,-1193000,-13860000,20874000,34636000,-24798000,-26447000,22000,-279067000,38501000,123334000,129798000,-234596000,342182000,-1820000,149000,0,45475000,38516000,16867000,-39075000,None,123334000
2016-03-31,USD,-71000,-70032000,891000,15050000,-89036000,-91469000,-716000,None,49687000,103963000,194541000,-191216000,369045000,-1816000,99000,0,6400000,43457000,14088000,-6400000,None,103963000
2015-12-31,USD,3511000,32032000,-74508000,-54880000,71264000,69087000,-417000,-1315426000,21726000,-51970000,-46549000,-542521000,320811000,-1814000,54000,0,-173159000,194713000,23139000,-73310000,None,-51970000
2015-09-30,USD,None,-10256000,-14296000,1301000,-697000,-3899000,66000,None,24194000,-24232000,-6037000,-317611000,321932000,-3340000,72000,0,99849000,18697000,15597000,-42993000,None,-24232000
2015-06-30,USD,None,-31393000,-7692000,4371000,-25810000,-25379000,221000,None,40546000,-38693000,-5622000,-298329000,314174000,-1668000,210000,0,56856000,3224000,12063000,-33844000,None,-38693000
