fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-6019000,14074000,-6019000,-2047000,-662000,18247000,4902000,5095000,-18600000,-3295000,-15523000,514000,6347000,None,14007000,-10829000,-18526000,11546000,3972000,-18575000,None,-3295000
2020-03-31,USD,-3200000,-3709000,-3200000,-413000,8313000,6854000,-1384000,-8201000,-16797000,-4592000,-8246000,-1235000,6251000,None,-75000,-4533000,8836000,2941000,2787000,8836000,None,-4592000
2019-12-31,USD,-5119000,7083000,-5119000,-2312000,-43459000,3010000,46463000,2027000,-35429000,-5274000,-3165000,-315000,6251000,None,6000,-1637000,-5180000,26059000,2807000,-5177000,None,-5646000
2019-09-30,USD,-6159000,-1813000,-6159000,-6463000,424000,249000,-176000,1743000,-8780000,-11666000,-5756000,728000,6234000,None,1000,-3149000,-1303000,2193000,304000,-1169000,55000,-11611000
2019-06-30,USD,-11803000,4849000,-11803000,1671000,11545000,11318000,-227000,3491000,-11366000,6642000,7127000,2322000,6230000,None,7000,-958000,3717000,2391000,13474000,3659000,-114000,6528000
2019-03-31,USD,-9035000,-7277000,-9035000,3777000,28311000,28019000,-299000,-2104000,-10474000,19024000,40000,3691000,6191000,None,7000,7304000,-1589000,2273000,12812000,-1668000,431000,19455000
2018-12-31,USD,6023000,-25183000,-5489000,8074000,17216000,16867000,-349000,-2313000,-8568000,-218000,-11596000,-1349000,7933000,None,120000,12885000,1494000,1192000,19586000,1494000,147000,-71000
2018-09-30,USD,-6023000,6043000,-35805000,-8409000,10141000,8632000,-1576000,3706000,-3732000,-19627000,7546000,-652000,7516000,0,67000,-19674000,16640000,1405000,21373000,16640000,-241000,-19868000
2018-06-30,USD,-6023000,2043000,-23000000,-1764000,-4122000,-5272000,-1151000,4144000,8034000,-6129000,22143000,1053000,7327000,0,1000,-5853000,4987000,4552000,21236000,4987000,773000,-5356000
2018-03-31,USD,36000,-3453000,-12220000,-2597000,15585000,14576000,-1061000,-7922000,2120000,-1708000,-4064000,-1761000,6964000,0,52000,-15761000,6195000,1632000,9659000,6195000,1059000,-649000
2017-12-31,USD,-8000,-3400000,-21041000,-594000,8540000,6370000,-2231000,-214000,5716000,12115000,26786000,491000,6049000,0,61000,-763000,-10080000,5512000,20439000,13181000,-177000,11938000
2017-09-30,USD,6000,482000,-18522000,1314000,12869000,6320000,-6647000,1638000,19375000,-4588000,7614000,-1217000,5403000,0,98000,-14756000,23261000,-2404000,19842000,731000,33000,-4555000
2017-06-30,USD,6000,11361000,-21675000,-2542000,-1297000,-2096000,-1477000,3566000,29071000,16437000,40208000,273000,4627000,0,678000,-2063000,23992000,4332000,19133000,-7393000,-1284000,15153000
2017-03-31,USD,10000,9062000,-8921000,-1377000,-14179000,7650000,-366000,-9339000,19789000,8405000,9676000,-5118000,4302000,0,22195000,-4294000,16599000,2534000,7554000,-16599000,1043000,9448000
2016-12-31,USD,842000,9581000,-9637000,-1370000,-49528000,-21912000,2987000,7226000,14225000,-2813000,28736000,31903000,4262000,0,27616000,784000,-11147000,4950000,9109000,-5735000,-2870000,-5683000
2016-09-30,USD,-847000,-3519000,-5496000,1916000,7937000,8198000,386000,339000,17736000,8933000,6231000,339000,3685000,0,261000,4680000,9767000,-14076000,6565000,-2614000,4685000,13618000
2016-06-30,USD,7784000,12960000,-8742000,1027000,-8256000,-8122000,-366000,1696000,603000,-3635000,13229000,1696000,3284000,0,134000,-1467000,1234000,2896000,17553000,-6743000,396000,-3239000
2016-03-31,USD,-35000,-5822000,-17668000,-1418000,26393000,26478000,None,None,-1330000,17718000,8908000,1415000,2957000,0,85000,6210000,3945000,1533000,16215000,3945000,-264000,17454000
2015-12-31,USD,927000,-1144000,-25963000,-1742000,14083000,14067000,6000,3150000,2679000,-7177000,4719000,1449000,2691000,0,-22000,-6924000,-7531000,3735000,25148000,2233000,-2341000,-9518000
2015-09-30,USD,4111000,5681000,-12487000,-2045000,-10627000,28168000,None,None,2700000,6336000,-9345000,-2165000,2420000,0,38795000,-10895000,0,1447000,14553000,-8533000,2844000,9180000
2015-06-30,USD,-5182000,5132000,-6763000,9465000,22414000,22664000,None,None,6089000,19113000,3212000,-144000,2279000,0,250000,-9140000,0,1219000,11046000,-2223000,-610000,18503000
