fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,13000,-8821000,-11620000,13000,None,5155000,-149000,-3716000,17804000,18700000,25165000,340000,6348000,None,5304000,-12637000,13718000,8413000,11633000,13718000,None,18700000
2020-03-31,USD,12000,9755000,-21804000,61000,None,-8021000,-953000,5571000,21853000,7772000,37597000,-447000,6012000,None,-7068000,1020000,-2789000,2193000,21877000,-2789000,None,7772000
2019-12-31,USD,12000,-16035000,-6322000,1000,6614000,-5020000,-485000,2118000,-91401000,-179850000,-168508000,-4506000,-40400000,-8342000,-2807000,1457000,-11316000,-33131000,6335000,15508000,None,-179850000
2019-09-30,USD,-10027000,3465000,-10027000,11000,6614000,-9994000,-301000,15000,13827000,14690000,34711000,235000,5867000,-8303000,-5246000,-3429000,12887000,2703000,14047000,12887000,None,14690000
2019-06-30,USD,-11994000,9549000,-11994000,7000,6614000,-2425000,-392000,4812000,12961000,6540000,20959000,38000,5846000,-8303000,-5708000,-3263000,-10258000,6086000,8012000,-10258000,None,6540000
2019-03-31,USD,17000,-3971000,-8703000,52000,6614000,-1061000,-588000,-150000,10902000,5149000,14913000,-542000,5914000,-8303000,-473000,2678000,-4725000,4657000,8772000,-4725000,None,5149000
2018-12-31,USD,3431000,-6573000,493000,2000,None,-16428000,-237000,-1866000,12536000,-5271000,10664000,-2607000,4792000,-8328000,-7850000,1473000,-2978000,4021000,2940000,-2978000,None,-5271000
2018-09-30,USD,5076000,-5816000,-3327000,16000,None,-13208000,-52000,294000,14085000,-8589000,7946000,-557000,4430000,-8400000,-4757000,-8471000,2233000,2042000,8403000,2233000,None,-8589000
2018-06-30,USD,6466000,9586000,-11380000,-372000,None,-6441000,-240000,3914000,11691000,7681000,25502000,-1149000,4312000,-8400000,-6200000,-2047000,810000,2299000,17474000,810000,None,7681000
2018-03-31,USD,-5976000,273000,-20421000,-5994000,None,-3607000,-568000,-4636000,4260000,-13284000,10744000,-703000,4134000,-8400000,-3039000,3447000,-2897000,2230000,8451000,-2897000,None,-13284000
2017-12-31,USD,7429000,-9596000,-7846000,2000,None,-10341000,-421000,6451000,15770000,-2058000,16129000,4828000,3990000,-6835000,-3044000,-4879000,-7516000,-989000,15277000,7005000,None,-2058000
2017-09-30,USD,1882000,4606000,-7706000,1000,None,-10436000,-127000,6650000,14717000,-10037000,8105000,126000,3754000,-6828000,-3481000,-2836000,14521000,2005000,9589000,-14267000,None,-10037000
2017-06-30,USD,-7993000,10376000,-18769000,0,None,-2896000,-506000,3112000,13794000,1929000,23594000,35000,3656000,0,-2390000,-7287000,254000,1714000,10776000,1306000,None,1929000
2017-03-31,USD,9333000,4268000,3269000,7000,None,-5965000,-560000,2917000,10217000,7470000,10166000,-320000,3654000,0,-5405000,-8696000,1560000,2603000,6071000,-1560000,None,7470000
2016-12-31,USD,7135000,-6612000,4158000,52000,None,-11483000,-264000,-5553000,11420000,9591000,16916000,-1340000,3521000,-6856000,-4363000,-4156000,7048000,3695000,2977000,10388000,None,9591000
2016-09-30,USD,5573000,-6269000,-2202000,27000,None,-13980000,-1688000,-1540000,16809000,2353000,18535000,256000,3266000,-5820000,-6472000,-3388000,3340000,2784000,7802000,5077000,None,2353000
2016-06-30,USD,-6475000,8497000,-14975000,-7000,None,-3288000,384000,573000,14341000,-5039000,13224000,1393000,3243000,0,-3672000,2183000,8417000,-116000,8493000,-16317000,None,-5039000
2016-03-31,USD,3418000,-15000,-3906000,8000,None,-2002000,745000,4784000,10806000,9340000,15248000,-1957000,3254000,0,-2747000,-4117000,7900000,-623000,7332000,7900000,None,9340000
2015-12-31,USD,2729000,1465000,-5463000,54000,None,-33216000,228000,4928000,12948000,-21955000,16724000,-2079000,3252000,-5892000,-27552000,2264000,-5884000,3073000,8192000,-4199000,None,-21955000
2015-09-30,USD,-19410000,228000,-22848000,33000,None,-9086000,-235000,None,13251000,-7737000,24197000,1263000,3050000,-5965000,-2886000,6300000,1685000,504000,3471000,-399000,None,-7737000
2015-06-30,USD,2790000,2416000,-2897000,30000,None,-683000,1354000,None,11130000,4074000,7654000,197000,2840000,0,-2037000,-2654000,1286000,-703000,5717000,-5572000,None,4074000
