fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,125596000,-109657000,87465000,38131000,22243000,17804000,None,None,22243000,None,15939000,51000,22192000,-125596000,None,4439000,19000,19000,None,None,None,4439000,-1356000,None,17804000,17804000,None
2020-03-31,USD,62000,-122269000,94536000,42947000,27829000,21853000,None,None,27829000,None,15214000,34000,27795000,-137483000,None,5976000,61000,61000,None,None,None,5976000,-439000,None,21853000,21853000,None
2019-12-31,USD,-41000,-107973000,86502000,36072000,21351000,16021000,None,None,21417000,None,14601000,-79000,21430000,-122574000,-66000,5396000,17000,17000,None,None,None,5396000,-189000,None,16021000,16021000,None
2019-09-30,USD,113500000,98991000,86115000,27385000,20376000,13827000,None,None,14387000,None,12476000,2000,14509000,-113500000,None,560000,9000,9000,None,None,None,560000,-131000,None,13827000,13827000,None
2019-06-30,USD,119437000,101981000,89262000,30175000,23302000,12961000,None,None,16736000,None,12338000,48000,17456000,-119437000,None,3775000,31000,31000,None,None,None,3775000,-751000,None,12961000,12961000,None
2019-03-31,USD,-284000,-102821000,88029000,25793000,14491000,10902000,None,None,14491000,None,11001000,-17000,14508000,-113822000,None,2695000,9000,9000,None,None,None,3589000,-540000,None,10902000,10902000,None
2018-12-31,USD,-99079000,-200162000,84545000,27795000,16309000,12536000,13500000,0,16505000,0,11260000,-229000,16538000,-211422000,-196000,None,None,None,0,0,0,3969000,-158000,0,12536000,12536000,None
2018-09-30,USD,-2000,-99747000,80174000,32763000,19612000,14085000,0,0,19612000,0,13190000,41000,19571000,-112937000,0,None,None,None,0,0,0,5527000,-63000,0,14085000,14085000,None
2018-06-30,USD,4000,-96502000,82003000,27585000,14582000,11691000,0,0,14582000,0,13086000,79000,14503000,-109588000,0,None,None,None,0,0,0,2891000,-122000,0,11691000,11691000,None
2018-03-31,USD,99089000,10219000,83692000,15390000,5240000,4260000,0,0,5240000,0,10219000,62000,5178000,0,0,None,None,None,0,0,0,980000,-429000,0,4260000,4260000,None
2017-12-31,USD,104161000,13714000,73085000,31075000,17152000,15770000,13000000,0,17450000,0,13714000,-210000,17362000,0,-298000,None,None,None,0,0,0,1680000,-380000,0,15770000,15770000,None
2017-09-30,USD,113669000,13034000,78010000,35658000,22750000,14717000,0,0,22750000,0,13034000,125000,22625000,0,0,None,None,None,0,0,0,8033000,0,0,14717000,14717000,None
2017-06-30,USD,101278000,11971000,69648000,31678000,19764000,13794000,0,0,19764000,0,11971000,105000,19659000,0,0,None,None,None,0,0,0,5970000,0,0,13794000,13794000,None
2017-03-31,USD,86079000,10530000,61092000,24986000,14528000,10217000,0,0,14528000,0,10530000,71000,14457000,0,0,None,None,None,0,0,0,4311000,0,0,10217000,10217000,None
2016-12-31,USD,91668000,8632000,65158000,26510000,17645000,12547000,12000000,0,17937000,0,8632000,-233000,17878000,0,-292000,None,None,None,0,0,0,5390000,47000,0,12547000,12547000,None
2016-09-30,USD,104568000,10400000,71476000,33092000,22762000,15682000,0,0,22762000,0,10400000,70000,22692000,0,0,None,None,None,0,0,0,7080000,0,0,15682000,15682000,None
2016-06-30,USD,102331000,10561000,69572000,32747000,22275000,14341000,0,0,22275000,0,10561000,77000,22198000,0,0,None,None,None,0,0,0,7934000,0,0,14341000,14341000,None
2016-03-31,USD,85430000,8913000,59691000,25731000,17017000,10806000,0,0,17017000,0,8913000,191000,16826000,0,0,None,None,None,0,0,0,6211000,0,0,10806000,10806000,None
2015-12-31,USD,97229000,9859000,67648000,29581000,19617000,12948000,7500000,0,19778000,0,9859000,-105000,19722000,0,-161000,None,None,None,0,0,0,6830000,-356000,0,12948000,12948000,None
2015-09-30,USD,94394000,10062000,64175000,30185000,20113000,13251000,0,0,20113000,0,10062000,-44000,20157000,0,0,None,None,None,0,0,0,6862000,0,0,13251000,13251000,None
2015-06-30,USD,90305000,9200000,63158000,27117000,18003000,11130000,0,0,18003000,0,9200000,56000,17947000,0,0,None,None,None,0,0,0,6873000,0,0,11130000,11130000,None
