fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-56898000,3599000,-56898000,None,-500000000,-519135000,-1052000,112876000,189960000,-138336000,437302000,None,56642000,-17424000,-1442000,172793000,None,15790000,57132000,None,None,None
2020-03-31,USD,-83132000,-112459000,-83132000,71000,998240000,936858000,-4763000,31426000,43588000,861173000,10908000,None,78579000,-21593000,-35761000,-104899000,None,15370000,83203000,None,None,None
2019-12-31,USD,-302429000,17963000,-302429000,8709000,12000,-11289000,-385000,-36117000,95907000,-155061000,158363000,None,58806000,0,-12054000,-38145000,32443000,27506000,302424000,None,None,None
2019-09-30,USD,-57651000,85820000,-57651000,8714000,10914000,-332298000,17000,-36590000,123669000,-173993000,216385000,None,56308000,-4157000,-339743000,-19300000,-9339000,15817000,57799000,None,None,None
2019-06-30,USD,-42100000,39061000,-42100000,8566000,-19687000,-35390000,3000,20329000,124820000,210389000,287619000,None,53372000,-4305000,-12347000,63057000,-27184000,14164000,50113000,None,None,None
2019-03-31,USD,-60759000,102941000,-60759000,553000,-360625000,-503176000,-116000,-5492000,142500000,-359197000,204542000,None,69885000,-8723000,-134291000,-68742000,-58757000,22207000,61312000,None,None,None
2018-12-31,USD,None,153921000,-88145000,1888000,43987000,-110255000,3000,-38919000,53442000,-73479000,129525000,None,54600000,-8723000,-278154000,-183263000,72124000,17620000,88583000,None,None,None
2018-09-30,USD,None,112489000,-42445000,0,-3611000,-128420000,30000,-2237000,115843000,67757000,237535000,None,55340000,-4421000,2290000,-25002000,-33600000,14702000,43317000,None,None,None
2018-06-30,USD,None,22031000,-27293000,0,3739000,1517000,1948000,62371000,117836000,263106000,289998000,None,56552000,-4468000,1697000,66509000,-45983000,10683000,27341000,None,None,None
2018-03-31,USD,None,-2948000,-33944000,0,-12101000,-26757000,-1164000,8018000,136727000,92206000,153970000,None,71692000,-8930000,754000,-64369000,-14012000,18862000,34474000,None,None,None
2017-12-31,USD,None,-197168000,-178639000,20000,14004000,-14872000,-2069000,-34620000,184500000,411759000,600805000,None,249260000,-17854000,4076000,167548000,36047000,-95767000,189758000,None,None,None
2017-09-30,USD,None,-16477000,-154820000,20000,8878000,-21899000,-68000,-78956000,95996000,106072000,401005000,None,0,-17828000,3142000,116957000,35760000,-746000,160960000,None,None,None
2017-06-30,USD,None,-117040000,-121033000,20000,-42692000,-26844000,-626000,64487000,87049000,131143000,267349000,None,0,-13363000,2281000,41923000,37012000,3500000,122364000,None,None,None
2017-03-31,USD,None,-16417000,-64139000,193000,38490000,19872000,-7631000,-8945000,107960000,-9091000,35081000,None,0,-8902000,1036000,89384000,42207000,6644000,65279000,None,None,None
2016-12-31,USD,None,-119325000,-262044000,20000,-165573000,-217120000,-390000,66239000,62365000,44396000,500874000,None,258387000,-17738000,4532000,-144603000,-41642000,44625000,259559000,None,None,None
2016-09-30,USD,None,75675000,-205402000,0,-130391000,-176303000,-3374000,-10503000,113844000,14667000,409417000,None,0,-17734000,3438000,175678000,87488000,-4484000,204213000,None,None,None
2016-06-30,USD,None,63099000,-139057000,0,-61488000,-41270000,-1454000,-17368000,124600000,1119000,192905000,None,0,-13291000,2222000,236403000,57241000,-7223000,137920000,None,None,None
2016-03-31,USD,None,128525000,0,0,40644000,22952000,-11259000,3806000,158813000,12926000,75301000,None,0,-8850000,0,0,0,151000,89138000,None,None,None
2015-12-31,USD,None,154267000,-253366000,20000,-426322000,-458954000,-380000,62926000,54819000,-13889000,689642000,None,269476000,-17649000,0,-244096000,-21476000,43252000,234747000,None,None,None
2015-09-30,USD,None,184691000,0,0,None,0,None,None,120469000,None,520088000,None,0,-17642000,0,0,0,None,161232000,None,None,None
2015-06-30,USD,None,141648000,0,0,None,0,None,None,149998000,None,330816000,None,0,-13227000,0,0,0,None,114535000,None,None,None
