fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,2501380000,2238535000,1404666000,1096714000,322604000,189960000,None,None,252540000,None,833869000,None,262845000,None,13422000,62580000,None,-13422000,None,None,None,62580000,3117000,None,189960000,189960000,None
2020-03-31,USD,2697882000,2619457000,1525149000,1172733000,151015000,43588000,None,None,60193000,None,1094308000,None,78425000,None,12243000,16605000,None,-12243000,None,None,None,16605000,-5989000,None,43588000,43588000,None
2019-12-31,USD,2112614000,1986475000,1183845000,928769000,186681000,95907000,None,None,120039000,None,802630000,None,126139000,None,7836000,24132000,None,-7836000,None,None,None,24132000,1736000,None,95907000,95907000,None
2019-09-30,USD,2312106000,2139778000,1300180000,1011926000,225491000,123669000,None,None,160740000,None,839598000,-3145000,172328000,None,8443000,37071000,None,-8443000,None,None,None,37071000,-3145000,None,123669000,123669000,None
2019-06-30,USD,2332246000,2161474000,1322808000,1009438000,228257000,124820000,None,None,166210000,None,838666000,4113000,170772000,None,8675000,41390000,None,-8675000,None,None,None,41390000,4113000,None,124820000,124820000,None
2019-03-31,USD,2952036000,2744096000,1647424000,1304612000,275587000,142500000,None,None,190758000,None,1096672000,None,207940000,None,14944000,48258000,None,-14944000,None,None,None,48258000,-2238000,None,142500000,142500000,None
2018-12-31,USD,2105072000,1986652000,1175488000,929584000,118420000,53442000,0,0,69857000,0,802446000,None,118420000,0,-12975000,-45930000,None,None,-62345000,0,0,16415000,-48563000,0,53442000,53442000,None
2018-09-30,USD,2274982000,852686000,1268055000,1006927000,159996000,115843000,0,0,146920000,0,852686000,5755000,154241000,0,13076000,None,None,None,0,0,0,-31077000,-38021000,0,177997000,115843000,None
2018-06-30,USD,2326652000,844018000,1315093000,1011559000,170326000,117836000,0,0,157471000,0,844018000,2785000,167541000,0,12855000,None,None,None,0,0,0,-39635000,-39070000,0,197106000,117836000,None
2018-03-31,USD,2873848000,2661507000,1601564000,1272284000,212341000,136727000,0,0,181017000,0,1059943000,None,212341000,0,-17682000,None,None,None,0,0,0,44290000,-31324000,0,136727000,136727000,None
2017-12-31,USD,2036986000,12926524000,1106910000,3137341000,502429000,184500000,0,0,74137000,0,768656000,None,104913000,0,13136000,None,None,None,0,0,0,-3250000,-127316000,0,316776000,184500000,None
2017-09-30,USD,2182233000,791139000,1234525000,947708000,157314000,95996000,0,0,144000000,0,791139000,745000,156569000,0,13314000,None,None,None,0,0,0,-48004000,-1817000,0,192004000,95996000,None
2017-06-30,USD,2263727000,846377000,1270639000,993088000,149880000,87049000,0,0,135959000,0,846377000,3169000,146711000,0,13921000,None,None,None,0,0,0,-48910000,2865000,0,184869000,87049000,None
2017-03-31,USD,2890838000,0,1542724000,1270684000,184593000,107960000,0,0,166163000,0,1078039000,None,192645000,0,18430000,None,None,None,0,0,0,58203000,-13617000,0,107960000,107960000,None
2016-12-31,USD,2082891000,8704453000,1116202000,3267710000,518225000,62365000,0,0,96911000,0,791334000,None,116230000,0,13365000,None,None,None,0,0,0,34546000,-115761000,0,243139000,62365000,None
2016-09-30,USD,2248855000,794437000,1260650000,988205000,191419000,113844000,0,0,177838000,0,794437000,-2349000,193768000,0,13581000,None,None,None,0,0,0,-63994000,7667000,0,241832000,113844000,None
2016-06-30,USD,2256155000,793573000,1245898000,1010257000,222928000,124600000,0,0,208907000,0,793573000,6244000,216684000,0,14021000,None,None,None,0,0,0,-84307000,-23597000,0,293214000,124600000,None
2016-03-31,USD,2979778000,0,1550569000,0,274122000,158813000,0,0,255179000,0,1047537000,None,302352000,0,18943000,None,None,None,0,0,0,96366000,0,0,158813000,158813000,None
2015-12-31,USD,2033545000,8900238000,1062393000,4422772000,836780000,54819000,0,0,83825000,0,761280000,None,147892000,0,13809000,None,None,None,0,0,0,29006000,-83892000,0,473398000,54819000,None
2015-09-30,USD,2295203000,826862000,1262816000,1032387000,206801000,120469000,0,0,192417000,0,826862000,1276000,205525000,0,14384000,None,None,None,0,0,0,-71948000,0,0,264365000,120469000,None
2015-06-30,USD,2370037000,830240000,1282748000,1087289000,253241000,149998000,0,0,237803000,0,830240000,-3808000,257049000,0,15438000,None,None,None,0,0,0,-87805000,0,0,325608000,149998000,None
