fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-2998000000,-900000000,-5165000000,-602000000,2168000000,-19116000000,-1737000000,-765000000,11253000000,-8010000000,16271000000,2532000000,2752000000,-3656000000,-15891000000,-689000000,-2135000000,2696000000,1565000000,-1373000000,None,-8010000000
2020-03-31,USD,11338000000,-10445000000,9013000000,-472000000,803000000,-20940000000,-222000000,4195000000,11249000000,1384000000,13311000000,-1574000000,2786000000,-3375000000,-18146000000,727000000,5269000000,1278000000,1853000000,9290000000,None,1384000000
2019-12-31,USD,-10473000000,4425000000,-13668000000,-1088000000,231000000,-25407000000,-1395000000,2362000000,22236000000,-8559000000,30516000000,-6069000000,2816000000,-3539000000,-20704000000,-28000000,2015000000,1219000000,2107000000,5917000000,None,-8559000000
2019-09-30,USD,2802000000,21934000000,-798000000,-823000000,-293000000,-21039000000,-213000000,-6319000000,13686000000,-1927000000,19910000000,331000000,3179000000,-3479000000,-17054000000,-785000000,-8768000000,885000000,2777000000,-19320000000,None,-1927000000
2019-06-30,USD,30120000000,-5260000000,27502000000,-618000000,-5026000000,-26804000000,-1195000000,-5203000000,10044000000,12334000000,11636000000,1174000000,2933000000,-3629000000,-16954000000,1502000000,919000000,1457000000,2000000000,-214000000,None,12334000000
2019-03-31,USD,15749000000,-15366000000,13348000000,-38000000,-2506000000,-29457000000,-196000000,4037000000,11561000000,-4954000000,11155000000,-1000000,3040000000,-3443000000,-23312000000,70000000,2964000000,1176000000,2363000000,10675000000,None,-4954000000
2018-12-31,USD,9422000000,-7931000000,5844000000,-223000000,6000000,-13676000000,-1318000000,6589000000,19965000000,18858000000,26690000000,-1256000000,3395000000,-3568000000,-8796000000,-1076000000,5130000000,1558000000,3355000000,12035000000,None,18858000000
2018-09-30,USD,552000000,21854000000,-3001000000,-512000000,-27000000,-22580000000,-260000000,-12423000000,14125000000,-6058000000,19523000000,-358000000,2754000000,-3530000000,-18763000000,1942000000,-9078000000,1830000000,3041000000,-22624000000,None,-6058000000
2018-06-30,USD,7916000000,-649000000,3947000000,-702000000,-6011000000,-31523000000,-1077000000,-5340000000,11519000000,-13088000000,14488000000,988000000,2665000000,-3653000000,-20782000000,1693000000,233000000,2218000000,3267000000,-3946000000,None,-13088000000
2018-03-31,USD,32894000000,-26512000000,28710000000,11000000,-501000000,-26272000000,-152000000,20128000000,13822000000,17568000000,15130000000,-856000000,2739000000,-3190000000,-22429000000,-3241000000,9093000000,710000000,4195000000,28468000000,None,17568000000
2017-12-31,USD,-10517000000,52928000000,-13590000000,-263000000,6971000000,-7501000000,-1038000000,27692000000,20065000000,7202000000,28293000000,-197000000,2745000000,-3339000000,-10095000000,434000000,-5570000000,-32452000000,2810000000,-15230000000,None,7202000000
2017-09-30,USD,-5768000000,16944000000,-9942000000,-309000000,6923000000,-3996000000,-135000000,-8447000000,10714000000,1718000000,15656000000,-2089000000,2484000000,-3270000000,-7514000000,-1709000000,-2093000000,2352000000,3865000000,-13040000000,None,1718000000
2017-06-30,USD,-836000000,-1339000000,-3180000000,-67000000,9237000000,-1769000000,-549000000,-6325000000,8717000000,3414000000,8363000000,-2333000000,2354000000,-3365000000,-7092000000,-236000000,6693000000,3202000000,2277000000,-2002000000,None,3414000000
2017-03-31,USD,-11357000000,-11215000000,-14202000000,130000000,10469000000,465000000,-112000000,550000000,11029000000,-1214000000,12523000000,550000000,2332000000,-3004000000,-6888000000,-198000000,8695000000,2652000000,2975000000,7373000000,None,-1214000000
2016-12-31,USD,-15581000000,4448000000,-19122000000,-207000000,2385000000,-12047000000,-451000000,-1446000000,17891000000,-4113000000,27056000000,-1446000000,2987000000,-3130000000,-10851000000,-580000000,1322000000,2434000000,3334000000,1322000000,None,-4113000000
2016-09-30,USD,-3419000000,14398000000,-7397000000,-1000000,2581000000,-6482000000,-193000000,-902000000,9014000000,2247000000,16126000000,-53000000,2548000000,-3092000000,-5778000000,-301000000,1044000000,777000000,3977000000,-10257000000,None,2247000000
2016-06-30,USD,-1560000000,-4916000000,-4470000000,-101000000,4395000000,-9441000000,-483000000,957000000,7796000000,-3277000000,10634000000,-5056000000,2526000000,-3187000000,-10166000000,450000000,11301000000,3153000000,2809000000,6681000000,None,-3277000000
2016-03-31,USD,-10983000000,-10100000000,-13660000000,-341000000,16321000000,6884000000,-114000000,1358000000,10516000000,4825000000,11601000000,5266000000,2477000000,-2902000000,-6421000000,170000000,10519000000,2548000000,2336000000,724000000,None,4825000000
2015-12-31,USD,-16060000000,-1249000000,-20450000000,-778000000,-1240000000,-11444000000,-373000000,None,18361000000,-4431000000,27463000000,933000000,2954000000,-2969000000,-6862000000,-102000000,5722000000,2670000000,3612000000,3896000000,None,-4431000000
2015-09-30,USD,2556000000,12963000000,-1375000000,-313000000,9801000000,-6299000000,-102000000,5040000000,11124000000,5801000000,13475000000,-6200000000,3119000000,-2964000000,-13034000000,-307000000,417000000,-523000000,3618000000,-6701000000,None,5801000000
2015-06-30,USD,-9245000000,981000000,-11403000000,-115000000,10680000000,-2755000000,-397000000,None,10677000000,830000000,14988000000,-162000000,3084000000,-3053000000,-9985000000,354000000,7312000000,1797000000,2043000000,-1743000000,None,830000000
