fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,82109000,59114000,25942000,82109000,23157000,7656000,None,None,9826000,2101000,32621000,162000,22995000,26493000,13331000,-91000,71000,-13260000,None,None,None,2033000,162000,None,7793000,7656000,None
2020-03-31,USD,96743000,67895000,33613000,96743000,28956000,12068000,None,None,15484000,3312000,17865000,108000,28848000,50030000,13472000,206000,312000,-13160000,None,None,None,1941000,2000,None,13543000,12068000,None
2019-12-31,USD,98947000,68954000,36106000,98947000,30403000,12845000,None,None,124623000,3536000,17126000,410000,29993000,51828000,-94220000,110000,397000,-13399000,None,None,None,3719000,1000,None,120904000,12845000,None
2019-09-30,USD,98362000,67978000,34931000,98362000,30253000,12862000,None,None,16519000,3565000,17421000,-131000,30384000,50557000,13734000,268000,137000,-13597000,None,None,None,3364000,-131000,None,13155000,12862000,None
2019-06-30,USD,84113000,59626000,31101000,84113000,25070000,8916000,None,None,11941000,2933000,15218000,583000,24487000,44408000,13129000,206000,156000,-12973000,None,None,None,1820000,633000,None,10121000,8916000,None
2019-03-31,USD,85319000,56498000,29842000,85319000,28592000,11095000,None,None,15243000,4055000,15119000,-229000,28821000,41379000,13349000,236000,7000,-13342000,None,None,None,3398000,-229000,None,11845000,11095000,None
2018-12-31,USD,82605000,60514000,30861000,82605000,22070000,6673000,0,0,9209000,2440000,-25645000,-21000,22091000,86159000,12861000,None,None,None,0,0,0,1232000,-12832000,0,7977000,6673000,None
2018-09-30,USD,82507000,55232000,28594000,82507000,27150000,10394000,0,0,14271000,3806000,13963000,-125000,27275000,41269000,12879000,None,None,None,0,0,0,3872000,-12833000,0,10399000,10394000,None
2018-06-30,USD,85023000,67774000,28038000,85023000,17101000,3072000,0,0,4413000,1125000,34906000,-148000,17249000,32868000,12688000,None,None,None,0,0,0,1271000,-12665000,0,3142000,3072000,None
2018-03-31,USD,80732000,67812000,27521000,80732000,13129000,-453000,0,0,-691000,-166000,34533000,209000,12920000,33279000,13820000,None,None,None,0,0,0,502000,-13676000,0,-1193000,-453000,None
2017-12-31,USD,81746000,57954000,51743000,81746000,23723000,7077000,0,0,9731000,2594000,38036000,-69000,23792000,19918000,13992000,None,None,None,0,0,0,2986000,-55500000,0,6745000,7077000,None
2017-09-30,USD,82339000,55862000,50904000,82339000,26378000,9094000,0,0,12505000,3351000,34670000,-99000,26477000,21192000,13873000,None,None,None,0,0,0,3263000,0,0,9242000,9094000,None
2017-06-30,USD,77106000,57058000,51927000,77106000,20240000,5519000,0,0,7588000,2008000,32876000,192000,20048000,24182000,12652000,None,None,None,0,0,0,1700000,0,0,5888000,5519000,None
2017-03-31,USD,73792000,50463000,45381000,73792000,23639000,7387000,0,0,10308000,2861000,32477000,310000,23329000,17986000,13331000,None,None,None,0,0,0,2484000,0,0,7824000,7387000,None
2016-12-31,USD,76562000,51452000,47011000,76562000,25196000,8861000,0,0,12408000,3486000,33292000,86000,25110000,18160000,12788000,None,None,None,0,0,0,11538000,-51738000,0,870000,8861000,None
2016-09-30,USD,75976000,50492000,45979000,75976000,24907000,8474000,0,0,11858000,3342000,32500000,-577000,25484000,17992000,13049000,None,None,None,0,0,0,4018000,0,0,7840000,8474000,None
2016-06-30,USD,71819000,48115000,43721000,71819000,23803000,7599000,0,0,10650000,3008000,30401000,99000,23704000,17714000,13153000,None,None,None,0,0,0,182000,0,0,10468000,7599000,None
2016-03-31,USD,70731000,47088000,42539000,70731000,23667000,7651000,0,0,10721000,3027000,29635000,24000,23643000,17453000,12946000,None,None,None,0,0,0,1886000,0,0,8835000,7651000,None
2015-12-31,USD,71530000,47637000,43724000,71530000,24236000,8212000,0,0,-11766000,2961000,30399000,343000,23893000,17238000,36002000,None,None,None,0,0,0,3290000,-39941000,0,-15056000,8212000,None
2015-09-30,USD,71289000,47779000,41422000,71289000,30284000,13562000,0,0,19026000,5432000,32018000,6774000,23510000,15761000,11258000,None,None,None,0,0,0,5155000,0,0,13871000,13562000,None
2015-06-30,USD,66769000,43265000,38477000,66769000,23481000,8708000,0,0,23481000,3536000,27979000,-23000,23504000,15286000,13640000,None,None,None,0,0,0,3656000,0,0,19825000,8708000,None
