fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,CAD,-224903,-209831,-224903,None,-30320,-44245,-22425,None,-910585,-727319,-458171,None,35255,None,-22425,None,-54816,681806,3685,None,None,None
2020-03-31,CAD,-800597,16649,-800597,None,789566,2808215,-22425,None,-945350,1561192,-446426,None,35110,None,2018650,None,-7287,454452,2130,None,None,None
2019-12-31,CAD,-1158563,411012,-1158563,None,749584,749584,-22425,None,-1119575,-461322,-52343,None,36450,None,None,None,66118,52032,357593,None,None,None
2019-09-30,CAD,-669475,27681,-669475,None,772538,772538,800000,None,-1099401,-343074,-446137,None,36449,None,None,None,-16923,606057,2593210,None,None,None
2019-06-30,CAD,-1095324,-52377,-1095324,0,-26821,-26821,800000,0,-596300,-1643289,-521144,0,36389,0,0,0,101630,-60486,69420,0,0,0
2019-03-31,CAD,-828408,-207869,-828410,0,-19572,-19570,800000,0,-947800,-1720680,-872700,0,36340,0,0,0,92874,153750,828410,0,0,0
2018-12-31,CAD,0,216862.44,-2321734.86,-7694900,-14351.08,-6135.06,-12671.95,0,-603828.27,-2594238.89,-266368.97,0,3763.75,0,6492887.52,0,-59916.41,175157.65,2321734.86,0,0,0
2018-09-30,USD,0,-107249.38,-1719027.51,0,-11923.43,-58125.22,-58125.22,0,-384435.71,-2227956.85,-450804.13,0,4379,0,5389115.52,0,-2950.40,39452.36,1719027.51,0,0,0
2018-06-30,USD,0,101775,-8714630,0,-19572,8941497,-95411,0,-1174705,4838,-222029,0,6918,0,0,0,150883,693100,8714630,0,0,0
2018-03-31,USD,None,68697,-3469002,None,None,8941497,-95411,None,-882420,-4063637,-594635,None,4965,None,None,None,-99779,312000,3469002,None,None,None
2017-12-31,USD,0,-142296.53,-10209687.52,-2317575.93,0,17575129.53,-17968.11,-113569.55,-4170023.91,5232784.38,-2132137.90,None,15214.83,0,17592577.92,0,9513.75,2148130.73,7305699.48,None,None,None
2017-09-30,USD,0,-20166.28,-1751466.14,0,0,16219521.94,-119753.78,0,-1167770.41,-2239563.51,-462995.44,None,5820.61,0,94651.85,0,54159.41,664961.23,5862179.23,None,None,None
2017-06-30,USD,0,-35423.83,-5126654.07,0,0,15672965.68,-115541.84,0,-632731.97,6901195.53,-472650.98,None,5540.30,0,12500500.58,0,32417.28,157547.24,4371770.15,None,None,None
2017-03-31,USD,0,-90743.63,-1606532.71,0,0,3134530.16,-112521.60,0,-1171708.86,934171.86,-593735.45,None,3056.41,0,3134440.02,0,12060.39,651896.64,1606700.22,None,None,None
2016-12-31,USD,0,-156129.63,-4111194.37,-180122.79,0,8478196.16,13333.83,-116422.83,-2994124.13,2639699.36,-1727292.75,None,12619.44,0,8464852.66,0,1909.51,1400930.20,3869623.46,None,None,None
2016-09-30,USD,0,0,0,0,0,8665549.55,0,0,0,0,0,None,0,0,0,0,0,0,2129636.68,None,None,None
2016-06-30,USD,0,0,0,0,0,3280464.22,0,0,0,0,0,None,0,0,0,0,0,0,958607.35,None,None,None
2016-03-31,USD,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0,0,0,0,482854.07,None,None,None
2015-12-31,USD,0,28571.63,-3152089.44,493.46,0,3922404.45,-2023269.99,20568.60,-826909.18,-1408727.69,-2179008.74,None,165110.90,0,5945640.49,0,-247560.87,-1298221.23,2652987.5,None,None,None
2015-09-30,USD,0,0,0,0,0,1626736.76,0,0,1321817.50,0,0,None,0,0,0,0,0,0,2469395.42,None,None,None
2015-06-30,USD,0,0,0,0,0,4135115.66,0,0,0,0,0,None,0,0,0,0,0,0,1994717.04,None,None,None
