fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,CAD,0,1377397,35255,-35255,-777117,-910585,None,None,-910585,None,1342142,None,-1377397,-89829,98213,None,13155,-85058,None,None,None,None,551870,None,-910585,-910585,None
2020-03-31,CAD,0,1004088,35110,-35110,-810756,-945350,None,None,-945350,None,968978,None,-1004088,-45983,99484,None,7862,-146199,None,None,None,None,204937,None,-945350,-945350,None
2019-12-31,CAD,0,684449,36450,-36450,-859089,-1119575,None,None,-1119575,None,647999,None,-684449,174763,224036,None,-700518,-928729,None,None,None,None,493603,None,-1119575,-1119575,None
2019-09-30,CAD,0,1358672,36449,-36449,-1055176,-1099401,None,None,-1099401,None,1322223,None,-1358672,-169401,7776,None,260915,95054,None,None,None,None,164217,None,-1099401,-1099401,None
2019-06-30,CAD,0,891410,36389,-36389,-551493,-596300,0,0,-596300,0,855021,0,-891410,-241579,8418,None,241951,191562,0,0,0,0,103548,0,-596300,-596300,0
2019-03-31,CAD,0,1006866,0,0,-902463,-947800,0,0,-947800,0,1133540,0,-1178870,-241579,8990,None,2640,230309,0,0,0,0,-171242,0,-947799,-947800,0
2018-12-31,CAD,0,921793.52,0,0,-921793.52,-603828.27,0,0,-603828.27,0,741280.25,0,-921793.52,-177136.68,-49299.75,None,None,None,0,0,0,0,317965.24,0,-603828.27,-603828.27,0
2018-09-30,USD,0,492582.45,0,0,-492582.45,-384435.71,0,0,-384435.71,0,448751.09,0,-492582.45,-147172.04,-40960.15,None,None,None,0,0,0,0,108146.74,0,-384435.71,-384435.71,0
2018-06-30,USD,0,302.17,0,0,-1434089,-1174705,0,0,-1174705,0,734071,0,-1434089,0,-67235,None,None,None,0,0,0,0,259384,0,-1174705,-1174705,0
2018-03-31,USD,0,1127471,0,0,-1127471,-882420,0,0,-882420,0,808604,None,-1127471,0,-67235,None,None,None,0,0,0,0,245051,0,-882420,-882420,None
2017-12-31,USD,0,3327606.22,0,0,-3327606.22,-3069995.22,0,0,-3069995.22,0,1330410.52,None,-3327606.22,17988.04,0,None,None,None,0,0,0,0,257611,0,-3069995.22,-3069995.22,None
2017-09-30,USD,0,3119101.45,0,0,-3119101.45,-2941434.97,0,0,-2941434.97,0,1212726.84,None,-3119101.45,0,0,None,None,None,0,0,0,0,177666.48,0,-2941434.97,-2941434.97,None
2017-06-30,USD,0,-3175684.54,0,0,3175684.54,2976745.85,0,0,2976745.85,0,662553.03,None,3175684.54,0,0,None,None,None,0,0,0,0,-198938.68,0,2976745.85,2976745.85,None
2017-03-31,USD,0,1246072.26,0,0,-1246072.26,-1171708.86,0,0,-1171708.86,0,1221362.58,None,-1246072.26,0,0,None,None,None,0,0,0,0,74363.40,0,-1171708.86,-1171708.86,None
2016-12-31,USD,0,3289406.91,0,0,-3289406.91,-2994124.13,0,0,-2994124.13,0,701741.33,None,-3289406.91,15004.46,0,None,None,None,0,814.11,0,0,295282.78,0,-2994124.13,-2994124.13,None
2016-09-30,USD,0,0,0,0,0,0,0,0,0,0,781476.12,None,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None
2016-06-30,USD,0,0,0,0,0,0,0,0,0,0,1360154.74,None,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None
2016-03-31,USD,0,0,0,0,0,0,0,0,0,0,548208.52,None,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None
2015-12-31,USD,81641.50,3017638.18,5779.93,0,-3017638.18,-2098493.61,0,0,-2390813.53,0,646629.58,None,-3017638.18,-23784.41,0,None,None,None,0,225087.06,0,-292319.92,1898409.07,0,-826909.18,-2098493.61,None
2015-09-30,USD,51070.22,0,-6759.29,0,0,1321817.50,0,0,1321817.50,0,897484.04,None,0,0,0,None,None,None,0,0,0,0,0,0,0,1321817.50,None
2015-06-30,USD,39221.96,0,7204.03,0,0,0,0,0,0,0,564316.02,None,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None
