fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,5816750000,73841000,None,190754000,3886383000,1930367000,111802000,143225000,315000,1349108000,179962000,None,378567000,726402000,1145307000,275017000,275017000,-220058000,4007941000,1156207000,None,1856526000,0,239051000,2238664000,None,727065000,None,None,315000,None,1349108000,None,None,578761000,None,4660543000,465675000,2238664000,390610000,2741076000,None,None,None,801002000,5816750000,726402000,-1068347000,26135945
2020-03-31,USD,5405612000,75348000,None,198198000,3572862000,1832750000,80933000,142668000,315000,1270196000,102924000,None,385170000,225160000,964205000,283066000,283066000,-220278000,4032435000,697560000,None,1757402000,0,274202000,2148200000,None,538471000,None,None,315000,None,1270196000,-217705000,None,600269000,None,4708052000,500201000,2148200000,379524000,2608657000,None,None,None,782517000,5405612000,225160000,-1026946000,26126232
2019-12-31,USD,5385641000,36495000,None,10401000,3593462000,1792179000,386330000,136712000,310000,1246843000,116566000,40361000,391895000,103029000,1099162000,395781000,395781000,-2818000,4284359000,632531000,None,1715323000,879000,290119000,1984902000,17900000,79683000,None,None,None,None,None,-213871000,None,4753110000,None,4753110000,534805000,1984902000,42526000,2494300000,None,None,None,761715000,None,103908000,None,26000000
2019-09-30,USD,5969234000,81590000,None,92881000,3775942000,2193292000,186599000,141362000,310000,1657088000,220128000,None,403871000,70327000,1096713000,341807000,341807000,-3059000,4533621000,430089000,None,2111702000,2129000,264752000,2031642000,None,613544000,None,None,310000,None,1657088000,-213837000,None,923934000,None,5539145000,568821000,2031642000,460988000,2679229000,None,None,None,752790000,5969234000,72456000,-1020278000,25867423
2019-06-30,USD,5985342000,83162000,None,91993000,3858233000,2127109000,195608000,146091000,310000,1597114000,320530000,None,377962000,110665000,966654000,268686000,268686000,-3312000,4510287000,475300000,None,2043947000,7153000,265489000,2125228000,None,551877000,None,None,310000,None,1597114000,-213728000,None,916593000,None,5510042000,591912000,2125228000,570743000,2891579000,None,None,None,746725000,5985342000,117818000,-954100000,25854140
2019-03-31,USD,6015468000,84731000,None,131541000,3980519000,2034949000,261042000,143601000,310000,1510246000,426335000,None,369126000,154466000,936686000,266230000,266230000,-3569000,4440686000,552532000,None,1950218000,11425000,255100000,2109080000,None,526855000,None,None,310000,None,1510246000,-213690000,None,937519000,None,5462936000,621832000,2139267000,643524000,3043833000,None,None,None,741652000,6015468000,165891000,-903564000,25850498
2018-12-31,USD,5534792000,97689000,None,123386000,3466828000,2067964000,256970000,131038000,306000,1539956000,444090000,40361000,344402000,221501000,817733000,264835000,264835000,-3832000,4462235000,629831000,635000,1970275000,15624000,269320000,2205005000,16400000,552898000,None,None,306000,None,1539956000,-204501000,None,344402000,None,4904961000,None,2205005000,187120000,2649095000,None,None,None,736035000,5534792000,237125000,-860354000,25590293
2018-09-30,USD,5477039000,99860000,None,112750000,3625254000,1851785000,231673000,137035000,306000,1328982000,524513000,0,324740000,214961000,819951000,256184000,256184000,-4108000,4450070000,600647000,1722000,1751925000,18511000,254425000,2280790000,0,563767000,0,0,306000,0,1328982000,-204501000,None,324740000,None,4876392000,None,2280790000,292840000,2805303000,None,None,None,731106000,5477039000,233472000,-821203000,25590293
2018-06-30,USD,5348343000,102050000,None,109519000,3572270000,1776073000,229263000,118598000,306000,1257851000,529034000,0,272977000,216762000,787070000,245322000,245322000,-4390000,4401555000,565191000,6570000,1674023000,17518000,221392000,2256166000,0,541748000,0,0,306000,0,1257851000,-204051000,None,272977000,None,4783152000,None,2256166000,299771000,2785200000,None,None,None,726357000,5348343000,234280000,-775605000,25575041
2018-03-31,USD,5016832000,104259000,None,101655000,3224533000,1792299000,217223000,112494000,305000,1279002000,433184000,0,234615000,119294000,743787000,223308000,223308000,-4635000,4234085000,433193000,10680000,1688040000,17127000,195117000,2047562000,0,520479000,0,0,305000,0,1279002000,-203950000,None,234615000,None,4583639000,None,2047562000,215961000,2480746000,None,None,None,721577000,5016832000,136421000,-739778000,25560678
