fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-50723000,219287000,-50723000,-33919000,155994000,65739000,-94089000,-13639000,78912000,503559000,488543000,-13639000,83157000,None,-6000,None,35266000,85560000,16804000,35266000,None,503559000
2020-03-31,USD,881000,-40393000,10700000,18110000,236614000,39642000,-193138000,-5476000,23353000,122189000,71847000,-5476000,74350000,None,-3834000,None,16515000,3498000,8291000,16515000,None,122189000
2019-12-31,USD,-76961000,-58823000,-76961000,62029000,737000,2634000,1931000,2411000,-410245000,32727000,107054000,None,75537000,None,-34000,None,-23921000,522095000,86490000,None,None,None
2019-09-30,USD,5054000,51092000,-80331000,-54545000,73639000,-44017000,-117547000,-45419000,59974000,-40055000,84293000,-45419000,83019000,None,-109000,None,1371000,-65744000,30840000,1371000,None,-40055000
2019-06-30,USD,4352000,-20091000,-83647000,-41829000,50000000,-15327000,-65289000,18474000,86868000,-43746000,55228000,18474000,79167000,None,-38000,None,-9660000,-99530000,46170000,-9660000,None,-43746000
2019-03-31,USD,4961000,-19985000,-44822000,-19199000,18768000,-77184000,-86763000,-42309000,-29710000,-68237000,53769000,-42309000,78861000,None,-9189000,None,9686000,57226000,30584000,9686000,None,-68237000
2018-12-31,USD,3093000,16136000,-82562000,-56059000,-76129000,-72309000,3820000,-22598000,210974000,6586000,161457000,-22598000,75702000,None,-10769000,None,-14980000,-103777000,29596000,-14980000,None,6586000
2018-09-30,USD,4062000,46817000,-120920000,-94954000,28033000,30934000,3351000,-23668000,71131000,-1774000,88212000,-23668000,67869000,0,-450000,0,-31359000,-42578000,30028000,-31359000,None,-1774000
2018-06-30,USD,3961000,25336000,-236591000,-211852000,223356000,227330000,4075000,-9829000,-21150000,97525000,106786000,-9829000,61568000,0,-101000,0,-24285000,75146000,28700000,-24285000,None,97525000
2018-03-31,USD,1438000,-15979000,-261189000,-236536000,36728000,30604000,4094000,-986000,9612000,-161460000,69125000,-986000,59526000,0,-10218000,0,-3414000,20366000,26091000,-3414000,None,-161460000
2017-12-31,USD,1215000,28153000,-139885000,-119940000,115384000,118856000,3778000,-67341000,209448000,115584000,136613000,-13998000,55141000,0,-306000,0,-33201000,-120934000,21160000,-21197000,None,115584000
2017-09-30,USD,1306000,17746000,-131711000,-111859000,-48174000,-57055000,-8210000,-17276000,-24163000,-106467000,82299000,-17276000,50912000,0,-671000,0,0,61880000,21158000,-6800000,None,-106467000
2017-06-30,USD,1310000,24162000,-130159000,-107905000,158650000,199817000,3225000,-5731000,38940000,163811000,94153000,-5731000,47328000,0,37942000,0,0,2792000,23564000,-13338000,None,163811000
2017-03-31,USD,631000,-11526000,-139802000,-118760000,102811000,101834000,8453000,-30336000,-752000,-19314000,18654000,-30336000,42910000,0,-9430000,0,8134000,10224000,21673000,8134000,None,-19314000
2016-12-31,USD,2871000,15625000,-82852000,-75878000,-27564000,-23888000,3880000,-29455000,28417000,24598000,131338000,18568000,44214000,0,-204000,0,22974000,62724000,9845000,-9793000,None,24598000
2016-09-30,USD,1331000,-1506000,-60981000,-52679000,-44635000,-47195000,4260000,-3905000,-7946000,-54693000,53600000,-11406000,42062000,0,-6816000,0,32767000,31164000,9633000,-6587000,None,-54576000
2016-06-30,USD,2557000,-25634000,-222076000,-208076000,29458000,32108000,3650000,-4807000,20574000,-163685000,27805000,16583000,41683000,0,-143000,0,39354000,-14157000,16557000,9483000,None,-162163000
2016-03-31,USD,4955000,-52544000,-91479000,-85752000,-36093000,-36500000,3705000,None,471000,-108540000,19439000,-10575000,39485000,0,-4112000,0,29871000,12731000,10682000,29871000,None,-108540000
2015-12-31,USD,3550000,120830000,-158822000,-151167000,99352000,101039000,1816000,23171000,-37582000,49255000,107038000,-1806000,36397000,0,-129000,0,2016000,-17737000,11205000,6936000,None,49255000
2015-09-30,USD,74358000,5569000,53166000,-9474000,-269443000,-285973000,3549000,None,-12754000,-138055000,94752000,14395000,37053000,0,-20079000,0,0,65544000,11718000,-15055000,None,-138055000
2015-06-30,USD,1192000,-11032000,-58879000,-48339000,116580000,156774000,2959000,None,28390000,178344000,80449000,11531000,35030000,0,37235000,0,10135000,17483000,11732000,-953000,None,178344000
