fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,825253000,531265000,173326000,651927000,140739000,78912000,None,None,111921000,None,279928000,20077000,120662000,234126000,28818000,33009000,224000,-28594000,None,17211000,None,33009000,2642000,None,78912000,78912000,None
2020-03-31,USD,643502000,386787000,195645000,447857000,61268000,23353000,None,None,32186000,None,241247000,198000,61070000,151736000,29082000,8833000,480000,-28602000,None,-6196000,None,8833000,5914000,None,23353000,23353000,None
2019-12-31,USD,747049000,640854000,537183000,209866000,-416797000,-410245000,None,None,-521818000,None,48698000,None,106195000,54973000,29484000,-111573000,321000,-29163000,None,None,None,-111573000,-598850000,None,-410245000,-410245000,None
2019-09-30,USD,648539000,419515000,229903000,418636000,80956000,59974000,None,None,51692000,None,249591000,81835000,-879000,150739000,29264000,-8282000,653000,-28611000,None,19185000,None,-8282000,61997000,None,59974000,59974000,None
2019-06-30,USD,663918000,423948000,231000000,432918000,51603000,86868000,None,None,22185000,None,242785000,42633000,8970000,177160000,29418000,-64683000,1278000,-28140000,None,4003000,None,-64683000,37352000,None,86868000,86868000,None
2019-03-31,USD,679683000,412224000,220585000,459098000,5073000,-29710000,None,None,-24817000,None,241596000,-41801000,46874000,168101000,29890000,4893000,-27846000,-27846000,None,2527000,None,4893000,-46372000,None,-29710000,-29710000,None
2018-12-31,USD,764958000,748387000,-110986000,875944000,264250000,210974000,0,0,232903000,0,453264000,136693000,127557000,294017000,31347000,None,None,None,-30000,1106000,0,21899000,104510000,-30000,211004000,210974000,None
2018-09-30,USD,656607000,370586000,231551000,425056000,101167000,71131000,0,0,71172000,0,226268000,46697000,54470000,143553000,29995000,None,None,None,0,765000,0,34000,15937000,-7000,71138000,71131000,None
2018-06-30,USD,666145000,367312000,237887000,428258000,19580000,-21150000,0,0,-8137000,0,218628000,-41366000,60946000,139070000,27717000,None,None,None,0,9614000,0,12986000,-78697000,-27000,-21123000,-21150000,None
2018-03-31,USD,590014000,549175000,549445000,40569000,39028000,9612000,0,0,13436000,0,39847000,-1541000,40569000,50251000,25592000,None,None,None,0,0,0,3808000,-27403000,-16000,9628000,9612000,None
2017-12-31,USD,627952000,3258509000,521204000,106748000,132193000,209448000,0,0,107009000,0,45522000,25445000,106748000,-247091000,25184000,None,None,None,0,-954000,0,-102445000,-36467000,9700000,209454000,209448000,None
2017-09-30,USD,535748000,-1806192000,483036000,52712000,10623000,-24162000,0,0,-14008000,0,42598000,-42089000,52712000,603753000,24631000,None,None,None,0,1590000,0,10187000,-58023000,-15182000,-24195000,-24162000,None
2017-06-30,USD,517366000,457585000,458888000,58478000,72522000,38939000,0,0,49783000,0,39345000,14044000,58478000,-225913000,22739000,None,None,None,0,-636000,0,10739000,14752000,5404000,39044000,38939000,None
2017-03-31,USD,475394000,0,451358000,24036000,20332000,-752000,0,0,588000,0,41178000,-3704000,24036000,37894000,19744000,None,None,None,0,106000,0,553000,-23448000,-787000,35000,-752000,None
2016-12-31,USD,529725000,1639116000,428293000,101432000,74296000,28736000,0,0,54448000,0,35848000,-27136000,101432000,328472000,19848000,None,None,None,0,27685000,0,25712000,-111095000,-2734000,28736000,28417000,None
2016-09-30,USD,448015000,0,422017000,25998000,26032000,-7501000,0,0,5736000,0,34465000,34000,25998000,-222947000,20296000,None,None,None,0,-21054000,0,13237000,0,1970000,-7501000,-7946000,None
2016-06-30,USD,443272000,0,422448000,20824000,48656000,20574000,0,0,28408000,0,40593000,27832000,20824000,37208000,20938000,None,None,None,0,3509000,0,7489000,0,-345000,20919000,20919000,None
2016-03-31,USD,418615000,0,398558000,20057000,21769000,471000,0,0,824000,0,31827000,1712000,20057000,0,20945000,None,None,None,0,0,0,353000,0,0,471000,471000,None
2015-12-31,USD,472077000,1680228000,515821000,-43744000,-44648000,-37582000,0,0,-69445000,0,33665000,-904000,-43744000,234073000,24797000,None,None,None,0,17388000,0,-31863000,-159651000,-1109000,-37582000,-37582000,None
2015-09-30,USD,449904000,0,400909000,48995000,-3619000,-12754000,0,0,-25173000,0,32755000,-52614000,48995000,0,21554000,None,None,None,0,0,0,-12419000,0,0,-12754000,-12754000,None
2015-06-30,USD,455833000,0,394549000,61284000,65993000,28390000,0,0,41137000,0,32329000,4709000,61284000,0,24856000,None,None,None,0,0,0,12747000,0,0,28390000,28390000,None
