fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,1232912000,11146000,None,93228000,363099000,869813000,4437000,134400000,1000,144940000,120269000,24905000,105222000,319253000,242830000,None,None,-2790000,45386000,885724000,155695000,833762000,237980000,154253000,None,81010000,104572000,None,None,1000,None,144940000,-155947000,None,75914000,None,34142000,None,None,115832000,120269000,None,None,None,883609000,1232912000,557233000,None,63468347
2020-03-31,USD,877451000,11929000,None,78661000,317861000,559590000,3772000,123718000,1000,175699000,122846000,24752000,99507000,156540000,195015000,None,None,-3468000,43065000,618741000,77781000,522909000,188673000,147945000,None,46922000,67972000,None,None,1000,None,175699000,-155947000,None,71750000,None,29433000,None,None,119074000,122846000,None,None,None,543305000,877451000,345213000,None,59813163
2019-12-31,USD,845639000,12771000,None,82584000,302144000,543495000,8122000,121717000,1000,172265000,99786000,25013000,89842000,172250000,195566000,None,None,-1096000,43770000,619091000,77097000,505711000,178534000,146878000,None,38845000,70875000,None,None,1000,None,172265000,-155947000,None,40209000,None,27688000,None,None,98456000,106578000,None,None,None,528272000,845639000,350784000,None,59497759
2019-09-30,USD,792304000,13528000,None,74879000,284657000,507647000,7137000,131157000,1000,184644000,93136000,24876000,83303000,202551000,183834000,None,None,-1798000,42592000,576022000,74854000,469243000,108913000,149013000,None,40666000,50383000,None,None,1000,None,184644000,-155947000,None,37142000,None,23290000,11537000,11537000,82149000,100823000,None,None,None,480747000,792304000,311464000,None,59320793
2019-06-30,USD,746370000,14424000,None,63077000,257443000,488927000,7217000,117203000,1000,178540000,85757000,24969000,80652000,219720000,163673000,None,None,-1571000,40500000,575055000,35170000,449534000,116629000,134630000,None,40999000,43075000,None,None,1000,None,178540000,-155947000,None,35594000,None,20658000,11967000,11967000,74586000,93770000,None,None,None,467904000,746370000,336349000,None,59251731
2019-03-31,USD,739195000,15067000,None,51285000,258656000,480539000,6831000,113977000,1000,177802000,85965000,25017000,42867000,223642000,163794000,3877000,3877000,-1463000,41347000,566922000,36316000,440455000,105312000,149096000,8897000,37587000,46213000,None,None,1000,None,177802000,-155947000,None,35756000,None,18770000,13247000,13247000,74784000,94862000,None,None,None,460146000,739195000,328954000,None,59109286
2018-12-31,USD,719540000,15935000,None,44351000,252216000,467324000,6084000,107053000,1000,171383000,86205000,24981000,82576000,349462000,166011000,None,None,-1513000,37893000,558155000,40230000,426408000,None,130579000,None,33763000,56256000,None,None,1000,None,171383000,-155947000,None,22999000,None,19347000,None,None,80121000,86205000,None,None,None,453400000,719540000,349462000,None,58810637
2018-09-30,USD,681695000,16956000,None,43777000,222033000,459662000,5395000,91488000,1000,169301000,80528000,25043000,79696000,324371000,141505000,None,None,-1626000,35613000,524387000,38220000,417663000,500000,116518000,0,39221000,45906000,0,0,1000,0,169301000,-155947000,None,23396000,None,18080000,5751000,5751000,69382000,80528000,None,None,None,447933000,681695000,324871000,None,58419742
2018-06-30,USD,642397000,20442000,None,37072000,193555000,448842000,5478000,81690000,1000,163590000,72657000,24684000,75802000,307507000,120898000,None,None,-1519000,34503000,486966000,37158000,403716000,4124000,94296000,0,43967000,39208000,0,0,1000,0,163590000,-155947000,None,22831000,None,15813000,5520000,5520000,61659000,72657000,None,None,None,442717000,642397000,311631000,None,58289613
2018-03-31,USD,392985000,17496000,None,31212000,193656000,199329000,63811000,82149000,1000,155105000,64946000,14947000,70397000,92330000,128710000,None,None,-2174000,31175000,258970000,34624000,166886000,4475000,87849000,0,43104000,46561000,0,0,1000,0,155105000,-155947000,None,21573000,None,14200000,934000,934000,201000,64946000,None,None,None,202344000,392985000,96805000,None,53307083
2017-12-31,USD,338112000,18823000,None,21696000,170668000,167444000,60446000,75856000,1000,123185000,62642000,14927000,101748000,75105000,107950000,41000,41000,-1467000,31172000,205192000,36877000,133694000,6862000,56064000,76000,45465000,32094000,0,0,1000,0,123185000,-155947000,None,15366000,None,15755000,None,None,2272000,62718000,None,None,None,201672000,338112000,81967000,None,52969869
2017-09-30,USD,327607000,20758000,None,23002000,161527000,166080000,56870000,65306000,1000,125256000,61436000,14923000,107603000,43471000,100091000,None,None,-1208000,31263000,188741000,32543000,130399000,18372000,51204000,0,52692000,34785000,0,0,1000,0,125256000,-155947000,None,16534000,None,22845000,1851000,1851000,2715000,61436000,None,None,None,197978000,327607000,61843000,None,52853920
2017-06-30,USD,316311000,19334000,None,22949000,152850000,163461000,53442000,56972000,1000,124834000,58006000,13183000,95754000,28038000,94844000,None,None,352000,29603000,190954000,27791000,130944000,33796000,45428000,0,60743000,37872000,0,0,1000,0,124834000,-155947000,None,15182000,None,20264000,1875000,1875000,2689000,58006000,None,None,None,194221000,316311000,61834000,None,52593417
2017-03-31,USD,299518000,20256000,None,15707000,142128000,157390000,47081000,54526000,1000,122558000,51640000,13001000,92781000,41974000,90488000,None,None,1068000,26399000,180338000,24688000,124133000,29630000,44328000,0,48699000,35962000,0,0,1000,0,122558000,-155947000,None,14781000,20055000,119180000,1895000,1895000,2664000,51640000,None,None,None,189710000,299518000,71604000,None,52593417
2016-12-31,USD,278163000,15218000,None,13858000,127275000,150888000,45312000,49055000,1000,118275000,49118000,10442000,76928000,40651000,78039000,118000,118000,903000,24004000,177231000,17836000,125228000,48415000,39466000,118000,34841000,28984000,0,0,1000,0,118275000,-155947000,None,13917000,19515000,100932000,None,None,3924000,49236000,None,None,None,187656000,278163000,89066000,None,52325251
2016-09-30,USD,252200000,7116000,None,13867000,110872000,141328000,40411000,42651000,1000,111934000,43102000,8885000,60776000,50600000,67770000,51000,51000,403000,22976000,168448000,6260000,125327000,45620000,32858000,0,25503000,25068000,0,0,1000,0,111934000,-155947000,None,21762000,16753000,83752000,2691000,2691000,None,43102000,None,None,None,184937000,252200000,96220000,None,52245605
2016-06-30,USD,228695000,7228000,None,14323000,94265000,134430000,39365000,33666000,1000,108433000,42072000,9100000,52671000,37306000,52193000,62000,62000,342000,22249000,153775000,4594000,118102000,49711000,30499000,0,21936000,18465000,0,0,1000,0,108091000,-155947000,None,16172000,15577000,74920000,2707000,2707000,None,42072000,None,None,None,181943000,228695000,87017000,None,53000000
2016-03-31,USD,237108000,7431000,None,10338000,83882000,153226000,35415000,26216000,1000,104441000,35415000,9179000,50515000,53365000,48403000,75000,75000,317000,22177000,164416000,10009000,136616000,50689000,29810000,64000,20214000,22112000,0,0,1000,0,104441000,-131163000,None,9039000,14857000,72692000,64000,64000,None,35479000,None,None,None,179630000,237108000,104054000,None,53356116
2015-12-31,USD,229881000,7588000,None,8165000,72877000,157004000,33704000,22077000,1000,100978000,34656000,9596000,46624000,59526000,38140000,87000,81000,83000,21848000,161409000,8525000,139820000,50254000,27701000,81000,15763000,15976000,0,0,1000,0,100978000,-122201000,None,7196000,13719000,68472000,None,81000,952000,34737000,None,None,None,178143000,229881000,109780000,None,53692192
2015-09-30,USD,213477000,7812000,None,6336000,63991000,149486000,29935000,20200000,1000,95874000,30887000,9313000,43467000,45887000,33006000,98000,None,46000,19855000,150155000,9171000,132361000,49526000,29514000,98000,18892000,12708000,0,0,1000,0,95874000,-122201000,None,6024000,11147000,63322000,98000,98000,952000,30985000,None,None,None,175766000,213477000,95413000,None,53604818
2015-06-30,USD,212153000,7085000,None,10068000,58268000,153885000,25616000,17571000,1000,94353000,26566000,7786000,42622000,40354000,31693000,40000,None,161000,18231000,151300000,12377000,139014000,46252000,30939000,9000,23687000,14082000,0,0,1000,0,94353000,-114645000,None,4976000,10398000,60853000,9000,9000,950000,26575000,None,None,None,174015000,212153000,86606000,None,53865918
