fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-118730000,20270000,-124138000,-66000,None,306469000,-577000,-10828000,-30759000,161939000,-20392000,-10347000,2930000,None,307046000,-34641000,None,31830000,5342000,325000,None,161939000
2020-03-31,USD,-15197000,-3562000,-22073000,-4667000,None,-5162000,-5190000,2277000,4074000,-13820000,13415000,7678000,2881000,None,28000,-8630000,None,20674000,2209000,-9700000,None,-13820000
2019-12-31,USD,-73908000,18495000,-77812000,-76000,None,-775000,-783000,2122000,-12379000,-32778000,45809000,-2341000,3165000,None,8000,1399000,-8333000,45803000,3828000,-8333000,None,-32778000
2019-09-30,USD,-33813000,3224000,-38047000,16000,None,-1134000,-1136000,-6206000,6104000,-16741000,22440000,15693000,2709000,None,2000,1213000,-19491000,12988000,4250000,-19491000,None,-16741000
2019-06-30,USD,-11351000,-9468000,-14123000,-182000,None,-869000,-873000,-2609000,738000,-3598000,11394000,736000,2687000,None,4000,-3579000,10988000,9292000,2590000,10988000,None,-3598000
2019-03-31,USD,-105322000,-7284000,-110755000,-162000,None,-1159000,-1259000,-3152000,6419000,-125884000,-13970000,80000,2800000,None,100000,-3936000,-21994000,9945000,5271000,-21994000,None,-125884000
2018-12-31,USD,500000,9200000,-3857000,-98000,None,-2810000,-4429000,-658000,2083000,24572000,31239000,21884000,2389000,None,1044000,5771000,-16471000,6383000,4259000,-16471000,-774000,23798000
2018-09-30,USD,3620000,6994000,1223000,-182000,None,-1039000,-1166000,-4652000,5711000,16714000,16530000,16552000,3069000,0,127000,4525000,-26381000,6060000,2215000,-26381000,None,16714000
2018-06-30,USD,342000,-15991000,-8494000,-5234000,-566000,226627000,-7030000,-5727000,8485000,216186000,-1947000,4769000,2758000,0,234223000,2100000,-7731000,3663000,3602000,-7731000,None,216186000
2018-03-31,USD,2365000,13303000,1268000,-34000,-9000,-3430000,-3777000,-1702000,12926000,15891000,18053000,-1702000,2433000,0,356000,2408000,-17060000,5745000,1063000,-17060000,None,15891000
2017-12-31,USD,11447000,11432000,9531000,-569000,-9000,-2254000,-2373000,-9007000,-2071000,31602000,24325000,2254000,2427000,0,128000,7328000,-35305000,12233000,1347000,-9278000,32000,31634000
2017-09-30,USD,15256000,7491000,7514000,-4411000,-9000,-253000,-258000,10223000,422000,13872000,6611000,10223000,2444000,0,14000,6694000,0,864000,3331000,-21527000,1561000,15433000
2017-06-30,USD,-4374000,9501000,-7847000,-75000,-8000,530000,-407000,-10457000,2276000,-13154000,-5837000,-10457000,2005000,0,945000,-12082000,0,3882000,3398000,-962000,-782000,-13936000
2017-03-31,USD,18801000,12875000,9884000,-6574000,-8000,-1877000,-2165000,-11027000,4580000,1398000,-6609000,-11027000,1822000,0,296000,-13686000,0,2365000,2343000,-3538000,-75000,1323000
2016-12-31,USD,2946000,13773000,-5330000,-6654000,-1000,-860000,-906000,-13928000,6341000,-10224000,-4034000,-9643000,1199000,0,47000,-7864000,-28438000,180000,1622000,-8020000,275000,-9949000
2016-09-30,USD,2157000,17375000,639000,-147000,-58000,719000,568000,-4916000,3843000,13294000,11623000,-4859000,1169000,0,209000,-4056000,0,217000,1371000,-2066000,313000,13294000
2016-06-30,USD,6057000,10681000,5283000,-90000,-23000,-24798000,-183000,-10587000,3650000,-16059000,3243000,-10497000,1279000,0,-24592000,-2421000,0,1657000,684000,-1016000,213000,-16059000
2016-03-31,USD,-2295000,10981000,-3637000,-62000,-25000,-9722000,-765000,-4070000,3463000,-6266000,7093000,-4070000,1276000,0,-8932000,-4327000,0,1965000,1280000,-2195000,105000,-6161000
2015-12-31,USD,-480000,9447000,-2716000,-72000,-26000,174000,100000,-7352000,5104000,13589000,16131000,-3059000,1379000,0,100000,3177000,4244000,3557000,2164000,-3474000,50000,13639000
2015-09-30,USD,-494000,4835000,-6097000,-3534000,-36000,-7704000,-132000,None,1521000,5544000,19345000,2654000,1374000,0,-7536000,5207000,7718000,1649000,2069000,2105000,-11000,5533000
2015-06-30,USD,-1151000,5990000,-10488000,-7991000,-9000,6052000,4113000,None,6103000,-6475000,-2039000,-6775000,1192000,0,1948000,-760000,5613000,-3733000,1346000,-4056000,-19000,-6494000
