fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,141259000,101853000,53082000,88177000,-13676000,-30759000,29560000,None,-12063000,None,72293000,None,-13676000,None,-1613000,18696000,None,1613000,None,None,None,18696000,None,None,-30759000,-30759000,None
2020-03-31,USD,147162000,89408000,58554000,88608000,-800000,4074000,26381000,None,141000,None,63027000,None,-800000,None,-941000,-3933000,941000,941000,None,None,None,-3933000,None,None,4074000,4074000,None
2019-12-31,USD,171851000,239518000,79211000,92640000,-14386000,-12379000,75453000,None,-11900000,None,164065000,None,-14386000,None,-2486000,479000,2486000,2486000,None,None,None,479000,1786000,None,-12379000,-12379000,None
2019-09-30,USD,130837000,73553000,50668000,80169000,6616000,6104000,25129000,None,8436000,None,48424000,None,6616000,None,-1820000,2332000,1820000,1820000,None,None,None,2332000,1120000,None,6104000,6104000,None
2019-06-30,USD,112362000,66855000,46802000,65560000,-1295000,738000,23493000,None,550000,None,43362000,None,-1295000,None,-1845000,-188000,1845000,1845000,None,None,None,-188000,545000,None,738000,738000,None
2019-03-31,USD,115810000,-66246000,46893000,68917000,2671000,6419000,-23354000,None,4984000,None,-42892000,None,2671000,None,-2313000,-1435000,2313000,2313000,None,None,None,-1435000,2313000,None,6419000,6419000,None
2018-12-31,USD,114791000,186687000,49445000,65346000,1993000,2083000,65218000,0,3014000,0,121469000,None,1993000,0,-1021000,None,None,None,-300000,0,0,931000,1021000,0,2083000,2083000,None
2018-09-30,USD,104836000,-61667000,39203000,65633000,3966000,5711000,-21982000,0,5240000,0,-39685000,None,3966000,0,-1274000,None,None,None,0,0,0,-471000,-726000,0,5711000,5711000,None
2018-06-30,USD,99226000,57844000,36083000,63143000,5299000,8485000,18501000,0,5004000,0,39343000,None,5299000,0,295000,None,None,None,0,0,0,-3481000,-295000,0,8485000,8485000,None
2018-03-31,USD,101215000,50878000,36754000,64461000,13583000,12926000,15119000,0,14846000,0,35759000,None,13583000,0,-1263000,None,None,None,0,0,0,1920000,1263000,0,12926000,12926000,None
2017-12-31,USD,94651000,55368000,31635000,63016000,7648000,-2071000,15755000,0,7066000,0,39613000,None,7648000,0,582000,None,None,None,0,0,0,9137000,1738000,0,-2071000,-2071000,None
2017-09-30,USD,90262000,50564000,40497000,49765000,-799000,422000,14166000,0,631000,0,36398000,None,-799000,0,-1430000,None,None,None,0,0,0,209000,0,0,422000,422000,None
2017-06-30,USD,79643000,44813000,34006000,45637000,824000,2276000,12989000,0,2508000,0,31824000,None,824000,0,-1684000,None,None,None,0,0,0,232000,0,0,2276000,2276000,None
2017-03-31,USD,79242000,43320000,30572000,48670000,5350000,4580000,12463000,0,5556000,0,30857000,None,5350000,0,-206000,None,None,None,0,0,0,976000,0,0,4580000,4580000,None
2016-12-31,USD,82077000,40357000,32307000,49770000,9413000,6341000,9614000,0,9519000,0,30743000,None,9413000,0,-106000,None,None,None,0,0,0,3178000,-2354000,0,6341000,6341000,None
2016-09-30,USD,71882000,35479000,25317000,46565000,11086000,3843000,7358000,0,10631000,0,28121000,None,11086000,0,455000,None,None,None,0,0,0,6788000,0,0,3843000,3843000,None
2016-06-30,USD,58756000,31089000,20515000,37299000,6210000,3650000,6710000,0,6087000,0,24379000,None,6210000,0,123000,None,None,None,0,0,0,2437000,0,0,3650000,3650000,None
2016-03-31,USD,55530000,31760000,18628000,36902000,5142000,3463000,6927000,0,5260000,0,24833000,None,5142000,0,-118000,None,None,None,0,0,0,1797000,0,0,3463000,3463000,None
2015-12-31,USD,56041000,28478000,19053000,36988000,8510000,5104000,6622000,0,8524000,0,21856000,None,8510000,0,-14000,None,None,None,0,0,0,3420000,26000,0,5104000,5104000,None
2015-09-30,USD,50376000,24362000,19308000,31068000,6706000,1521000,6528000,0,6684000,0,17834000,None,6706000,0,22000,None,None,None,0,0,0,5163000,0,0,1521000,1521000,None
2015-06-30,USD,46713000,21349000,15990000,30723000,9374000,6103000,5906000,0,9473000,0,15443000,None,9374000,0,-99000,None,None,None,0,0,0,3370000,0,0,6103000,6103000,None
