fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,0,0,None,None,None,93783000,272000,-869000,56926000,152212000,58429000,None,None,61825000,31958000,None,None,1503000,0,None,None,152212000
2020-03-31,USD,-147000,0,-147000,-147000,None,97925000,699000,-901000,62259000,168642000,70717000,None,None,83705000,14220000,None,None,8458000,0,None,None,168642000
2019-12-31,USD,-1869000,0,-1869000,-11511000,None,78630000,200000,989000,80022000,244219000,165589000,None,None,60290000,18340000,None,None,85567000,0,None,None,244219000
2019-09-30,USD,-691000,0,-691000,-9642000,None,73056000,24000,39000,59828000,0,54003000,None,None,-54027000,19029000,None,None,-5864000,0,None,None,132902000
2019-06-30,USD,-1569000,0,-8951000,-8951000,None,234045000,-494000,1403000,52274000,0,48786000,None,None,-47361000,65070000,None,None,46056000,0,None,None,341167000
2019-03-31,USD,-7382000,-589000,-7382000,-7382000,None,-52494000,931000,-1410000,46439000,0,59876000,-821000,None,-60807000,8313000,None,None,14847000,0,None,None,None
2018-12-31,USD,-5787000,0,-5787000,-16589000,None,677771000,77000,119000,59880000,886618000,198045000,None,None,495392000,182379000,None,None,137536000,0,None,None,886618000
2018-09-30,USD,-2488000,-104000,-2488000,0,None,-57952000,166000,-104000,65900000,None,60440000,None,0,-60606000,2668000,0,0,-5356000,0,None,None,None
2018-06-30,USD,-4306000,503000,-4306000,0,None,-68456000,-499000,503000,58457000,None,72762000,None,0,-72263000,3801000,0,0,13802000,0,None,None,None
2018-03-31,USD,-4008000,-1028000,-4008000,0,None,-76097000,1696000,-1028000,58160000,None,80105000,None,0,-81801000,5696000,0,0,22973000,0,None,None,None
2017-12-31,USD,-20110000,0,-20110000,0,None,501713000,-22000,535000,78593000,707620000,188235000,None,0,357444000,144269000,0,0,109247000,0,None,None,707620000
2017-09-30,USD,-8426000,-323000,-8426000,0,None,-37583000,265000,-323000,43178000,None,46009000,None,0,-45685000,8148000,0,0,3154000,0,None,None,None
2017-06-30,USD,-4778000,234000,-4778000,0,None,-39685000,589000,234000,41741000,None,44463000,None,0,-44534000,4771000,0,0,2488000,0,None,None,None
2017-03-31,USD,-4468000,-306000,-4468000,0,None,-59851000,518000,-306000,43910000,None,64319000,None,0,-64837000,5018000,0,0,20715000,0,None,None,None
2016-12-31,USD,-6108000,0,-6108000,0,None,478699000,200000,345000,72664000,674473000,193403000,None,0,297079000,181620000,0,0,120597000,0,None,None,674473000
2016-09-30,USD,6000,196000,6000,0,None,-38797000,345000,223000,48471000,None,38791000,None,0,-38493000,-327000,0,0,-9876000,0,None,None,None
2016-06-30,USD,-3834000,-5792000,-920000,0,None,-31332000,643000,-223000,39904000,None,32252000,-223000,0,-32895000,1586000,0,0,-1637000,0,None,None,None
2016-03-31,USD,1457000,5677000,-1457000,0,None,-54503000,None,None,55547000,None,55960000,None,0,-55960000,1457000,0,0,-5264000,0,None,None,None
2015-12-31,USD,-9233000,0,-9233000,0,None,488181000,-490000,44000,51682000,650595000,153435000,None,0,342820000,145361000,0,0,101553000,0,None,None,650595000
2015-09-30,USD,None,-318000,-8979000,0,None,-47141000,733000,None,42687000,None,47141000,-247000,0,-47874000,733000,0,0,5019000,0,None,None,None
2015-06-30,USD,-5078000,-5821000,-5078000,0,None,-34382000,None,None,48224000,None,39460000,152000,0,-39460000,5078000,0,0,-3095000,0,None,None,None
