fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,63201000,None,None,None,63201000,56926000,None,None,63201000,None,None,63201000,None,None,None,6275000,None,None,None,None,None,6275000,None,None,56926000,56926000,None
2020-03-31,USD,69914000,None,None,None,69914000,62259000,None,None,69914000,None,None,69914000,69914000,None,None,7655000,None,None,None,None,None,7655000,None,None,62259000,62259000,None
2019-12-31,USD,87909000,None,None,87909000,87909000,80022000,None,None,87909000,None,None,87909000,87909000,None,None,7887000,None,None,None,None,None,7887000,None,None,80022000,80022000,None
2019-09-30,USD,66722000,None,None,66722000,66722000,59828000,None,None,66722000,None,None,66722000,66722000,None,None,6894000,None,None,None,None,None,6894000,None,None,59828000,59828000,None
2019-06-30,USD,59023000,None,None,59023000,59023000,52274000,None,None,59023000,None,None,59023000,59023000,None,None,6749000,None,None,None,None,None,6749000,None,None,52274000,52274000,None
2019-03-31,USD,52638000,None,None,52638000,52638000,46439000,None,None,52638000,None,None,52638000,52638000,None,None,6199000,None,None,None,None,None,6199000,None,None,46439000,46439000,None
2018-12-31,USD,66759000,0,0,66759000,66759000,59880000,0,0,66759000,0,0,66759000,66759000,0,0,None,None,None,-1155000,0,0,6879000,0,0,59880000,59880000,None
2018-09-30,USD,72802000,0,0,72802000,72802000,65900000,0,0,72802000,0,0,72802000,72802000,0,0,None,None,None,0,0,0,6902000,0,0,65900000,65900000,None
2018-06-30,USD,65388000,0,0,65388000,65388000,58457000,0,0,65388000,0,0,65388000,65388000,0,0,None,None,None,0,0,0,6931000,0,0,58457000,58457000,None
2018-03-31,USD,65698000,0,0,65698000,65698000,58160000,0,0,65698000,0,0,65698000,65698000,0,0,None,None,None,0,0,0,7538000,0,0,58160000,58160000,None
2017-12-31,USD,85725000,0,0,232393000,85725000,78593000,0,0,85725000,0,0,85725000,85725000,0,0,None,None,None,0,0,0,7132000,0,0,78593000,78593000,None
2017-09-30,USD,49055000,0,0,0,49055000,43178000,0,0,49055000,0,0,49055000,49055000,0,0,None,None,None,0,0,0,5877000,0,0,43178000,43178000,None
2017-06-30,USD,47947000,0,0,0,47947000,41741000,0,0,47947000,0,0,47947000,47947000,0,0,None,None,None,0,0,0,6206000,0,0,41741000,41741000,None
2017-03-31,USD,49666000,0,0,0,49666000,43910000,0,0,49666000,0,0,49666000,49666000,0,0,None,None,None,0,0,0,5756000,0,0,43910000,43910000,None
2016-12-31,USD,78630000,0,0,239389000,76843000,70877000,0,0,76843000,0,0,76843000,78630000,0,0,None,None,None,0,0,0,5966000,0,0,70877000,70877000,None
2016-09-30,USD,55925000,0,0,0,55925000,50258000,0,0,55925000,0,0,55925000,55925000,0,0,None,None,None,0,0,0,5667000,0,0,50258000,50258000,None
2016-06-30,USD,44657000,0,0,0,45489000,39904000,0,0,45489000,0,0,45489000,44657000,0,0,None,None,None,0,0,0,5585000,0,0,39904000,39904000,None
2016-03-31,USD,60177000,0,0,0,61132000,55547000,0,0,61132000,0,0,61132000,60177000,0,0,None,None,None,0,0,0,5585000,0,0,55547000,55547000,None
2015-12-31,USD,56890000,0,0,210084000,57485000,51682000,0,0,57485000,0,0,57485000,56890000,0,0,None,None,None,0,0,0,5803000,0,0,51682000,51682000,None
2015-09-30,USD,48387000,0,0,0,48988000,42687000,0,0,48988000,0,0,48988000,48387000,0,0,None,None,None,0,0,0,6301000,0,0,42687000,42687000,None
2015-06-30,USD,53191000,0,0,0,54409000,48224000,0,0,54409000,0,0,54409000,53191000,0,0,None,None,None,0,0,0,6185000,0,0,48224000,48224000,None
