fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,46903000000,2112000000,None,668000000,34328000000,12156000000,None,8673000000,188000000,18495000000,4247000000,10830000000,1387000000,2518000000,23209000000,4531000000,6383000000,-5828000000,4751000000,27687000000,37000000,-786000000,1878000000,6150000000,6237000000,4395000000,4062000000,None,None,None,None,None,-761000000,None,501000000,None,19216000000,917000000,6237000000,1562000000,11119000000,None,None,None,62000000,None,4549000000,None,None
2020-03-31,USD,48103000000,2161000000,None,661000000,36071000000,11570000000,None,8666000000,188000000,18180000000,4023000000,10721000000,1271000000,5971000000,24553000000,4431000000,5913000000,-6089000000,4787000000,29031000000,35000000,-1312000000,551000000,6288000000,6830000000,4358000000,4170000000,None,None,None,None,None,-784000000,None,450000000,None,19072000000,957000000,6830000000,1491000000,11518000000,None,None,None,75000000,None,6711000000,None,2138000000
2019-12-31,USD,46108000000,2252000000,None,674000000,32128000000,13526000000,None,5952000000,188000000,19640000000,4373000000,10825000000,1502000000,3544000000,20266000000,838000000,2287000000,-5590000000,4966000000,26458000000,33000000,449000000,566000000,5967000000,6772000000,4184000000,4353000000,None,None,None,None,None,-785000000,None,531000000,None,19650000000,1022000000,6772000000,189000000,11862000000,None,None,None,73000000,None,4219000000,None,2135000000
2019-09-30,USD,44556000000,2306000000,None,652000000,30847000000,13226000000,None,8402000000,188000000,19315000000,3956000000,10752000000,1520000000,2579000000,18364000000,1535000000,1889000000,-5544000000,4884000000,24964000000,38000000,168000000,569000000,6448000000,7800000000,4364000000,4023000000,None,None,None,None,None,-800000000,None,563000000,None,19592000000,1036000000,7800000000,1596000000,12483000000,None,None,None,67000000,None,3265000000,None,2135000000
2019-06-30,USD,45464000000,2428000000,None,558000000,32081000000,12900000000,None,8528000000,188000000,18800000000,4223000000,10873000000,1644000000,2512000000,19177000000,2047000000,2415000000,-5358000000,5054000000,25321000000,89000000,-401000000,716000000,6517000000,7913000000,4456000000,4107000000,None,None,None,None,None,-801000000,None,579000000,None,20143000000,1058000000,7913000000,1636000000,12904000000,None,None,None,62000000,None,3337000000,None,2132000000
2019-03-31,USD,45602000000,2527000000,None,631000000,30500000000,14495000000,None,7914000000,188000000,20411000000,4872000000,10765000000,5167000000,2734000000,17783000000,1468000000,1468000000,-5355000000,5185000000,21807000000,92000000,1203000000,833000000,6499000000,7050000000,4459000000,4081000000,None,None,None,None,None,-819000000,None,4150000000,None,23795000000,1118000000,7050000000,1644000000,12717000000,None,None,None,70000000,None,3696000000,None,2134000000
2018-12-31,USD,44441000000,2607000000,None,5780000000,29907000000,13952000000,None,9091000000,188000000,19839000000,4872000000,10764000000,4950000000,3445000000,18447000000,1449000000,1449000000,-5311000000,4133000000,21865000000,122000000,581000000,712000000,7468000000,6458000000,4284000000,4424000000,None,None,None,None,None,-820000000,None,None,None,None,None,6587000000,None,None,None,None,None,56000000,None,4297000000,None,2139000000
2018-09-30,USD,44652000000,2894000000,None,720000000,30003000000,14103000000,None,9850000000,188000000,19522000000,4809000000,12426000000,1610000000,2604000000,18558000000,1819000000,1819000000,-4826000000,5580000000,21955000000,187000000,-1217000000,953000000,11285000000,6477000000,6077000000,5825000000,None,None,None,None,None,-824000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2138000000
2018-06-30,USD,45191000000,2959000000,None,730000000,31012000000,13626000000,None,9666000000,188000000,18919000000,4959000000,12402000000,1675000000,3283000000,19385000000,1819000000,1819000000,-4683000000,5621000000,22343000000,191000000,-1735000000,794000000,11282000000,6489000000,5934000000,5933000000,None,None,None,None,None,-824000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2138000000
2018-03-31,USD,43569000000,13841000000,None,928000000,29625000000,13395000000,None,11595000000,188000000,14061000000,3885000000,11266000000,15818000000,4162000000,19372000000,1918000000,1918000000,-4178000000,5440000000,22311000000,190000000,-446000000,740000000,10872000000,5285000000,5609000000,5301000000,None,None,None,None,None,-893000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2145000000
