fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-1474000000,-147000000,-1474000000,-19000000,-283000000,-2088000000,-44000000,-10000000,319000000,-3453000000,680000000,None,228000000,-1736000000,None,187000000,119000000,-31000000,140000000,None,None,None
2020-03-31,USD,-383000000,-67000000,-383000000,-181000000,3612000000,3506000000,-114000000,-360000000,376000000,2427000000,-577000000,None,227000000,None,None,-301000000,-61000000,-132000000,163000000,None,None,None
2019-12-31,USD,-257000000,292000000,-257000000,-75000000,-704000000,-721000000,-28000000,142000000,325000000,965000000,1911000000,None,246000000,0,0,229000000,30000000,381000000,234000000,None,None,None
2019-09-30,USD,-52000000,33000000,-52000000,-52000000,-495000000,-495000000,-3000000,136000000,515000000,67000000,670000000,None,235000000,0,0,-125000000,-81000000,-74000000,152000000,None,None,None
2019-06-30,USD,-172000000,112000000,-506000000,-130000000,1736000000,-3000000,-101000000,-503000000,64000000,-222000000,0,None,249000000,-1675000000,0,-73000000,-66000000,372000000,169000000,None,None,None
2019-03-31,USD,-334000000,-307000000,-334000000,-42000000,-123000000,-109000000,-10000000,-18000000,535000000,-711000000,-256000000,None,231000000,-1675000000,0,-213000000,-85000000,-382000000,207000000,None,None,None
2018-12-31,USD,186000000,306000000,-84000000,-39000000,-837000000,-916000000,-79000000,487000000,317000000,841000000,1867000000,None,244000000,-1675000000,-208000000,125000000,192000000,202000000,235000000,None,None,None
2018-09-30,USD,-164000000,-56000000,-314000000,-24000000,-910000000,-880000000,30000000,277000000,603000000,-679000000,565000000,None,303000000,-1675000000,None,-176000000,-260000000,-117000000,239000000,None,None,None
2018-06-30,USD,-2000000,432000000,-2842000000,-149000000,2871000000,1071000000,-123000000,-71000000,681000000,-879000000,1010000000,None,280000000,-1717000000,40000000,-198000000,-144000000,79000000,197000000,None,None,None
2018-03-31,USD,384000000,-214000000,155000000,-3000000,176000000,-64000000,8000000,-658000000,572000000,-364000000,-518000000,None,285000000,-1717000000,2000000,-249000000,-304000000,88000000,238000000,None,None,None
2017-12-31,USD,877000000,711000000,-1450000000,-232000000,124000000,-1735000000,-136000000,201000000,393000000,882000000,3799000000,None,786000000,-1635000000,163000000,-66000000,-172000000,111000000,949000000,None,None,None
2017-09-30,USD,-48000000,380000000,-2275000000,66000000,-103000000,-107000000,-4000000,160000000,571000000,-1369000000,1930000000,None,287000000,-1635000000,77000000,-73000000,-65000000,50000000,620000000,None,None,None
2017-06-30,USD,356000000,96000000,1439000000,710000000,672000000,-1327000000,-116000000,-476000000,525000000,-544000000,976000000,None,258000000,-1635000000,3000000,10000000,-187000000,140000000,417000000,None,None,None
2017-03-31,USD,760000000,191000000,1262000000,674000000,38000000,106000000,-15000000,119000000,724000000,1918000000,509000000,None,263000000,-1635000000,83000000,-260000000,-67000000,-313000000,192000000,None,None,None
2016-12-31,USD,-465000000,420000000,-1305000000,-240000000,-475000000,-3355000000,-163000000,198000000,425000000,-921000000,3843000000,None,820000000,-1635000000,192000000,115000000,10000000,546000000,831000000,None,None,None
2016-09-30,USD,None,167000000,263000000,None,None,-1893000000,431000000,70000000,568000000,-547000000,2415000000,None,286000000,None,None,-57000000,163000000,None,532000000,None,None,None
2016-06-30,USD,None,2000000,-422000000,None,None,-478000000,-244000000,308000000,406000000,119000000,1334000000,None,287000000,None,None,-39000000,-304000000,None,348000000,None,None,None
2016-03-31,USD,None,None,None,None,None,None,None,None,500000000,None,252000000,None,None,None,None,None,73000000,None,170000000,None,None,None
2015-12-31,USD,-430000000,29000000,-974000000,264000000,-30000000,-3380000000,-221000000,394000000,204000000,-878000000,3818000000,None,1079000000,-1357000000,107000000,105000000,162000000,67000000,876000000,None,None,None
2015-09-30,USD,None,None,None,248000000,None,None,None,None,577000000,None,1824000000,None,None,-1357000000,None,None,None,None,547000000,None,None,None
2015-06-30,USD,None,None,None,160000000,None,None,None,None,588000000,None,651000000,None,None,-1357000000,None,None,None,None,358000000,None,None,None
