fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,6154000000,5583000000,4167000000,1987000000,843000000,319000000,262000000,None,525000000,419000000,1180000000,None,571000000,-1000000,90000000,130000000,9000000,-81000000,-59000000,None,None,130000000,35000000,-49000000,395000000,319000000,None
2020-03-31,USD,6216000000,5843000000,4306000000,1910000000,654000000,376000000,259000000,None,405000000,462000000,1252000000,None,373000000,-88000000,22000000,79000000,18000000,-4000000,51000000,None,None,79000000,36000000,54000000,326000000,376000000,None
2019-12-31,USD,7068000000,6097000000,4861000000,2207000000,909000000,325000000,332000000,None,627000000,454000000,1365000000,None,971000000,-405000000,36000000,320000000,10000000,-26000000,34000000,None,None,320000000,-318000000,50000000,307000000,325000000,None
2019-09-30,USD,6892000000,6315000000,4702000000,2190000000,855000000,515000000,283000000,None,564000000,483000000,1298000000,None,577000000,9000000,56000000,142000000,20000000,-36000000,88000000,None,None,142000000,23000000,97000000,422000000,515000000,None
2019-06-30,USD,7171000000,7048000000,4871000000,2300000000,411000000,64000000,298000000,None,101000000,483000000,1429000000,None,123000000,-21000000,61000000,155000000,18000000,-43000000,136000000,None,None,155000000,21000000,142000000,-54000000,64000000,None
2019-03-31,USD,6847000000,6278000000,4638000000,2209000000,863000000,535000000,285000000,None,570000000,607000000,1355000000,None,569000000,-39000000,62000000,155000000,19000000,-43000000,149000000,None,None,155000000,44000000,149000000,415000000,535000000,None
2018-12-31,USD,7395000000,6980000000,5259000000,2136000000,415000000,317000000,326000000,0,226000000,582000000,1396000000,None,415000000,-1000000,-82000000,None,None,None,135000000,0,0,16000000,-189000000,135000000,210000000,317000000,None
2018-09-30,USD,9257000000,8386000000,6590000000,2667000000,871000000,603000000,328000000,0,859000000,546000000,1524000000,None,871000000,-56000000,-73000000,None,None,None,0,0,0,223000000,-12000000,135000000,636000000,603000000,None
2018-06-30,USD,8889000000,7890000000,6160000000,2729000000,999000000,681000000,346000000,0,973000000,553000000,1404000000,None,999000000,-20000000,-62000000,None,None,None,0,0,0,264000000,-26000000,8000000,709000000,681000000,None
2018-03-31,USD,8627000000,7702000000,5634000000,2708000000,925000000,572000000,353000000,0,840000000,28000000,1823000000,None,885000000,-10000000,108000000,None,None,None,0,0,0,235000000,-85000000,-5000000,605000000,577000000,None
2017-12-31,USD,9280000000,23206000000,6362000000,8088000000,2320000000,393000000,398000000,0,581000000,30000000,1931000000,None,694000000,-161000000,50000000,None,None,None,0,0,0,158000000,-384000000,855000000,1311000000,393000000,None
2017-09-30,USD,8724000000,6575000000,5781000000,1986000000,349000000,571000000,358000000,0,854000000,32000000,1760000000,None,896000000,164000000,74000000,None,None,None,0,0,0,246000000,925000000,-14000000,1148000000,576000000,None
2017-06-30,USD,8454000000,-13885000000,5601000000,-4529000000,-1223000000,525000000,319000000,0,828000000,56000000,1689000000,None,906000000,-201000000,74000000,None,None,None,0,0,0,248000000,-853000000,7000000,-1700000000,524000000,None
2017-03-31,USD,7854000000,7157000000,5223000000,2373000000,697000000,724000000,291000000,0,968000000,34000000,1604000000,None,764000000,74000000,79000000,None,None,None,0,0,0,208000000,271000000,-2000000,760000000,726000000,None
2016-12-31,USD,8993000000,15346000000,6196000000,5220000000,1328000000,425000000,349000000,0,666000000,49000000,1743000000,None,772000000,-124000000,31000000,None,None,None,0,0,0,194000000,-406000000,783000000,1235000000,423000000,None
2016-09-30,USD,8255000000,-344000000,5510000000,-136000000,-78000000,568000000,303000000,0,810000000,21000000,1583000000,None,876000000,0,84000000,None,None,None,0,0,0,237000000,0,17000000,0,552000000,None
2016-06-30,USD,8677000000,7760000000,5975000000,2575000000,917000000,406000000,343000000,0,593000000,37000000,1748000000,None,667000000,0,74000000,None,None,None,0,0,0,149000000,0,-1000000,0,407000000,None
2016-03-31,USD,7903000000,0,5265000000,0,0,500000000,305000000,0,730000000,28000000,1575000000,None,783000000,0,72000000,None,None,None,0,0,0,201000000,0,0,0,501000000,None
2015-12-31,USD,9242000000,31818000000,6559000000,10418000000,3663000000,204000000,408000000,0,305000000,36000000,1988000000,None,407000000,-124000000,63000000,None,None,None,0,0,0,66000000,-823000000,3000000,2052000000,203000000,None
2015-09-30,USD,8519000000,0,5717000000,0,0,577000000,322000000,0,836000000,30000000,1629000000,None,889000000,0,64000000,None,None,None,0,0,0,229000000,0,0,0,577000000,None
2015-06-30,USD,9165000000,0,6152000000,0,0,588000000,346000000,0,892000000,39000000,1724000000,None,996000000,0,88000000,None,None,None,0,0,0,263000000,0,0,0,590000000,None
