fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,149530000000,76463000000,None,2803000000,134798000000,14708000000,4785000000,None,18000000,3130000000,28053000000,42669000000,3853000000,6017000000,24646000000,5371000000,5371000000,-3435000000,4908000000,21256000000,225000000,-104424000000,23000000,8354000000,82061000000,4059000000,19275000000,None,None,18000000,None,3130000000,-1958000000,None,4009000000,None,128274000000,None,82061000000,23306000000,110152000000,None,None,None,16953000000,149530000000,6040000000,None,None
2020-03-31,USD,91199000000,18203000000,None,2410000000,98614000000,-7415000000,959000000,None,18000000,5973000000,18815000000,15561000000,2505000000,41142000000,16471000000,3762000000,3762000000,-3697000000,2961000000,51758000000,78000000,-41179000000,None,6362000000,63284000000,1844000000,12709000000,None,None,18000000,None,5973000000,-25110000000,None,2638000000,None,39441000000,None,63284000000,17900000000,82143000000,None,None,None,15401000000,91199000000,41142000000,None,1484000000
2019-12-31,USD,89115000000,18649000000,None,2354000000,97287000000,-8172000000,1130000000,4633000000,18000000,4717000000,18476000000,15604000000,1913000000,39924000000,15585000000,3753000000,3753000000,-3596000000,2962000000,49519000000,93000000,-42425000000,0,5428000000,62975000000,1813000000,11832000000,None,None,18000000,None,4717000000,-24504000000,None,2288000000,None,39596000000,None,62975000000,17597000000,81702000000,None,None,None,15193000000,89115000000,39924000000,None,1484000000
2019-09-30,USD,59441000000,19036000000,None,2060000000,67667000000,-8226000000,1058000000,539000000,18000000,3673000000,16721000000,15537000000,1276000000,10648000000,17493000000,5276000000,5276000000,-2528000000,2894000000,20166000000,131000000,-42799000000,0,5529000000,33126000000,1929000000,12217000000,None,None,18000000,None,3673000000,-24501000000,None,1677000000,None,39275000000,None,33126000000,15990000000,50174000000,None,None,None,15112000000,59441000000,10648000000,None,1483000000
2019-06-30,USD,57142000000,20459000000,None,2307000000,65708000000,-8566000000,1148000000,444000000,18000000,3384000000,16741000000,15642000000,1185000000,5172000000,16941000000,5641000000,5641000000,-2491000000,2879000000,15100000000,1473000000,-44667000000,244000000,5482000000,31597000000,1895000000,11300000000,None,None,18000000,None,3384000000,-24505000000,None,1589000000,None,42042000000,None,31619000000,16000000000,48767000000,None,None,None,15028000000,57142000000,5416000000,None,1484000000
2019-03-31,USD,56769000000,20846000000,None,1803000000,64595000000,-7826000000,1116000000,420000000,18000000,4234000000,14964000000,15606000000,1162000000,4897000000,13904000000,2078000000,2078000000,-2516000000,2860000000,14413000000,1477000000,-44278000000,331000000,5680000000,35043000000,1702000000,11826000000,None,None,18000000,None,4234000000,-24502000000,None,1567000000,None,42356000000,None,35066000000,14509000000,50691000000,None,None,None,14940000000,56769000000,5228000000,None,1483000000
2018-12-31,USD,59352000000,21233000000,None,1895000000,67798000000,-8446000000,1067000000,5355000000,18000000,3368000000,15557000000,15663000000,1208000000,7289000000,17239000000,5308000000,1609000000,-2480000000,2883000000,16945000000,1420000000,-45342000000,772000000,5384000000,35002000000,1605000000,11931000000,None,None,18000000,None,3368000000,-24108000000,None,1208000000,None,42407000000,None,35002000000,14490000000,50559000000,None,None,None,14756000000,59352000000,8061000000,None,1546000000
2018-09-30,USD,66164000000,26625000000,None,2114000000,69085000000,-2921000000,1490000000,378000000,18000000,6789000000,16511000000,15718000000,943000000,8015000000,15387000000,4021000000,1026000000,-2559000000,2950000000,18465000000,1463000000,-45264000000,770000000,5780000000,37187000000,1786000000,11366000000,0,0,18000000,0,6789000000,-21849000000,None,943000000,None,47699000000,None,36487000000,15721000000,53698000000,None,None,None,14680000000,66164000000,8785000000,None,1515000000
2018-06-30,USD,61641000000,26903000000,None,2729000000,65016000000,-3375000000,1670000000,350000000,18000000,5495000000,16576000000,15692000000,909000000,3547000000,17224000000,6530000000,3026000000,-2639000000,2787000000,13845000000,1505000000,-45970000000,196000000,5793000000,31216000000,1580000000,10694000000,0,0,18000000,0,5495000000,-20845000000,None,909000000,None,47796000000,None,30579000000,15543000000,47792000000,None,None,None,14596000000,61641000000,3743000000,None,1572000000
2018-03-31,USD,69342000000,27230000000,None,3391000000,65789000000,3553000000,2304000000,125000000,18000000,4977000000,15521000000,15880000000,46070000000,9007000000,17058000000,6381000000,6024000000,-2630000000,2828000000,20444000000,2057000000,-39557000000,467000000,5841000000,30906000000,1738000000,10677000000,0,0,18000000,0,4977000000,-13331000000,None,903000000,None,48898000000,None,30906000000,15521000000,48731000000,None,None,None,14519000000,69342000000,9474000000,None,1596000000
