fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,10425000000,5962000000,3711000000,6714000000,-79000000,-738000000,1582000000,None,-693000000,-1000000,3527000000,-831000000,752000000,None,614000000,46000000,18000000,-614000000,None,853000000,None,46000000,-831000000,None,-739000000,-738000000,None
2020-03-31,USD,8619000000,3074000000,1942000000,6677000000,3526000000,3010000000,1379000000,None,3098000000,24000000,1695000000,-77000000,3603000000,None,428000000,88000000,135000000,-428000000,None,None,None,88000000,-77000000,None,3010000000,3010000000,None
2019-12-31,USD,8704000000,2742000000,2006000000,6698000000,3529000000,2801000000,1542000000,None,3074000000,24000000,1951000000,-427000000,3956000000,-890000000,455000000,273000000,104000000,-455000000,None,139000000,None,273000000,-427000000,None,2801000000,2801000000,None
2019-09-30,USD,8479000000,3942000000,1920000000,6559000000,2421000000,1884000000,2285000000,None,2001000000,24000000,1657000000,-196000000,2617000000,-10000000,420000000,117000000,60000000,-420000000,None,None,None,117000000,-196000000,None,1884000000,1884000000,None
2019-06-30,USD,8255000000,3036000000,1819000000,6436000000,1116000000,741000000,1291000000,None,807000000,None,1654000000,-2284000000,3400000000,-10000000,309000000,66000000,49000000,-309000000,None,91000000,None,66000000,-2284000000,None,741000000,741000000,None
2019-03-31,USD,7828000000,3124000000,1694000000,6134000000,2869000000,2456000000,1289000000,None,2544000000,None,1680000000,-141000000,3010000000,-10000000,325000000,88000000,-331000000,-325000000,None,155000000,None,88000000,-296000000,None,2456000000,2456000000,None
2018-12-31,USD,8305000000,8724000000,2022000000,6283000000,-2054000000,-1826000000,6495000000,0,-2373000000,0,1929000000,387000000,-2441000000,500000000,319000000,None,None,None,-86000000,300000000,0,-547000000,-5310000000,0,-1826000000,-1826000000,None
2018-09-30,USD,8236000000,3242000000,1835000000,6401000000,3063000000,2747000000,1268000000,0,2761000000,0,1919000000,-96000000,3159000000,-500000000,302000000,None,None,None,0,55000000,0,14000000,-461000000,0,2747000000,2747000000,None
2018-06-30,USD,8278000000,3582000000,1934000000,6344000000,2284000000,1983000000,1322000000,0,2012000000,0,2260000000,-478000000,2762000000,500000000,272000000,None,None,None,0,-69000000,0,29000000,-763000000,0,1983000000,1983000000,None
2018-03-31,USD,7934000000,3104000000,1927000000,6007000000,3048000000,2783000000,1244000000,0,2797000000,0,1791000000,145000000,2903000000,500000000,251000000,None,None,None,0,69000000,0,14000000,-293000000,0,2783000000,2783000000,None
2017-12-31,USD,7739000000,3665000000,2280000000,5459000000,1445000000,52000000,1402000000,0,1193000000,0,1951000000,-349000000,1794000000,0,252000000,None,None,None,0,312000000,0,1141000000,-2916000000,0,52000000,52000000,None
2017-09-30,USD,6995000000,2674000000,1616000000,5379000000,2347000000,1631000000,1222000000,0,2095000000,0,1452000000,-358000000,2705000000,500000000,252000000,None,None,None,0,312000000,0,464000000,0,0,1631000000,1631000000,None
2017-06-30,USD,6944000000,2742000000,1528000000,5416000000,2606000000,1915000000,1223000000,0,2353000000,0,1504000000,-68000000,2674000000,0,253000000,None,None,None,0,15000000,0,438000000,0,0,1915000000,1915000000,None
2017-03-31,USD,6538000000,2503000000,1616000000,4922000000,2333000000,1711000000,1135000000,0,2086000000,0,1368000000,-86000000,2419000000,0,247000000,None,None,None,0,15000000,0,375000000,0,0,1711000000,1711000000,None
2016-12-31,USD,6796000000,2883000000,1555000000,5241000000,2288000000,1391000000,1190000000,0,1998000000,0,1653000000,-70000000,2358000000,500000000,290000000,None,None,None,0,40000000,0,607000000,-1739000000,0,1391000000,1391000000,None
2016-09-30,USD,6432000000,2567000000,1504000000,4928000000,2264000000,1598000000,1106000000,0,2014000000,0,1381000000,-97000000,2361000000,0,250000000,None,None,None,0,80000000,0,416000000,0,0,1598000000,1598000000,None
2016-06-30,USD,6452000000,2660000000,1405000000,5047000000,2321000000,1610000000,1124000000,0,2096000000,0,1466000000,-66000000,2387000000,0,225000000,None,None,None,0,70000000,0,486000000,0,0,1610000000,1610000000,None
2016-03-31,USD,5958000000,2311000000,1369000000,4589000000,1976000000,1354000000,946000000,0,1776000000,0,1355000000,-302000000,2278000000,0,200000000,None,None,None,0,10000000,0,422000000,0,0,1354000000,1354000000,None
2015-12-31,USD,6400000000,2812000000,1475000000,4925000000,2123000000,1517000000,1075000000,0,1924000000,0,1737000000,10000000,2113000000,500000000,199000000,None,None,None,0,150000000,0,407000000,-2211000000,0,1517000000,1517000000,None
2015-09-30,USD,5944000000,2892000000,1167000000,4777000000,1844000000,1239000000,1418000000,0,1647000000,0,1474000000,-41000000,1885000000,0,197000000,None,None,None,0,0,0,408000000,0,0,1239000000,1239000000,None
2015-06-30,USD,5475000000,2707000000,916000000,4559000000,1842000000,1366000000,981000000,0,1678000000,0,1703000000,-10000000,1852000000,0,164000000,None,None,None,0,23000000,0,312000000,0,0,1366000000,1366000000,None
