fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,40789703000,1910547000,None,4924948000,36821752000,3857252000,1806260000,None,2875000,5451221000,2145192000,6705130000,320742000,3420272000,30631571000,519710000,519710000,-128664000,1455008000,29918572000,None,-4758425000,None,13144423000,3620641000,11849201000,30111861000,None,None,2875000,None,5451221000,-6512956000,None,800446000,None,10871131000,None,3620641000,763280000,6190181000,None,None,None,5044776000,40789703000,None,None,203961405
2020-03-31,USD,42042262000,1935448000,None,5168420000,38337149000,3590590000,1843910000,None,2868000,5248005000,2174911000,6704133000,315330000,3691938000,32111790000,522807000,522807000,-132808000,1421768000,31180650000,None,-5048991000,None,14909664000,3622387000,11102566000,31588983000,None,None,2868000,None,5248005000,-6499584000,None,800263000,None,10861612000,None,3622387000,759062000,6225359000,None,None,None,4972109000,42042262000,3691938000,None,203351729
2019-12-31,USD,40016738000,2138398000,None,4699534000,36947657000,2954626000,1895453000,None,2860000,4375181000,2240963000,6707764000,274087000,3232604000,30630456000,532489000,532489000,-87731000,1442383000,28954816000,None,-5891536000,None,12568816000,3636114000,11686466000,30097967000,None,None,2860000,None,4375181000,-6236975000,None,773377000,None,11061922000,None,3636114000,785634000,6317201000,None,None,None,4901291000,40016738000,3232604000,None,205778204
2019-09-30,USD,39171980000,2294836000,None,1147483000,36178774000,2878917000,None,1057208000,2853000,4235491000,2243082000,6705507000,269067000,3374194000,29581294000,139012000,139012000,-111965000,1770516000,28132054000,None,-6121426000,None,12386879000,4033880000,11060254000,28385074000,None,None,None,None,None,-6097604000,None,269067000,None,11039926000,None,4354398000,419330000,6597480000,None,None,None,4850142000,None,3374194000,None,212000000
2019-06-30,USD,38478538000,2330457000,None,4164972000,35049977000,2989422000,1871549000,815331000,2849000,4186782000,2242541000,6706506000,272371000,2999559000,28788871000,166137000,166137000,-86883000,1767426000,27401778000,None,-5726177000,None,11989030000,4018565000,11247776000,28622734000,None,None,2849000,None,4186782000,-5931659000,None,272371000,None,11076760000,None,4018565000,370992000,6261106000,None,None,None,4818333000,38478538000,2999559000,-1557531000,208379917
2019-03-31,USD,38810310000,2355997000,None,4026182000,35771979000,2921215000,1857201000,1022509000,2846000,3969459000,2200180000,6699681000,273582000,2875750000,29211899000,282973000,282973000,-85142000,1858867000,27622183000,None,-6134463000,None,12222271000,4009500000,11373730000,28928926000,None,None,2846000,None,3969459000,-5756455000,None,273582000,None,11188127000,350400000,4359900000,342979000,6560080000,None,None,None,4790507000,38810310000,2875750000,-1526082000,210167489
2018-12-31,USD,39267823000,2924698000,None,1156484000,36103090000,3048453000,1879532000,22000000,2842000,4027217000,2234770000,6697547000,272428000,2540156000,29351737000,156276000,156276000,-92883000,1896943000,27476207000,None,-6573792000,None,11979382000,4165400000,11800185000,29195461000,None,None,2842000,None,4027217000,-5658318000,None,272428000,None,11791616000,351183000,4516583000,355238000,6751353000,None,None,None,4769595000,39267823000,2540156000,-1596115000,211025394
2018-09-30,USD,37669838000,2947828000,None,169122000,34619877000,2932824000,1829410000,647000000,2836000,3720582000,2239362000,6664272000,270942000,2492516000,27869687000,151657000,151657000,2970708000,1892424000,25894372000,None,-6679276000,0,11314226000,4158532000,11918508000,27718030000,3049961000,4715473000,2836000,0,3720582000,-5426814000,None,270942000,None,11775466000,352296000,4510828000,409952000,6750190000,None,None,None,4715473000,37669838000,2492516000,-1515484000,213217882
2018-06-30,USD,38309592000,3000912000,None,176512000,35033660000,3097821000,1877480000,625000000,2833000,3569371000,2364227000,6712729000,288193000,2388928000,28099671000,195592000,195592000,-82020000,1903357000,26404401000,None,-6615820000,0,11764614000,4198112000,12074347000,27904079000,3275932000,0,2833000,0,3569371000,-5088325000,None,288193000,None,11905191000,371650000,4569762000,486747000,6933989000,None,None,None,4695962000,38309592000,2388928000,-1484506000,216895892
2018-03-31,USD,38395732000,3062323000,None,173357000,35032136000,3187550000,1808082000,625000000,2831000,3376993000,2297711000,6697566000,298478000,2091359000,28094404000,252894000,252894000,-43506000,1940154000,26397211000,None,-6572339000,0,11265014000,4277501000,12867481000,27841510000,3363596000,0,2831000,0,3376993000,-4823063000,None,298478000,None,11998521000,362520000,4640021000,489629000,6937732000,None,None,None,4674295000,38395732000,2091359000,-1432452000,219743905
