fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-110307000,-1541348000,-110307000,-3588000,-33355000,-73460000,-1576000,57571000,287268000,-271666000,-87899000,130647000,98785000,-86223000,47694000,-758469000,1615979000,79239000,106719000,1615979000,None,-271666000
2020-03-31,USD,-105461000,1537160000,-105461000,-28384000,14928000,-288102000,-197000,-68290000,971111000,459334000,852897000,-691944000,100823000,-87453000,-215380000,478621000,-1745012000,202138000,77077000,-1745012000,None,459334000
2019-12-31,USD,-62339000,553517000,-62339000,4966000,-13981000,-222061000,-9977000,-235300000,186568000,-141590000,142810000,-111000,109345000,-83088000,-115015000,-630980000,-307204000,231675000,67305000,-307204000,None,-141590000
2019-09-30,USD,-78799000,596381000,-78799000,563000,-2580000,-219388000,-2991000,218438000,132619000,374635000,672822000,None,113387000,-83910000,-151253000,112158000,-569148000,49751000,79455000,None,None,None
2019-06-30,USD,-85806000,-230724000,-85806000,-16527000,-114476000,-358254000,-1593000,139527000,302002000,123809000,567869000,11649000,112296000,-84636000,-157549000,140042000,208063000,24541000,69279000,208063000,None,123809000
2019-03-31,USD,-83609000,-283573000,-83609000,-1354000,-24459000,-205161000,-2048000,-84706000,28073000,335594000,624364000,9696000,136597000,-84893000,-93761000,478585000,-221915000,476901000,82255000,-221915000,None,335594000
2018-12-31,USD,None,1464585000,-127618000,-48385000,8442000,-303710000,-10009000,-41876000,391753000,47640000,478968000,-26610000,135232000,-85535000,-216608000,-898775000,-658890000,71673000,79233000,-658890000,None,47640000
2018-09-30,USD,None,-286036000,-85242000,2810000,-63464000,-476515000,-3130000,-599664000,194004000,103588000,665345000,21904000,127457000,-82077000,-327844000,46801000,449861000,111354000,88052000,449861000,None,103588000
2018-06-30,USD,None,125246000,-90450000,-10907000,-121565000,-435266000,-2307000,49202000,277875000,297569000,823285000,10514000,145418000,-83431000,-227963000,753440000,-517245000,28065000,79543000,-517245000,None,297569000
2018-03-31,USD,None,477553000,-793099000,-697924000,-23469000,-65721000,-6224000,9047000,282160000,-946388000,-87568000,-38783000,125510000,-83978000,47950000,-345037000,-682010000,93011000,95175000,-682010000,None,-946388000
2017-12-31,USD,None,201052000,-142323000,-68682000,821845000,734629000,-10739000,-66916000,861853000,602632000,10326000,-8518000,111724000,-83555000,7078000,-460127000,91624000,-787282000,73641000,91624000,None,602632000
2017-09-30,USD,1723000,1025850000,-91475000,1771000,7699000,-165331000,-1525000,675921000,-344587000,1123648000,1380454000,9802000,112071000,-80102000,-91403000,398449000,-1277896000,37666000,94969000,141203000,None,1123648000
2017-06-30,USD,25580000,813574000,-137092000,-53944000,-662369000,-711174000,-1672000,284810000,50352000,-1092966000,-244700000,-2747000,107882000,-80075000,32942000,-273846000,1419099000,61479000,108728000,-1001394000,None,-1092966000
2017-03-31,USD,7451000,-12009000,-112617000,5350000,-42754000,-72823000,-1299000,-30455000,411473000,613299000,798739000,-30455000,106127000,-79924000,51154000,157496000,417705000,46875000,125418000,119232000,None,613299000
2016-12-31,USD,-19958000,315441000,-156857000,383000,-52129000,-363486000,-11489000,57046000,247246000,-950698000,-430355000,57046000,106251000,-80169000,-219699000,-713553000,536937000,94151000,137282000,-536937000,None,-950698000
2016-09-30,USD,-947000,1264200000,-148118000,7267000,-201608000,-331791000,-6581000,-56370000,143614000,876630000,1356539000,1346500000,108111000,-73407000,-50195000,-431670000,-912724000,560975000,154438000,-207262000,None,876630000
2016-06-30,USD,-6034000,-221962000,-146508000,-10308000,-80121000,-704949000,-1313000,17628000,349803000,-660085000,191372000,17628000,99115000,-73241000,-550274000,177495000,705462000,2681000,130166000,-233388000,None,-660085000
2016-03-31,USD,-6034000,512197000,-102066000,-12164000,-13601000,769525000,-211000,-14324000,604135000,1547197000,879738000,-14324000,97471000,-70630000,853967000,233219000,0,-157147000,89902000,-395813000,None,1547197000
2015-12-31,USD,47693000,1539905000,-2772487000,-2730070000,1008544000,832287000,-20463000,None,330377000,-1189352000,750848000,31966000,87469000,-71199000,-84595000,-1086296000,0,-76312000,90110000,-76261000,None,-1189352000
2015-09-30,USD,-86214000,1591040000,-186526000,-25816000,-256901000,-1361329000,399000,115631000,364287000,-387741000,1160114000,343164000,71787000,-61865000,-1042962000,-136051000,-1478793000,-99741000,74496000,-610085000,None,-387741000
2015-06-30,USD,None,965398000,-55186000,-3298000,-337490000,-848191000,802000,None,214163000,218204000,1121581000,252293000,69983000,-63935000,-447568000,-89096000,0,-19191000,51888000,-57806000,None,218204000
