fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,45366777000,820885000,44141061000,1225716000,381583000,289439000,None,None,343835000,-2171000,666885000,-23248000,404831000,95415000,37748000,56567000,1429000,-37748000,None,58585000,None,56567000,-81833000,None,287268000,289439000,None
2020-03-31,USD,47417639000,1078592000,46029532000,1388107000,310624000,960277000,None,None,276203000,10834000,693413000,1109000,309515000,93795000,34421000,-694908000,7561000,-34421000,None,291384000,None,-694908000,-290275000,None,971111000,960277000,None
2019-12-31,USD,47864742000,967777000,46633528000,1231214000,260595000,187640000,None,None,229588000,-1072000,685953000,-2842000,263437000,104515000,31007000,43020000,10595000,-31007000,None,177309000,None,43020000,-180151000,None,186568000,187640000,None
2019-09-30,USD,45637802000,45283554000,44453065000,1184737000,305684000,132619000,None,None,144651000,114289000,721944000,None,354248000,-15000,47646000,12344000,11243000,-36403000,None,None,None,12344000,-173194000,None,132307000,132619000,None
2019-06-30,USD,45239265000,824545000,44008026000,1231239000,407036000,301959000,None,None,371115000,43000,656943000,342000,406694000,107596000,35921000,69113000,12789000,-35921000,None,60006000,None,69113000,-59664000,None,302002000,301959000,None
2019-03-31,USD,43319602000,1377191000,41894846000,1424756000,62059000,27135000,None,None,18784000,938000,628036000,14494000,47565000,123766000,43275000,-9289000,-29575000,-43275000,None,625389000,None,-9289000,-610895000,None,28073000,27135000,None
2018-12-31,USD,45392452000,819757000,44094872000,1297580000,474726000,393652000,0,None,432556000,-1899000,656585000,-3097000,477823000,122500000,42170000,None,None,None,37000000,40672000,None,40803000,1308000,None,391753000,393652000,None
2018-09-30,USD,43297136000,878544000,42264495000,1032641000,154917000,233288000,0,0,111870000,-39284000,657805000,820000,154097000,120558000,43047000,None,None,None,0,100181000,0,-82134000,-142324000,0,194004000,233288000,None
2018-06-30,USD,43142309000,822146000,41930968000,1211341000,392353000,275809000,0,0,345202000,2066000,626548000,3158000,389195000,120045000,47151000,None,None,None,0,75553000,0,67327000,-83915000,0,277875000,275809000,None
2018-03-31,USD,41033858000,774263000,39778175000,1255683000,452297000,287455000,0,0,361332000,-5295000,617426000,-29123000,481420000,119388000,48637000,None,None,None,0,37449000,0,79172000,-157537000,0,282160000,287455000,None
2017-12-31,USD,40466332000,693679000,39353680000,1112652000,394883000,861853000,0,0,359019000,176046000,558522000,-24090000,418973000,105136000,35864000,None,None,None,0,30021000,0,-502834000,-66907000,0,861853000,861853000,None
2017-09-30,USD,39120015000,1307045000,37947995000,1172020000,-136230000,-344587000,0,0,-171541000,-58909000,560877000,-1228000,-135002000,104358000,35311000,None,None,None,0,641810000,0,173046000,-1099002000,0,-344587000,-344587000,None
2017-06-30,USD,38707144000,909499000,37627269000,1079875000,168978000,50352000,0,0,133375000,176046000,525463000,-1398000,170376000,99519000,35603000,None,None,None,0,284517000,0,83023000,-6631000,0,50352000,50352000,None
2017-03-31,USD,37147402000,631446000,35890975000,1256427000,630214000,411473000,0,0,592915000,0,521843000,5233000,624981000,97669000,37299000,None,None,None,0,11934000,0,181442000,5110000,0,411473000,411473000,None
2016-12-31,USD,38169265000,637667000,37131585000,1037680000,400110000,247246000,0,0,363138000,0,520547000,123000,399987000,96054000,36972000,None,None,None,0,21066000,0,115892000,123000,0,247246000,247246000,None
2016-09-30,USD,37560603000,894263000,36436068000,1124535000,232103000,143614000,0,0,188298000,117137000,520149000,1824000,230279000,359922000,43805000,None,None,None,0,14192000,0,44684000,-294358000,0,143614000,143614000,None
2016-06-30,USD,36881680000,581249000,35773817000,1107863000,528772000,349803000,0,0,496657000,0,520032000,2158000,526614000,8983000,32115000,None,None,None,0,52234000,0,146854000,1712000,0,349803000,349803000,None
2016-03-31,USD,35698357000,126619000,34623026000,1075331000,949468000,604135000,0,0,916355000,0,521636000,756000,948712000,-412634000,33113000,None,None,None,0,17617000,0,312220000,756000,0,604135000,604135000,None
2015-12-31,USD,36709046000,1144708000,35744169000,964877000,-179521000,330377000,0,0,-210400000,0,577027000,310000,-179831000,548813000,30879000,None,None,None,0,18868000,0,-540777000,0,0,330377000,330377000,None
2015-09-30,USD,35470378000,436123000,34496216000,973574000,536572000,364287000,0,0,475496000,117137000,-567744000,-879000,537451000,996972000,30067000,None,None,None,0,6895000,0,111209000,-1049786000,0,364287000,364287000,None
2015-06-30,USD,34233556000,558899000,33342092000,891464000,332565000,214163000,0,0,304306000,0,502744000,None,332565000,53530000,29793000,None,None,None,0,2625000,0,90143000,22810000,0,214163000,214163000,None
