fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,19872629000,80354000,3480555000,None,17412499000,2460130000,None,15589818000,71674000,481948000,268091000,928005000,14652034000,721708000,15589818000,None,None,39613000,253681000,15016072000,3051746000,1451771000,1238896000,14294364000,1541711000,None,None,None,None,71674000,None,481948000,-42944000,None,486465000,None,56306000,None,1541711000,280970000,1822681000,None,None,None,1909839000,19872629000,721708000,None,None
2020-03-31,USD,18224548000,85955000,3230116000,None,15787398000,2437150000,None,13844618000,71652000,460153000,261359000,931947000,13370368000,652405000,13844618000,None,1225000000,39551000,252374000,13596987000,2833023000,1419248000,1353040000,12944582000,1666261000,None,None,None,None,71652000,None,460153000,-42927000,None,500066000,None,24196000,None,1666261000,276519000,1942780000,None,None,None,1908721000,18224548000,652405000,None,70000000
2019-12-31,USD,18242579000,91586000,3502897000,1766411000,15772997000,2469582000,None,None,71500000,507950000,152287000,931637000,13170488000,597685000,15188997000,1125000000,0,17995000,272423000,2306123000,1470322000,1446359000,1403403000,None,1526269000,19500000,14027073000,None,None,None,None,None,-34971000,None,None,None,None,None,397150000,None,None,None,None,None,1907108000,None,None,None,59000000
2019-09-30,USD,17764277000,97328000,3031891000,1290051000,15343554000,2420723000,None,13659594000,71447000,457127000,145919000,911488000,13229845000,480188000,13659594000,1125000000,70000000,15482000,239428000,13270942000,2761464000,1411907000,1491207000,12790754000,1478247000,20710000,13659594000,None,None,71447000,None,457127000,-28122000,None,456591000,None,22111000,None,1478247000,205713000,1683960000,None,None,None,1904789000,17764277000,480188000,None,70000000
2019-06-30,USD,11889336000,52437000,1754515000,323073000,10352215000,1537121000,None,9582370000,49099000,446182000,85199000,501140000,30812000,338903000,9582370000,419202000,70000000,16462000,141378000,9356980000,1576304000,983544000,1273244000,9018077000,654507000,14675000,9582370000,None,None,49099000,None,446182000,-28122000,None,225116000,None,30812000,None,654507000,115338000,769845000,None,None,None,1053500000,11889336000,338903000,None,47000000
2019-03-31,USD,11656275000,55557000,2081232000,164770000,10160691000,1495584000,None,9800875000,49126000,412005000,86494000,501308000,8689069000,864371000,9800875000,5998000,5998000,-1178000,141698000,9318051000,1372519000,938719000,1234435000,8453680000,240983000,16871000,9800875000,None,None,49126000,None,412005000,-17559000,None,227833000,None,33295000,None,240983000,118833000,359816000,None,None,None,1053190000,11656275000,864371000,None,47000000
2018-12-31,USD,11443515000,58689000,None,10812000,9987168000,1456347000,None,9649313000,49015000,377135000,75234000,503434000,8708177000,679527000,9649313000,20000,20000,-4826000,145410000,9173434000,1325394000,894224000,10812000,8483095000,240961000,16753000,9649313000,None,None,49015000,None,377135000,-16561000,None,192493000,None,35126000,None,240961000,96894000,337855000,None,None,None,1051584000,11443515000,679527000,None,43000000
2018-09-30,USD,11428994000,54729000,None,188379000,10024017000,1404977000,0,9181363000,49012000,338350000,82766000,505604000,8736216000,640815000,9181363000,759888000,759888000,-16576000,145885000,9142217000,1336370000,844644000,11558000,8501402000,745817000,17067000,9181363000,0,0,49012000,0,338350000,-16561000,None,196597000,None,38217000,None,745817000,96837000,842654000,None,None,None,1050752000,11428994000,640815000,None,48000000
2018-06-30,USD,11190697000,53561000,None,191949000,9818801000,1371896000,0,8761593000,49012000,301656000,95424000,504764000,8700625000,436267000,8761593000,961784000,961784000,-12571000,144484000,8895269000,1342993000,813571000,11558000,8459002000,950746000,15275000,8761593000,0,0,49012000,0,301656000,-15484000,None,201383000,None,40240000,None,950746000,106426000,1057172000,None,None,None,1049283000,11190697000,436267000,None,40000000
2018-03-31,USD,8022828000,12562000,None,111135000,7153884000,868944000,0,6446165000,39820000,296366000,43033000,208513000,1280572000,334875000,6446165000,664686000,664686000,-10823000,116381000,7347431000,150085000,647869000,848585000,6163971000,641381000,127029000,6446165000,0,0,39820000,0,296366000,-15459000,None,150008000,None,28677000,None,641381000,66303000,707684000,None,None,None,559040000,8022828000,1183460000,None,38000000
2017-12-31,USD,7856203000,13496000,None,10000,7051724000,804479000,0,6625845000,38735000,273119000,59137000,125532000,1172326000,330648000,6625845000,366809000,366809000,-1280000,117738000,7162095000,248176000,665451000,810873000,6020564000,336104000,214917000,6625845000,0,0,38735000,0,273119000,-14499000,None,151835000,None,28320000,None,336104000,89775000,425879000,None,None,None,508404000,7856203000,1141521000,None,37000000
2017-09-30,USD,7649820000,14437000,None,112844000,6847899000,801921000,0,5895504000,38706000,267694000,44447000,125532000,1198662000,131071000,5895504000,907948000,907948000,3241000,119458000,6994564000,195315000,661952000,819593000,5931056000,893820000,156729000,5895504000,0,0,38706000,0,267694000,-14499000,None,151758000,None,39365000,None,893820000,58603000,952423000,None,None,None,506779000,7649820000,950664000,None,38000000
2017-06-30,USD,7397858000,15378000,None,137811000,6615176000,782682000,0,5793397000,38698000,251259000,38899000,125532000,1184120000,139500000,5793397000,782880000,782880000,1421000,121108000,6741744000,200591000,641772000,818693000,5645740000,764480000,169579000,5793397000,0,0,38698000,0,251259000,-14499000,None,140898000,None,41124000,None,764480000,57299000,821779000,None,None,None,505803000,7397858000,958193000,None,37000000
2017-03-31,USD,7094856000,16391000,None,232045000,6336640000,758216000,0,5642369000,38603000,231894000,43628000,125532000,1190002000,127164000,5642369000,566084000,566084000,-1209000,121610000,6486238000,153255000,616293000,830765000,5296264000,610228000,127771000,5642369000,0,0,38603000,0,231894000,-14615000,None,139859000,None,41505000,None,610228000,84043000,694271000,None,None,None,503543000,7094856000,957929000,None,36000000
2016-12-31,USD,6892031000,17428000,None,143724000,6245594000,646437000,0,5575163000,36378000,214454000,40377000,125532000,1202685000,198385000,5575163000,630054000,630054000,-1058000,121217000,5635052000,135388000,503477000,822735000,4613932000,576549000,129338000,5575163000,0,0,36378000,0,214454000,-13613000,None,805764000,None,40776000,None,576549000,93882000,670431000,None,None,None,410276000,6892031000,1021120000,None,35000000
2016-09-30,USD,6493495000,18472000,None,90801000,5850912000,642583000,0,5306098000,36348000,210218000,44808000,122545000,1183109000,123270000,5306098000,416108000,416108000,10449000,122191000,5187361000,150841000,501566000,838124000,4135166000,457359000,151781000,5306098000,0,0,36348000,0,199769000,-13613000,None,881693000,None,1295742000,None,457359000,87455000,544814000,None,None,None,409630000,6493495000,961394000,None,35000000
2016-06-30,USD,6221294000,20574000,None,68273000,5595379000,625915000,0,5179532000,36303000,181701000,34947000,121422000,1178199000,116255000,5179532000,297330000,297330000,12960000,123978000,4897728000,121882000,483919000,843646000,3869554000,343761000,133192000,5179532000,0,0,36303000,0,181701000,-13598000,None,921945000,None,1309801000,None,343761000,72086000,415847000,None,None,None,408549000,6221294000,959901000,None,35000000
2016-03-31,USD,6097771000,21892000,None,107373000,5496943000,600828000,0,5230787000,36272000,163395000,28647000,121512000,1164113000,146863000,5230787000,None,None,6411000,124747000,4727783000,110241000,457424000,837103000,3636444000,193768000,131218000,5230787000,0,0,36272000,0,163395000,-12976000,None,976629000,None,1355021000,None,193768000,72388000,266156000,None,None,None,407726000,6097771000,983966000,None,33000000
2015-12-31,USD,5588940000,17058000,None,5500000,5074181000,514759000,0,4879290000,33625000,152820000,22432000,90082000,1042204000,385063000,4879290000,15000000,15000000,3353000,121639000,4331117000,120505000,407619000,783185000,3157369000,108874000,146673000,4879290000,0,0,33625000,0,152820000,-12388000,None,892392000,None,1241676000,None,108874000,86017000,194891000,None,None,None,337349000,5588940000,1168248000,None,32000000
2015-09-30,USD,5216300000,18218000,None,120925000,4714000000,502300000,0,4530523000,33610000,140282000,23371000,87701000,1063180000,114396000,4530523000,None,None,4197000,124756000,4082378000,121129000,396381000,811385000,3035672000,108600000,156278000,4530523000,0,0,33610000,0,140282000,-12388000,None,761388000,None,1113192000,None,108600000,74877000,183477000,None,None,None,336599000,5216300000,925781000,None,33000000
2015-06-30,USD,5205734000,19189000,None,239804000,4718964000,486770000,0,4511547000,33609000,126265000,24026000,87367000,1131630000,115413000,4511547000,None,None,3072000,124916000,3367313000,140718000,380214000,862154000,2149942000,108325000,157134000,4511547000,0,0,33609000,0,126265000,-12388000,None,1466231000,None,1838421000,None,108325000,99092000,207417000,None,None,None,336212000,5205734000,977567000,None,33000000
