fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,164378000,1924000,None,924000,43324000,121054000,None,2002000,848000,-547639000,None,32466000,1006000,14542000,37556000,1758000,1758000,133000,12628000,108803000,None,86664000,93337000,None,None,None,33796000,None,None,848000,None,-547639000,None,None,8557000,None,55575000,7474000,None,5768000,5768000,None,None,None,667712000,164378000,107879000,None,84781241
2020-03-31,USD,175003000,1968000,None,37150000,42626000,132377000,None,1998000,836000,-534629000,None,32466000,1144000,40155000,36613000,None,None,386000,12865000,118758000,None,132377000,75887000,None,None,None,34615000,None,None,836000,None,-534629000,None,None,8946000,None,21811000,7715000,None,6013000,6013000,None,None,None,665784000,175003000,116042000,None,83622135
2019-12-31,USD,223382000,36178000,None,71776000,44952000,178430000,None,1995000,836000,-486470000,None,32466000,1144000,129258000,38701000,None,None,None,13157000,132390000,None,178430000,0,0,None,None,36706000,None,None,836000,None,-486470000,None,None,9191000,None,22348000,7950000,None,6251000,6251000,None,None,None,664064000,223382000,129258000,None,83622135
2019-09-30,USD,142772000,37471000,None,71591000,46720000,96052000,None,1992000,511000,-470039000,20000000,32466000,1143000,47923000,20238000,10000000,10000000,None,13814000,49592000,None,96052000,0,15000,20000000,None,18246000,None,None,511000,None,-470039000,None,None,9429000,None,23243000,8178000,None,26482000,26482000,None,None,None,565580000,142772000,47923000,None,51054395
2019-06-30,USD,159410000,38765000,None,83242000,52250000,107160000,None,38697000,492000,-452667000,20000000,32466000,1148000,42609000,25542000,10000000,10000000,None,13616000,64895000,None,107160000,19903000,40000,20000000,None,13553000,None,None,492000,None,-452667000,None,None,1148000,None,13616000,8401000,None,None,26708000,None,None,None,559335000,159410000,62512000,None,49249497
2019-03-31,USD,166136000,41697000,None,87431000,48343000,117793000,None,38913000,479000,-428743000,20000000,32466000,1147000,25924000,21416000,10000000,10000000,None,10356000,71721000,None,117793000,42387000,38000,20000000,None,9430000,None,None,479000,None,-428743000,None,None,1147000,None,10356000,8617000,None,6927000,26927000,None,None,None,546057000,166136000,68311000,None,47949694
2018-12-31,USD,174399000,43042000,None,79907000,40354000,134045000,None,30296000,479000,-410188000,20000000,32466000,597000,18750000,20354000,None,None,None,9443000,88851000,None,134045000,66218000,81000,None,None,10058000,None,None,479000,None,-410188000,None,None,None,None,9443000,None,None,None,None,None,None,None,543754000,174399000,84968000,None,48000000
2018-09-30,USD,160576000,3717000,None,1975000,10331000,150245000,0,None,480000,-392711000,None,32466000,597000,33599000,10331000,None,None,None,9245000,114551000,None,114062000,78625000,352000,0,0,10331000,0,0,480000,0,-392711000,0,None,597000,None,46025000,None,None,None,None,None,None,None,542476000,160576000,112224000,None,48000000
2018-06-30,USD,166697000,3803000,None,1937000,5783000,160914000,0,None,473000,-376292000,None,32466000,595000,49990000,5783000,None,None,None,8007000,121826000,None,124645000,69852000,47000,0,0,5783000,0,0,473000,0,-376292000,0,None,595000,None,44871000,None,None,None,None,None,None,None,536733000,166697000,119842000,None,47000000
2018-03-31,USD,175653000,3890000,None,2092000,6454000,169199000,0,544000,472000,-364592000,None,32466000,357000,131995000,6454000,None,None,None,4789000,134151000,None,132843000,0,64000,0,0,5910000,0,0,472000,0,-364592000,0,None,357000,None,41502000,None,None,None,None,None,None,None,533319000,175653000,131995000,None,47000000
2017-12-31,USD,178766000,3977000,None,2735000,8668000,170098000,3061000,3214000,469000,-359792000,3061000,32466000,36800000,137750000,5607000,None,None,None,1374000,140592000,None,133655000,0,107000,0,0,2393000,0,0,469000,0,-359792000,0,None,357000,None,38174000,None,None,None,3061000,None,None,None,529421000,178766000,137750000,None,46888108
2017-09-30,USD,95731000,4063000,None,1762000,5851000,89880000,3212000,602000,409000,-351342000,3212000,32466000,36606000,56522000,2639000,None,None,None,730000,58395000,None,53351000,0,111000,0,0,2037000,0,0,409000,0,-351342000,0,None,77000,None,37336000,None,None,None,3212000,None,None,None,440813000,95731000,56522000,None,40000000
2017-06-30,USD,96659000,4150000,None,867000,7581000,89078000,3362000,602000,403000,-345999000,3362000,32466000,36682000,58304000,4219000,None,None,None,709000,59268000,None,52462000,0,97000,0,0,3617000,0,0,403000,0,-345999000,0,None,66000,None,37391000,None,None,None,3362000,None,None,None,434674000,96659000,58304000,None,40000000
