fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-17656000,800000,-18209000,None,1758000,1933000,None,2592000,-13010000,-25751000,-9475000,72000,1085000,None,175000,None,None,1578000,553000,None,None,-25751000
2020-03-31,USD,-75392000,-2926000,-75871000,-75392000,1758000,0,None,416000,-48159000,-89103000,-13232000,30761000,2310000,None,None,None,None,1856000,479000,None,None,-89103000
2019-12-31,USD,-824000,832000,-946000,66484000,1758000,96527000,95972000,-4698000,-16431000,81335000,-14246000,-2491000,2930000,None,555000,None,15000,1731000,122000,15000,None,81335000
2019-09-30,USD,43308000,-5533000,19228000,-47143000,1758000,4340000,None,931000,-17372000,5314000,-18254000,-5594000,2032000,None,4340000,None,25000,2655000,937000,25000,None,5314000
2019-06-30,USD,18920000,3904000,18920000,46944000,None,13007000,None,1260000,-23924000,16685000,-15242000,5609000,2057000,None,13007000,None,-2000,1018000,4024000,-2000,None,16685000
2019-03-31,USD,24000000,-910000,22774000,24000000,None,28000,None,580000,-18555000,7724000,-15078000,-158000,1658000,None,28000,None,43000,1934000,1226000,43000,None,7724000
2018-12-31,USD,13033000,2635000,2119000,-65592000,None,-1000,None,-1827000,-20089000,-14849000,-16967000,None,1391000,None,5477000,None,271000,652000,663000,None,None,None
2018-09-30,USD,-8773000,4548000,-10430000,0,None,3079000,None,-40000,-16419000,-16391000,-9040000,132000,505000,0,79000,0,-305000,2499000,1657000,-305000,None,-16391000
2018-06-30,USD,-69852000,-671000,-73273000,0,None,570000,None,197000,-11700000,-81725000,-9022000,369000,290000,0,337000,0,17000,2673000,3421000,17000,None,-81725000
2018-03-31,USD,-69852000,1449000,-3502000,0,None,1829000,None,643000,-8463000,-5755000,-4082000,815000,174000,0,1829000,0,43000,1900000,3502000,43000,None,-5755000
2017-12-31,USD,None,708000,-860000,0,None,92403000,None,-2871000,-27319000,68608000,-22935000,None,741000,0,0,0,17000,5789000,860000,None,None,None
2017-09-30,USD,-69852000,-1730000,-72000,0,None,5060000,None,-906000,-5343000,-1782000,-6770000,-613000,138000,0,5060000,0,13000,792000,72000,-14000,None,-1782000
2017-06-30,USD,None,2003000,-10000,0,None,84000,None,-404000,-8279000,-4908000,-4982000,-207000,207000,0,84000,0,27000,1243000,10000,51000,None,-4908000
2017-03-31,USD,None,-2382000,-74000,0,None,1000,None,-308000,-5247000,-5930000,-5857000,54000,250000,0,1000,0,0,1492000,74000,-24000,None,-5930000
2016-12-31,USD,None,2819000,-519000,0,None,42537000,None,-2435000,-21873000,29004000,-13014000,None,825000,0,0,0,-9000,8261000,519000,None,None,None
2016-09-30,USD,None,-343000,-148000,0,None,1019000,None,92000,-2624000,-3118000,-3989000,333000,222000,0,1019000,0,0,-1083000,148000,-494000,None,-3118000
2016-06-30,USD,None,913000,-126000,0,None,150000,None,-11000,-6703000,-3092000,-3116000,976000,181000,0,150000,0,3000,1385000,126000,132000,None,-3092000
2016-03-31,USD,None,16000,-227000,0,None,0,None,74000,-5544000,-2743000,-2516000,1966000,174000,0,0,0,0,1001000,227000,-129000,None,-2743000
2015-12-31,USD,None,-1776000,3389000,0,-400000,35652000,None,-4214000,-14526000,28618000,-10423000,None,551000,0,0,0,-79000,9621000,308000,None,None,None
2015-09-30,USD,None,-500000,-27000,0,None,15411000,15411000,None,-6073000,12872000,-2512000,1957000,151000,0,0,0,0,1894000,27000,59000,None,12872000
2015-06-30,USD,None,376000,3692000,3697000,None,20641000,9005000,None,-4113000,22462000,-1871000,940000,132000,None,11636000,None,None,979000,5000,-185000,None,22462000
