fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,BRL,-814924000,360452000,-814924000,100000,3183676000,1986073000,-1191339000,None,1226799000,3009914000,1838765000,None,1302191000,-4738000,-1526000,10034000,None,217121000,807133000,None,None,None
2020-03-31,BRL,-1670692000,-2518292000,-1670692000,100000,-89079000,-147582000,-7488000,None,1091784000,-274217000,1544057000,None,1174012000,-46548000,-4467000,-1142700000,None,297581000,1346319000,None,None,None
2019-12-31,BRL,-1912664000,3464346000,-1912654000,100000,-1343640000,-10348020000,-1345010000,0,4099740000,-2625790000,9634894000,0,1264087000,-7644268000,-15084000,-190511000,-220.36,2032588000,2003848000,0,0,0
2019-09-30,BRL,-1648444000,-86334000,-1648444000,2867000,-1018822000,-1274410000,-86787000,0,2497677000,629333000,3552187000,0,1255457000,-163628000,-14264000,178558000,-35.71,-65277000,1623740000,0,0,0
2019-06-30,BRL,-894400000,-773134000,-894357000,2867000,-136048000,-277100000,-130575000,0,2520733000,1942500000,3114100000,0,1109200000,-10400000,-1400000,-166100000,-76.92,629655000,895800000,0,0,0
2019-03-31,BRL,-383135000,-1222901000,-383135000,202296000,554720000,-383831000,-886735000,60060000,2661850000,1313179000,2080145000,0,1046498000,-53007000,-1333000,-666025000,248.20,1065886000,546056000,0,0,0
2018-12-31,USD,-578156.80,711747867.98,-333652642.16,-2782572.85,-600456548.06,-2069206709.09,-147422770.72,15474196.79,865786720.94,-190280833.74,2263724782.93,0,213784041.43,-1321549223.20,0,-45645015.85,-148047819.03,626933759.31,348531935.18,0,0,0
2018-09-30,USD,-3210472.61,46365197.48,-248027674.77,-2289639.38,43055175.33,-655683034.27,-69137154.38,14947363.18,704611632.36,394041960.13,1308404469.77,0,266046141.21,-631766257.68,0,-99574425.72,155745252.73,235210671.71,234040964.64,0,0,0
2018-06-30,USD,854587.27,110050089.45,-226496038.84,-7419371.33,4957321.75,-4304370.05,1055711.73,15348837.21,592167646.31,681163812.93,785949910.55,None,235935088.17,-11909276.77,0,-31985688.73,-272396626.63,152179401.99,205744697.16,None,None,None
2018-03-31,USD,-3865668.04,-757905291.13,-1074637593.62,-75199.32,583171961.83,157513288.23,-92808347.43,0,759833897.08,-724627023.44,239277301.28,None,253527724.09,-332121587.34,1868204.88,-140346098.09,261385600.39,-137218531.05,142750664.41,None,None,None
2017-12-31,USD,275800000,-105800000,-3073000000,56792000,-2546300000,-12864200000,-1459500000,-100000,882315000,2475900000,5396606000,None,3368000000,-2662903000,-11600000,-63800000,-265600000,7490400000,967241000,None,None,None
2017-09-30,USD,-10338000,338988000,-647365000,37558000,-1473882000,-3969928000,165702000,None,57138000,-389593000,2835992000,None,885899000,-1221489000,6122000,201360000,318765000,3189789000,644174000,None,None,None
2017-06-30,USD,18601000,-1194736000,-715880000,8277000,-106335000,-461905000,-288198000,None,578935000,1501138000,1333796000,None,872395000,-367546000,15607000,-85769000,320925000,1197028000,396449000,None,None,None
2017-03-31,USD,272555000,-2707944000,-607583000,3823000,-246903000,-1857158000,-429861000,None,695313000,-647706000,627449000,None,795790000,-357917000,15607000,-199947000,454760000,459147000,176900000,None,None,None
2016-12-31,USD,-74700000,-565100000,-5898000000,41067000,1892900000,-11645100000,-3207800000,-100000,1428918000,-5740900000,3794541000,None,3296700000,-3175519000,400000,-437100000,-578400000,-2012700000,1270349000,None,None,None
2016-09-30,USD,None,None,-839160000,22440000,None,-2255532000,-17597000,1053000000,923850000,1502660000,1360182000,None,828350000,-1339891000,None,89650000,130267000,None,851125000,None,None,None
2016-06-30,USD,None,None,-1317000000,15275000,None,-1064000000,-61000000,-1483000000,724529000,-455000000,2082000000,None,884000000,-683071000,None,273000000,199394000,None,580740000,None,None,None
2016-03-31,USD,None,None,-2365000000,4413000,None,-2697000000,22000000,-1483000000,779398000,-7610000000,-2215000000,None,828000000,-591450000,None,-684000000,287762000,None,199235000,None,None,None
2015-12-31,USD,280300000,5083200000,-5997000000,49529000,-696500000,-15327900000,-2326900000,100000,1047053000,3994700000,5955800000,None,3074600000,-2902079000,9900000,-681500000,-380800000,4061500000,1328821000,None,None,None
2015-09-30,USD,None,None,None,32592000,None,None,28851000,None,380763000,None,3183757000,None,None,-2292342000,None,None,104862000,None,806830000,None,None,None
2015-06-30,USD,None,None,None,34397000,None,None,None,None,827399000,None,2283902000,None,None,-2118421000,None,None,65665000,None,612942000,None,None,None
