fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-9100000,30900000,-9100000,-9100000,68300000,-193200000,-261400000,-22000000,49600000,224600000,426900000,-129200000,14700000,None,-100000,455600000,1900000,3400000,9100000,1900000,None,224600000
2020-03-31,USD,45200000,-52600000,45200000,47500000,203400000,212200000,13800000,-41800000,19500000,385100000,127700000,77300000,15300000,None,-5000000,7900000,46700000,13600000,2300000,46700000,None,385100000
2019-12-31,USD,-21400000,-1100000,-21400000,7500000,61300000,21000000,-40300000,-47900000,43600000,1700000,2100000,-7300000,15500000,None,0,11100000,-23600000,10000000,28900000,-69700000,None,1700000
2019-09-30,USD,-113900000,20000000,-113900000,-91500000,-6400000,-81100000,-70500000,-43800000,45000000,-7800000,187200000,-26000000,14900000,None,-4200000,118600000,4700000,4700000,22400000,10000000,None,-7800000
2019-06-30,USD,34700000,-12800000,34700000,46600000,-4000000,-131300000,-123100000,-53800000,54900000,-1300000,95300000,-57500000,15000000,None,-4200000,102000000,-2200000,-9100000,11900000,2800000,None,-1300000
2019-03-31,USD,-127000000,4600000,-127000000,-118500000,-3900000,64400000,80400000,-45000000,40900000,2600000,65200000,-36700000,14400000,None,-12100000,-19600000,15100000,7100000,8500000,54500000,None,2600000
2018-12-31,USD,None,9400000,-16800000,2000000,39800000,114600000,123200000,-56700000,40400000,1500000,-96300000,-40200000,14300000,None,-48400000,-50800000,-76600000,7200000,18800000,-76600000,None,1500000
2018-09-30,USD,None,7200000,-13700000,2000000,-3600000,-59300000,-38700000,-46200000,44300000,4300000,77300000,-48400000,14000000,0,-17000000,52200000,5200000,2800000,13700000,5200000,None,4300000
2018-06-30,USD,None,-11300000,-54700000,-45800000,-3500000,59100000,83000000,-63300000,43200000,-2300000,-6700000,-68800000,13900000,0,-20400000,8600000,4600000,3100000,8900000,4600000,None,-2300000
2018-03-31,USD,None,-21500000,-64400000,-43500000,-3600000,28700000,56700000,-33200000,40100000,100000,35800000,-26900000,14000000,0,-24400000,-34400000,60300000,4200000,20900000,60300000,None,100000
2017-12-31,USD,-5400000,31700000,-29800000,2000000,-40500000,8600000,49300000,-197400000,42500000,1900000,23100000,-56200000,13700000,0,-200000,62000000,-500000,10700000,31800000,-81300000,None,1900000
2017-09-30,USD,-5400000,5800000,-6100000,3800000,-3900000,-118700000,-109700000,-36400000,30700000,100000,124900000,-56200000,13600000,0,-5100000,130200000,80800000,4000000,9900000,-3200000,None,100000
2017-06-30,USD,-5400000,-57000000,-6400000,0,-3800000,-14000000,5100000,-65900000,31900000,-400000,20000000,-64800000,13400000,0,-15300000,75500000,84000000,4200000,6400000,16800000,None,-400000
2017-03-31,USD,-5400000,16900000,-85500000,-80100000,-3800000,-13100000,9700000,-41700000,34000000,-300000,98300000,-21500000,13800000,0,-19000000,-16200000,67200000,4100000,5400000,67200000,None,-300000
2016-12-31,USD,-19600000,42400000,82400000,116500000,-4100000,-73900000,-19700000,-150300000,67100000,-300000,-8800000,-37900000,13600000,0,-50100000,27200000,-26400000,-40500000,34100000,-80700000,None,-300000
2016-09-30,USD,-7100000,3600000,-25700000,0,-6400000,-53900000,-47400000,-36200000,32400000,1900000,81500000,-70100000,13100000,0,-100000,95300000,54300000,4000000,25700000,3200000,None,1900000
2016-06-30,USD,-12500000,-10100000,-34800000,0,-4400000,7600000,72300000,-35000000,36700000,-2600000,24600000,-36400000,12900000,0,-60300000,35500000,51100000,3300000,34800000,-17300000,None,-2600000
2016-03-31,USD,None,-4500000,-17000000,0,-3100000,-26400000,81800000,None,31000000,1600000,45000000,-17000000,12600000,0,-105100000,-52700000,68400000,7200000,17000000,68400000,None,1600000
2015-12-31,USD,-19600000,18400000,5900000,50900000,206800000,-17400000,-179700000,-114200000,41100000,-1100000,10400000,11600000,13500000,0,-44500000,-5100000,-31300000,-10100000,45100000,-59000000,None,-1100000
2015-09-30,USD,None,19300000,39700000,54300000,-2800000,-93500000,13600000,None,51100000,2000000,55800000,-44200000,11900000,0,-104300000,43600000,27700000,-17800000,14600000,11200000,None,2000000
2015-06-30,USD,-100000,-9300000,-97100000,-65100000,80000000,88800000,64000000,None,41100000,800000,9100000,-22900000,11500000,0,-55200000,-15700000,16500000,1100000,31900000,3300000,None,800000
