fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,11633000,None,None,532000,1328000,10305000,None,None,2000,-147038000,None,None,24000,11041000,1328000,None,None,None,12000,11573000,None,10305000,None,None,None,None,1328000,None,None,2000,None,-147038000,None,None,48000,None,60000,None,None,None,0,None,None,None,157341000,11633000,11041000,None,2267570
2020-03-31,USD,7461000,None,None,704000,1155000,6306000,None,None,2000,-145736000,None,None,24000,6674000,1155000,None,None,None,10000,7378000,None,6306000,None,None,None,None,1155000,None,None,2000,None,-145736000,None,None,73000,None,83000,None,None,None,0,None,None,None,152040000,7461000,6674000,None,1594070
2019-12-31,USD,8536000,None,None,117000,926000,7610000,None,None,2000,-144416000,None,None,24000,8363000,926000,None,None,None,10000,8480000,None,7610000,None,None,None,None,926000,None,None,2000,None,-144416000,None,None,46000,None,56000,None,None,None,0,None,None,None,152024000,8536000,8363000,None,1594070
2019-09-30,USD,9949000,None,None,259000,1150000,8799000,None,69000,2000,-143190000,None,None,24000,9645000,1150000,None,None,None,10000,9904000,None,8799000,None,None,None,None,1150000,None,None,2000,None,-143190000,None,None,35000,None,45000,None,None,None,0,None,None,None,151987000,9949000,9645000,None,1594070
2019-06-30,USD,10388000,None,None,357000,1199000,9189000,None,None,1000,-142034000,None,None,24000,9966000,1199000,None,None,None,13000,10323000,None,9189000,None,None,None,None,1199000,None,None,1000,None,-142034000,None,None,52000,None,65000,None,None,None,0,None,None,None,151222000,10388000,9966000,None,1455556
2019-03-31,USD,8606000,None,None,513000,1288000,7318000,None,None,1000,-140598000,None,None,24000,8006000,1288000,60000,60000,None,19000,8519000,None,7318000,None,None,None,None,1288000,None,None,1000,None,-140598000,None,None,68000,None,87000,None,None,None,0,None,None,None,147915000,8606000,8006000,None,1098813
2018-12-31,USD,6825000,None,None,169000,793000,6032000,None,111000,14000,-138934000,None,None,24000,6608000,793000,None,None,None,24000,6777000,None,6032000,None,None,None,None,793000,None,None,14000,None,-138934000,None,None,24000,None,48000,None,None,None,None,None,None,None,144952000,6825000,6608000,None,13924058
2018-09-30,USD,8445000,0,None,336000,982000,7463000,4000,761000,14000,-137445000,4000,0,24000,8056000,978000,None,None,None,29000,8392000,None,7463000,0,None,0,0,978000,0,0,14000,0,-137445000,0,None,24000,None,53000,None,None,None,4000,None,None,None,144894000,8445000,8056000,None,13923825
2018-06-30,USD,10067000,0,None,375000,1069000,8998000,9000,654000,14000,-135852000,9000,0,24000,9635000,1060000,None,None,None,33000,10010000,None,8998000,0,None,0,0,1060000,0,0,14000,0,-135852000,0,None,24000,None,57000,None,None,None,9000,None,None,None,144836000,10067000,9635000,None,13923825
2018-03-31,USD,12788000,0,None,631000,1734000,11054000,15000,947000,14000,-133736000,15000,0,24000,12096000,1719000,None,None,None,37000,12727000,None,11054000,0,None,0,0,1719000,0,0,14000,0,-133736000,0,None,24000,None,61000,None,None,None,15000,None,None,None,144776000,12788000,12096000,None,13914320
