fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-04-30,USD,4079200000,262900000,None,1091400000,2684000000,1395200000,32400000,36000000,700000,722300000,469800000,1669400000,121600000,555900000,941200000,87400000,87400000,-34900000,140900000,1715000000,10600000,-537100000,None,67700000,1105700000,None,817800000,None,None,700000,None,722300000,None,None,280400000,None,2364200000,180800000,1105700000,604700000,1742800000,None,None,None,707100000,4079200000,555900000,None,66645129
2020-01-31,USD,3847100000,284600000,None,1135500000,2287400000,1559700000,46400000,36000000,700000,871600000,463700000,1836100000,121500000,69800000,871100000,72300000,72300000,-24300000,146700000,1284900000,9900000,-561000000,None,79600000,786300000,None,762800000,None,None,700000,None,871600000,None,None,284800000,None,2562100000,186000000,786300000,583500000,1416200000,None,None,None,711800000,3847100000,69800000,None,66753004
2019-10-31,USD,3692600000,297200000,None,1144400000,2150600000,1542000000,47700000,100000,700000,856300000,485000000,1835400000,120300000,58500000,902400000,57200000,57200000,-23900000,150300000,1275400000,14000000,-590600000,None,72600000,744200000,None,845100000,None,None,700000,None,856300000,None,None,120300000,None,2417200000,None,744200000,456200000,1248100000,None,None,None,708900000,3692600000,58500000,None,66571427
2019-07-31,USD,3744000000,310400000,None,1190300000,2240400000,1503600000,31600000,51900000,700000,820500000,478500000,1832000000,120200000,60500000,877400000,52200000,52200000,-24400000,147100000,1319200000,15100000,-638800000,None,68400000,872200000,None,825200000,None,None,700000,None,820500000,None,None,120200000,None,2424800000,None,872200000,459200000,1363000000,None,None,None,706900000,3744000000,60500000,None,66392045
2019-04-30,USD,3729900000,325800000,None,1173400000,2248500000,1481400000,32600000,57700000,700000,795900000,483900000,1836000000,129100000,53700000,851100000,47100000,47100000,-15700000,143600000,1280900000,14500000,-680400000,None,53800000,905500000,None,804000000,None,None,700000,None,795900000,None,None,129100000,None,2449000000,None,905500000,459200000,1397300000,None,None,None,700600000,3729900000,53700000,None,66330804
2019-01-31,USD,3686400000,340700000,None,1160300000,2225300000,1461100000,29200000,-100000,700000,778600000,475500000,1836400000,122700000,30600000,798000000,42100000,42100000,-12200000,140000000,1231100000,15500000,-716000000,None,40200000,945800000,None,756000000,None,None,700000,None,778600000,None,None,122700000,None,2455300000,None,945800000,452400000,1427400000,None,None,None,694100000,3686400000,30600000,None,66210379
2018-10-31,USD,3627500000,355700000,None,117800000,2172900000,1454600000,37800000,3300000,700000,771200000,478400000,1834800000,108300000,39100000,792500000,37000000,37000000,-9000000,140100000,1171000000,16300000,-735900000,0,1014100000,902000000,0,755400000,0,0,700000,0,771200000,0,None,109600000,None,2456500000,None,902000000,440600000,1380400000,None,None,None,691800000,3627500000,39100000,None,66004361
2018-07-31,USD,3740400000,369600000,None,148600000,2283900000,1456400000,43500000,5200000,700000,773200000,515800000,1864300000,105700000,46000000,769800000,27000000,27000000,-5700000,142800000,1240600000,17400000,-777400000,0,1046000000,998400000,0,742800000,0,0,700000,0,773200000,0,None,105800000,None,2499900000,None,998400000,472200000,1514100000,None,None,None,688300000,3740400000,46000000,None,65833297
2018-04-30,USD,3749900000,387100000,None,140300000,2313300000,1436600000,39900000,5300000,700000,751200000,518800000,1867500000,119500000,69700000,704200000,17000000,17000000,1600000,140700000,1215700000,19400000,-818000000,0,1005700000,1090300000,0,687200000,0,0,700000,0,751200000,0,None,119400000,None,2534100000,None,1090300000,478800000,1609000000,None,None,None,683100000,3749900000,69700000,None,65729949
2018-01-31,USD,3797000000,404300000,None,129500000,2380200000,1416800000,32800000,484100000,700000,736200000,474500000,1871200000,2437300000,68600000,699600000,7000000,7000000,2700000,141600000,1218100000,18800000,-858700000,0,1020000000,1173400000,0,692600000,0,0,700000,0,736200000,0,None,143100000,None,2579000000,None,1173400000,474500000,1680700000,None,None,None,677100000,3797000000,68600000,None,65686394
2017-10-31,USD,3812600000,430100000,None,134600000,2436900000,1375700000,57300000,496700000,700000,720100000,460500000,1864200000,2434000000,62800000,757800000,16900000,16900000,-20300000,143100000,1235500000,17600000,-918600000,0,1038100000,1161300000,0,740900000,0,0,700000,0,720100000,0,None,122100000,None,2577100000,None,1161300000,460500000,1679100000,None,None,None,675200000,3812600000,62800000,None,65502568
2017-07-31,USD,2352900000,95900000,None,126000000,1384300000,968600000,3200000,65300000,600000,734900000,426300000,926900000,1203000000,47700000,690100000,264700000,264700000,-20400000,100900000,1049000000,16300000,-54200000,0,875300000,264700000,0,624800000,0,0,600000,0,734900000,0,None,111600000,52500000,1304100000,None,264700000,426300000,694200000,None,None,None,253600000,2352900000,47700000,None,55793807
2017-04-30,USD,2394200000,101500000,None,153800000,1456600000,937600000,3300000,139100000,600000,711500000,435300000,924800000,1236500000,55700000,740100000,277900000,277900000,-23700000,96400000,1061300000,19000000,-88700000,0,851800000,277900000,0,601000000,0,0,600000,0,711500000,0,None,114300000,76900000,1332900000,None,277900000,435300000,716500000,None,None,None,249200000,2394200000,55700000,None,55759780
