fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-04-30,USD,-7000000,14300000,-7000000,600000,345600000,328400000,300000,22100000,-136800000,483700000,162300000,-136800000,24700000,-12300000,-5100000,None,None,299000000,7600000,None,None,483700000
2020-01-31,USD,5000000,-88900000,-2300000,4200000,63900000,48400000,-3200000,-14000000,28000000,11800000,-34300000,27900000,24400000,-12300000,-2400000,None,3000000,-62100000,11500000,None,None,11800000
2019-10-31,USD,-14200000,0,-14200000,1000000,-124500000,-138400000,-2000000,-14000000,48000000,-3900000,148700000,None,26000000,-11900000,-1300000,None,42300000,100500000,15200000,None,None,-3900000
2019-07-31,USD,-17000000,13900000,-17000000,-100000,-20800000,-31400000,1400000,2600000,36700000,9300000,57700000,36500000,27500000,-12000000,700000,None,-30600000,21200000,16900000,None,None,9300000
2019-04-30,USD,-15700000,55300000,-15700000,200000,-46600000,-57000000,1600000,-4500000,29700000,22900000,95600000,29900000,53900000,-11900000,-700000,None,-21800000,65800000,15900000,None,None,22700000
2019-01-31,USD,-11400000,-32500000,-11400000,200000,56100000,42000000,-2300000,8800000,13000000,-8700000,-39300000,13000000,26700000,-11900000,-2300000,None,-68200000,-52400000,11600000,None,300000,-8500000
2018-10-31,USD,200000,-10500000,-11800000,1600000,-95800000,-108100000,-700000,4800000,9700000,-6400000,113500000,8800000,26400000,-11500000,0,0,28600000,104600000,13600000,None,-500000,-6900000
2018-07-31,USD,2900000,46200000,-11900000,400000,-73800000,-85000000,400000,6000000,33700000,-22800000,74100000,33800000,28600000,-11500000,0,0,-41300000,40400000,15200000,None,-1000000,-23700000
2018-04-30,USD,2900000,-4000000,-9100000,2400000,-78300000,-88400000,1300000,5400000,26600000,2100000,99600000,25300000,28500000,-11500000,0,0,13000000,74200000,11500000,None,-900000,1100000
2018-01-31,USD,-600000,-33200000,-15300000,-4000000,-800000,-14300000,-2000000,7700000,27800000,4100000,33700000,28000000,29000000,-11500000,0,0,15700000,5700000,10600000,None,1700000,5800000
2017-10-31,USD,-400000,74400000,-847900000,-832400000,896500000,882700000,-700000,25500000,-3600000,15100000,-19700000,-2500000,70100000,-11100000,-2000000,0,-115700000,-17300000,15000000,None,None,15100000
2017-07-31,USD,-400000,15600000,22100000,36500000,100000,-8200000,29500000,2000000,32900000,-8900000,-22800000,32900000,0,-9500000,1200000,0,69500000,-55600000,14400000,None,900000,-8000000
2017-04-30,USD,-400000,1100000,-16900000,-100000,-16000000,-27500000,-2800000,800000,31300000,14800000,59200000,31600000,0,-9500000,800000,0,47300000,27600000,16800000,None,100000,14900000
2017-01-31,USD,-400000,18100000,-29100000,-18100000,45300000,27000000,-1000000,-9900000,-56800000,-13200000,-11100000,16100000,0,-9400000,-7900000,0,65400000,-27200000,11000000,None,500000,-12700000
2016-10-31,USD,5000000,15400000,-28900000,-12300000,27400000,23500000,20600000,9300000,7800000,5200000,10600000,9000000,57500000,-9200000,-15800000,0,-80900000,1600000,16600000,None,-3300000,1900000
2016-07-31,USD,None,9700000,-11500000,200000,16800000,500000,17000000,-28900000,31000000,5900000,16900000,32900000,0,-9200000,-6600000,0,26700000,-16000000,11700000,None,None,5900000
2016-04-30,USD,5000000,-8600000,-6800000,-2900000,-70800000,-90800000,-4500000,10500000,4400000,-10200000,87400000,28600000,0,-9300000,-6200000,0,12400000,80600000,8900000,None,None,-10200000
2016-01-31,USD,None,None,-87600000,-80800000,136300000,119400000,5000000,None,14000000,400000,-31400000,-8200000,0,-9200000,-12700000,0,20900000,-45000000,6800000,None,None,400000
2015-10-31,USD,-100000,44300000,126300000,131700000,-150200000,-165900000,5800000,37500000,38800000,4300000,43900000,54100000,57000000,-9000000,-12500000,0,-55900000,27300000,5400000,None,None,4300000
2015-07-31,USD,-100000,22400000,-22000000,-14700000,-1900000,-19600000,500000,None,1500000,20800000,62400000,None,0,-9100000,-9100000,0,31600000,60900000,7200000,None,None,20800000
2015-04-30,USD,None,None,-10300000,-2800000,-62100000,-69500000,900000,None,18300000,-8400000,71400000,None,0,-9000000,700000,0,18600000,53100000,7500000,None,None,-8400000
