fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-04-30,USD,1496000000,306500000,1306100000,189900000,-115800000,-136800000,None,None,-126200000,None,119400000,900000,-116700000,12500000,10500000,10600000,-9600000,-10500000,None,174600000,None,10600000,-173700000,None,-136800000,-136800000,None
2020-01-31,USD,1612900000,133300000,1433700000,179200000,46700000,28000000,None,None,36500000,None,117600000,900000,45800000,12600000,10200000,8600000,-9300000,-10200000,-100000,3100000,None,8600000,-2200000,100000,27900000,28000000,None
2019-10-31,USD,1648100000,128300000,1453200000,194900000,66800000,47900000,None,None,54900000,None,112000000,600000,66200000,13600000,11900000,6900000,-11300000,-11900000,None,2700000,None,6900000,-2100000,-100000,48000000,47900000,None
2019-07-31,USD,1647900000,136700000,1454100000,193800000,58000000,36800000,None,None,45000000,None,119800000,700000,57300000,14900000,12900000,8500000,-12200000,-12900000,200000,2000000,None,8500000,-1300000,200000,36500000,36800000,None
2019-04-30,USD,1594700000,125900000,1414200000,180500000,55300000,29700000,None,None,42500000,None,108400000,800000,54500000,14800000,12800000,12600000,-12000000,-12800000,-200000,2700000,None,12600000,-1900000,-200000,29900000,29700000,None
2019-01-31,USD,1607900000,131700000,1446000000,161900000,31200000,13000000,0,None,17800000,None,112700000,900000,30300000,15200000,13500000,4700000,None,None,-100000,3800000,None,4700000,-2900000,-100000,13100000,13000000,None
2018-10-31,USD,1648800000,157400000,1465600000,183200000,26400000,9800000,0,0,13300000,0,111200000,700000,25700000,43000000,13100000,None,None,None,4400000,3200000,0,4500000,-47200000,800000,8800000,9800000,None
2018-07-31,USD,1624300000,129500000,1446700000,177600000,49100000,33600000,0,0,36100000,0,110000000,1000000,48100000,16600000,12900000,None,None,None,0,2900000,0,2400000,-18700000,-100000,33700000,33600000,None
2018-04-30,USD,1580800000,129800000,1405800000,175000000,46300000,26600000,0,0,32500000,0,107800000,1000000,45300000,16700000,13800000,None,None,None,0,5300000,0,7100000,-21100000,1200000,25400000,26600000,None
2018-01-31,USD,1588300000,139500000,1429300000,159000000,20000000,27800000,0,0,5800000,0,109000000,500000,19500000,16200000,14300000,None,None,None,0,14300000,0,-22200000,-28100000,-100000,28000000,27800000,None
2017-10-31,USD,1498000000,156400000,1337000000,161000000,5200000,-3600000,0,0,-5000000,0,137300000,700000,4500000,14200000,10200000,None,None,None,0,4900000,0,-2500000,-48500000,1018500000,-2500000,-3600000,None
2017-07-31,USD,1318400000,111500000,1184500000,133900000,23800000,32900000,0,0,21000000,0,101300000,1200000,22600000,5000000,2800000,None,None,None,0,5200000,0,-11900000,0,-1529900000,32900000,32900000,None
2017-04-30,USD,1310500000,94900000,1164600000,145900000,51900000,31300000,0,0,48900000,0,100700000,900000,51000000,-11600000,3000000,None,None,None,0,5800000,0,17300000,0,510000000,31600000,31300000,None
2017-01-31,USD,1326700000,107800000,1195100000,131600000,25200000,-56800000,0,0,22000000,0,97300000,1400000,23800000,5500000,3200000,None,None,None,0,5000000,0,5900000,0,-72900000,16100000,-56800000,None
2016-10-31,USD,1322300000,133400000,1178100000,144200000,13000000,7700000,0,0,10300000,0,95000000,2200000,10800000,6200000,2700000,None,None,None,0,32200000,0,1300000,-59500000,-17600000,9000000,7700000,None
2016-07-31,USD,1296900000,111900000,1166500000,130400000,20600000,31100000,0,0,18000000,0,102800000,2100000,18500000,5800000,2600000,None,None,None,0,3300000,0,-14900000,0,14900000,32900000,31100000,None
2016-04-30,USD,1257100000,112900000,1132400000,124700000,12700000,4400000,0,0,10300000,0,97500000,900000,11800000,6600000,2400000,None,None,None,0,8800000,0,3500000,0,-2400000,6800000,4400000,None
2016-01-31,USD,1268400000,108400000,1146400000,122000000,16000000,14000000,0,0,13300000,0,94800000,2400000,13600000,6400000,2700000,None,None,None,0,7200000,0,-300000,0,0,13600000,14000000,None
2015-10-31,USD,989500000,100000000,858600000,130900000,33600000,38800000,0,0,31000000,0,94300000,2700000,30900000,5700000,2600000,None,None,None,0,12700000,0,14400000,-18500000,22200000,16600000,38800000,None
2015-07-31,USD,1348800000,105100000,1251000000,97800000,-4700000,1500000,0,0,-7100000,0,98800000,2600000,-7300000,6300000,2400000,None,None,None,0,0,0,-8600000,0,0,1500000,1500000,None
2015-04-30,USD,1270100000,100100000,1139200000,130900000,33000000,18300000,0,0,30500000,0,94100000,2200000,30800000,6000000,2500000,None,None,None,0,0,0,12200000,0,0,18300000,18300000,None
