fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,1249512000,42223000,None,20958000,147664000,1101848000,4204000,24201000,450000,647070000,28919000,76783000,73098000,214827000,110379000,None,None,-8535000,170346000,619689000,169668000,982842000,212536000,82084000,None,89284000,86178000,None,None,450000,None,647070000,-286577000,None,139928000,None,30875000,None,None,33081000,37285000,None,None,None,749440000,1249512000,427363000,None,45044760
2020-03-31,USD,1216462000,14913000,None,18009000,150996000,1065466000,806000,24004000,451000,602482000,10562000,31969000,58249000,192341000,131885000,None,None,-11189000,164931000,635863000,207795000,1018584000,250775000,84650000,None,90088000,107881000,None,None,451000,None,602482000,-265411000,None,117655000,43336000,580599000,None,None,18305000,19111000,None,None,None,739133000,1216462000,443116000,None,45008687
2019-12-31,USD,1196611000,15205000,None,16850000,149748000,1046863000,822000,22817000,451000,570683000,13983000,32594000,62233000,117970000,126259000,None,None,-16995000,162060000,636576000,167981000,999064000,309569000,100994000,None,91193000,103442000,None,None,451000,None,570683000,-240330000,None,135167000,47028000,560035000,None,None,22667000,23489000,None,None,None,733054000,1196611000,427539000,None,45112835
2019-09-30,USD,1124348000,14800000,None,17498000,132891000,991457000,800000,22586000,452000,501467000,11223000,31727000,82077000,150279000,112229000,None,None,-17556000,157896000,647432000,106025000,944930000,295041000,94319000,None,90295000,89643000,None,None,452000,None,501467000,-214926000,None,99191000,67277000,476916000,None,None,19862000,20662000,None,None,None,722020000,1124348000,445320000,None,45238952
2019-06-30,USD,1125060000,15411000,None,16761000,122467000,1002593000,833000,18572000,454000,488396000,10980000,33035000,82154000,101048000,100201000,None,None,-11755000,151654000,677365000,40032000,954147000,385624000,86206000,None,87726000,81629000,None,None,454000,None,488396000,-179386000,None,140820000,66743000,447695000,None,None,21433000,22266000,None,None,None,704884000,1125060000,486672000,None,45374278
2019-03-31,USD,1054346000,15208000,None,13748000,117456000,936890000,822000,16393000,451000,399473000,11458000,32601000,81817000,121021000,105998000,None,None,-14689000,145005000,677197000,21718000,889081000,370677000,90809000,None,80942000,89605000,None,None,451000,None,399473000,-138852000,None,85115000,77502000,377149000,None,None,10636000,11458000,None,None,None,690507000,1054346000,491698000,None,45122985
2018-12-31,USD,957116000,15516000,None,10549000,105586000,851530000,838000,15080000,451000,325513000,12606000,33260000,113473000,84181000,92980000,None,None,-12316000,138455000,628728000,40800000,802754000,373975000,88215000,None,71808000,77900000,None,None,451000,None,325513000,-138289000,None,44707000,96450000,328388000,None,None,11768000,12606000,None,None,None,676171000,957116000,458156000,None,45058049
2018-09-30,USD,887165000,15730000,None,13296000,94211000,792954000,850000,13996000,450000,280650000,11382000,33719000,191501000,76382000,81979000,None,None,-11535000,134065000,561599000,None,743505000,334064000,74201000,0,63656000,67983000,0,0,450000,0,280650000,-136743000,None,25804000,116248000,325566000,None,None,11382000,12232000,None,None,None,660132000,887165000,410446000,None,45038453
2018-06-30,USD,812039000,15837000,None,13489000,88680000,723359000,856000,12075000,449000,230523000,11146000,33948000,187418000,61288000,76678000,None,None,-10913000,127324000,497297000,6887000,673574000,299228000,67511000,0,55781000,64603000,0,0,449000,0,230523000,-134674000,None,15697000,115049000,314742000,None,None,11146000,12002000,None,None,None,637974000,812039000,360516000,None,44876271
2018-03-31,USD,786375000,16705000,None,11808000,96851000,689524000,903000,14970000,444000,140457000,11266000,35808000,174937000,42975000,84682000,None,None,-4204000,117167000,494271000,37502000,637011000,319274000,70010000,0,50204000,69712000,0,0,444000,0,140457000,-67078000,None,14176000,70746000,292104000,None,None,11266000,12169000,None,None,None,619905000,786375000,362249000,None,44375337
