fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,6390124000,108040000,None,None,5132348000,1105906000,None,None,1122000,-167165000,228302000,108040000,134579000,479029000,1306329000,1235613000,1235613000,None,12990000,487445000,5344558000,908366000,None,8416000,3582820000,None,70716000,None,None,1122000,89500000,-167165000,None,None,437091000,None,5902679000,None,3582820000,243199000,3826019000,None,None,None,1182449000,6390124000,479029000,None,109306214
2020-03-31,USD,6934650000,109371000,None,None,5708600000,1076178000,None,None,1106000,-177589000,179384000,109371000,224617000,526397000,1931023000,1846473000,1846473000,None,13270000,540218000,5758807000,877307000,None,13821000,3510767000,None,84550000,None,None,1106000,89500000,-177589000,None,None,512984000,None,6394432000,None,3510767000,266810000,3777577000,None,None,None,1163161000,6934650000,526397000,None,110608903
2019-12-31,USD,6239160000,110700000,None,1072235000,4883133000,1184610000,None,None,1097000,-60920000,161015000,110700000,137573000,510562000,1770536000,1678288000,1678288000,None,13220000,521213000,5181819000,984409000,None,10651000,2875021000,None,92248000,None,None,1097000,89501000,-60920000,None,None,412208000,None,5717947000,None,2875021000,237576000,3112597000,None,None,None,1154932000,6239160000,510562000,None,109706214
2019-09-30,USD,5395634000,112026000,None,727872000,4197238000,1028014000,None,None,948000,-65790000,151654000,112026000,120706000,325331000,1471385000,1385764000,1385764000,None,13129000,330342000,4543774000,826487000,None,5011000,2483961000,None,85621000,None,None,948000,89501000,-65790000,None,None,396363000,None,5065292000,None,2483961000,241892000,2725853000,None,None,None,1003355000,5395634000,325331000,None,94774590
2019-06-30,USD,5601730000,113364000,None,918282000,4415752000,1017019000,None,None,942000,-72321000,132058000,113364000,119235000,515372000,1721193000,1621678000,1621678000,None,13382000,532358000,4555557000,814154000,None,16986000,2480723000,None,99515000,None,None,942000,89501000,-72321000,None,None,387069000,None,5069372000,None,2480723000,213836000,2694559000,None,None,None,998897000,5601730000,515372000,None,94225567
2019-03-31,USD,4597725000,114764000,None,517743000,3520342000,909243000,None,None,860000,-74589000,122635000,114764000,291865000,416370000,1109152000,1032495000,1032495000,None,14473000,418345000,3664136000,704978000,None,1975000,2198634000,None,76657000,None,None,860000,89501000,-74589000,None,None,386007000,None,4179380000,None,2198634000,212556000,2411190000,None,None,None,893471000,4597725000,416370000,None,108000000
2018-12-31,USD,4612175000,116165000,None,662270000,3546609000,895238000,None,None,840000,-74133000,152346000,56626000,94419000,340669000,1214289000,1135627000,217214000,None,14446000,341956000,3779752000,689571000,None,1287000,2111059000,None,78662000,None,None,840000,89502000,-74133000,None,None,359856000,None,4270219000,None,2111059000,221261000,2332320000,None,None,None,879029000,4612175000,340669000,None,83987707
2018-09-30,USD,4534260000,117565000,None,703017000,3567788000,797313000,0,None,757000,-78316000,131507000,0,92938000,295334000,1247130000,1169586000,165124000,None,14563000,392839000,3670591000,590240000,202736000,97505000,2118184000,0,77544000,0,785364000,757000,89508000,-78316000,0,None,338702000,None,4141421000,None,2118184000,202474000,2320658000,None,None,None,785364000,4534260000,295334000,None,75684964
2018-06-30,USD,4204320000,118965000,None,485173000,3260808000,769999000,0,None,686000,-87128000,115192000,0,84626000,280654000,988998000,910504000,155520000,None,14650000,290816000,3450771000,561526000,173686000,10162000,2088327000,0,78494000,0,766933000,686000,89508000,-87128000,0,None,329118000,None,3913504000,None,2088327000,183483000,2271810000,None,None,None,766933000,4204320000,280654000,None,68570617
2018-03-31,USD,3748768000,120366000,None,417984000,2860898000,714606000,0,None,625000,-88528000,110236000,0,83170000,234207000,695479000,626063000,177790000,None,16675000,237926000,3048811000,504732000,131659000,3719000,1988265000,0,69416000,0,713001000,625000,89508000,-88528000,0,None,324990000,None,3510842000,None,1988265000,177154000,2165419000,None,None,None,713001000,3748768000,234207000,None,62469535
