fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-178565000,0,-217170000,-38706000,-614020000,-597165000,1634000,89985000,54090000,-47368000,766967000,77836000,13852000,-1893000,17114000,None,None,621189000,101000,None,None,-47368000
2020-03-31,USD,-516860000,0,-510754000,6336000,411046000,759824000,381892000,-90282000,-68356000,15835000,-233235000,-28584000,13769000,-41247000,8133000,None,None,-150064000,230000,None,None,15835000
2019-12-31,USD,-311531000,0,-312212000,-413000,158141000,781131000,519188000,-13362000,44612000,185231000,-283688000,-33609000,13797000,-38702000,142504000,None,None,-308488000,268000,None,None,185231000
2019-09-30,USD,-62154000,0,-54086000,7988000,-237537000,-270804000,-150000,30281000,43217000,-190041000,134849000,9287000,13967000,-35260000,2143000,None,None,68378000,80000,None,None,-190041000
2019-06-30,USD,-479320000,0,-490045000,-10640000,582537000,935134000,282705000,-10750000,37403000,99002000,-346087000,-23465000,14233000,-34270000,104162000,None,None,-374258000,85000,None,None,99002000
2019-03-31,USD,-138967000,0,-138397000,772000,-18613000,-54291000,-5123000,-14501000,30006000,75701000,268389000,-23402000,14194000,-30555000,None,None,None,247591000,202000,None,None,75701000
2018-12-31,USD,-134717000,0,-131659000,3116000,-8941852000,19193000,8898502000,88263000,48946000,45335000,157801000,70818000,14399000,-27900000,90443000,None,None,23638000,58000,None,None,45335000
2018-09-30,USD,-29514000,0,-32164000,-2561000,29459000,260993000,257651000,-72161000,37425000,14680000,-214149000,-86281000,13685000,-26118000,1000,0,0,-178978000,89000,None,None,14680000
2018-06-30,USD,-367158000,0,-359078000,8234000,1807028000,407709000,-1429251000,-5346000,24612000,46447000,-2184000,-16103000,13782000,-22961000,52893000,0,0,-24475000,154000,None,None,46447000
2018-03-31,USD,-100211000,0,-158974000,-58697000,-1725338000,128612000,1870244000,-18961000,37068000,-9565000,20797000,-28928000,13711000,-19308000,3014000,0,0,-1054000,66000,None,None,-9565000
2017-12-31,USD,-22735000,0,-906845000,23155000,536341000,412844000,-39447000,-308000,23760000,75812000,460834000,None,59269000,-50166000,76225000,0,0,327354000,0,None,None,None
2017-09-30,USD,-206668436,0,-224347418,-17550165,-1564394899,148353368,1729565582,4017822,23970572,3992008,79986058,-9643860,13540394,-16817315,76225000,0,0,52118952,128817,None,None,3992008
2017-06-30,USD,-148330166,0,-170849617,-22204899,-2051610254,-87909856,1904228412,32190876,18311495,-24083843,234675630,17358454,13643564,-16753014,76225000,0,0,185362117,314552,None,None,-24083843
2017-03-31,USD,45000365,0,44355647,-526062,-2564051273,-151397609,2426889544,-42460721,23943708,-33802198,73239764,-58383444,13785250,-14235880,0,0,0,93894250,118656,None,None,-33802198
2016-12-31,USD,7928000,0,-196917000,12333000,378560000,349471000,10278000,-4624000,22423000,-69050000,-198515000,None,31290000,-39367000,0,0,0,-275531000,0,None,None,None
2016-09-30,USD,-128938462,None,-207892135,-65384289,-1492660275,-25328923,1477442130,1812456,16426034,-88563730,131281632,-12367237,0,-10110778,0,0,0,117827546,193688,None,None,-88563730
2016-06-30,USD,59143344,None,100524590,41407364,-293777258,-99329192,204043707,4143899,12127000,15044938,13849540,5796291,-409062,-9595641,0,0,0,-3664567,26118,None,None,15044938
2016-03-31,USD,-125699487,None,-113900286,12190892,76023877,66486770,-4450,None,3023326,-43575921,3837595,-61383,1729707,-9532657,0,0,0,-854055,391691,None,None,-43575921
2015-12-31,USD,-18776000,0,24734000,4876000,-49212000,77209000,163484000,2625000,6911000,138291000,36348000,None,7011000,-37064000,0,0,0,-26717000,0,None,None,None
2015-09-30,USD,-32526041,3801694,-31932310,1225482,10938916,1402495,151587000,None,17232189,-14450829,16078986,-276477,1276353,-9536421,0,0,0,-8474059,631751,2519286,None,-14450829
2015-06-30,USD,148844333,3368859,149376674,1031837,-132460293,-141996296,136899000,None,12387070,24629175,17248797,1498965,1603944,-9536003,0,0,0,335215,499496,-1945256,None,24629175
