fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,66721000,61149000,None,66721000,24388000,45979000,None,None,66166000,8110000,43044000,18816000,5572000,15710000,-41778000,12077000,83080000,41778000,None,2395000,None,12077000,None,None,54089000,44091000,1888000
2020-03-31,USD,2305000,125613000,-2443000,4748000,-118827000,-54979000,None,None,-80283000,-10934000,-34252000,2038000,-120865000,-1947000,-38544000,-14370000,88526000,38544000,None,-21537000,None,-14370000,None,None,-65913000,-59310000,1888000
2019-12-31,USD,62367000,41668000,-4966000,67333000,19856000,42399000,None,None,53653000,7181000,-101744000,-5809000,25665000,-8522000,-33797000,4073000,81983000,33797000,None,None,None,4073000,-12406000,None,49580000,35543000,1890000
2019-09-30,USD,62558000,48882000,-2563000,65121000,19957000,38416000,None,None,52402000,7363000,-32861000,3718000,16239000,-1841000,-32445000,6623000,80509000,32445000,None,None,None,6623000,-3062000,None,45779000,33965000,1888000
2019-06-30,USD,50072000,45471000,-2691000,52763000,10556000,33495000,None,None,44443000,6598000,-29022000,3264000,7292000,-1909000,-33887000,4350000,82171000,33887000,None,-1000000,None,4350000,-1326000,None,40093000,28916000,1888000
2019-03-31,USD,44848000,46287000,41865000,44848000,584000,24538000,None,None,29996000,5468000,41525000,2023000,-1439000,4762000,-29412000,-10000,2151000,29412000,None,None,None,-10000,-2435000,None,30006000,22650000,1888000
2018-12-31,USD,77466000,50256000,6233000,77466000,27220000,39109000,0,0,57582000,9838000,35678000,10000,27210000,14578000,-30362000,None,None,None,0,0,0,8635000,-7819000,0,48947000,37219000,1890000
2018-09-30,USD,55580000,34739000,12431000,55580000,14853000,29625000,0,0,42805000,7799000,37769000,-5988000,20841000,7140000,-27952000,None,None,None,0,-10170000,0,5381000,-2968000,0,37424000,27737000,1888000
2018-06-30,USD,46923000,40610000,11729000,46923000,7700000,19055000,0,0,29111000,5557000,35688000,1387000,6313000,2922000,-21411000,None,None,None,0,2000000,0,4499000,-3880000,0,24612000,17167000,1888000
2018-03-31,USD,53162000,43849000,11711000,53162000,10059000,28077000,0,0,28284000,8991000,38409000,746000,9313000,5440000,-18225000,None,None,None,0,0,0,-8784000,-4065000,0,37068000,26189000,1888000
2017-12-31,USD,92769000,94355046,37996000,189158000,-124807578,23760000,0,0,28398000,7523000,95892064,None,54773000,-131839128,26375000,None,None,None,0,3600000,0,6651000,-11667000,0,75966601,21871000,None
2017-09-30,USD,47989167,36596066,36596000,47989167,12388413,18309388,0,0,30678572,5661184,36596066,995312,11393101,117537690,-18290159,None,None,None,0,1700000,0,6708000,0,0,23970572,16420958,1888430
2017-06-30,USD,44735255,31747522,5295182,39440073,7689607,13817868,0,0,21746495,4493627,29659611,-2944,7692551,587911,-14056888,None,None,None,0,1500000,0,3435000,0,0,18311495,11929438,1888430
2017-03-31,USD,46331746,31616332,6637904,39693842,15956530,17502104,0,0,30044708,6441604,27535351,7879020,8077510,2880981,-14088178,None,None,None,0,1200000,0,6101000,0,0,23943708,15613674,1888430
2016-12-31,USD,84130000,79092000,32036000,96946000,34246908,22423000,0,0,31430000,8482000,45343969,None,52094000,-8744429,20664000,None,None,None,0,50892944,0,525000,14364000,0,86085032,20534000,None
2016-09-30,USD,34868259,35741599,29335000,34868259,4056035,12776602,0,0,16726034,3649432,22938714,4929375,-873340,6396627,-12669999,None,None,None,0,6406258,0,300000,0,0,16426034,10888172,1888430
2016-06-30,USD,4641223,0,24424000,0,-5138406,12127000,0,0,12127000,154812507,9887013,15390235,-20528641,3337117,-17265284,None,None,None,0,11945734,0,0,0,0,12126878,10238000,1888430
2016-03-31,USD,5421295,17972816,14863000,5421295,-10046526,3023326,0,0,3023326,0,11300373,2504995,-12551521,3562533,-13069852,None,None,None,0,3109910,0,0,0,0,3023326,1134896,1888430
2015-12-31,USD,33428000,66466000,18002000,55772000,0,6911000,0,0,6911000,159897000,25220466,None,15426000,-8265000,12315000,None,None,None,0,3134000,0,0,31493000,0,53429000,5022000,None
2015-09-30,USD,7254484,18338403,18339000,7254484,-5070877,17232189,0,0,9069469,0,14085178,6013042,-11083919,4253225,-14140346,None,None,None,0,0,0,0,0,0,9069469,15343759,1888430
2015-06-30,USD,7278650,19057772,17858000,7278650,-10245097,12387070,0,0,12387070,0,13841586,1534025,-11779122,5216186,-22632167,None,None,None,0,0,0,0,0,0,12387070,10498640,1888430
