fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,5836881000,19896000,None,None,5100738000,736143000,None,None,20431000,172723000,22453000,223642000,4581477000,266400000,None,None,None,27944000,67229000,None,618751000,492605000,618751000,32795000,363570000,None,3293000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2020-03-31,USD,5002429000,20886000,539237000,None,4295836000,706593000,None,None,20355000,164858000,40005000,223642000,3965346000,174889000,None,None,None,7486000,66798000,None,508250000,462065000,508250000,17203000,298436000,None,3821000,None,None,None,None,None,None,None,None,None,None,None,298436000,None,None,None,None,None,513894000,None,None,None,21000000
2019-12-31,USD,4992654000,21876000,511688000,15468000,4282789000,709865000,None,None,20524000,163375000,15583000,223642000,3931506000,346248000,4075294000,None,None,4900000,66790000,370053000,372545000,464347000,372545000,15468000,183302000,8337000,4326000,None,None,None,None,None,None,None,None,None,None,None,183302000,None,None,None,None,None,521066000,None,None,None,21000000
2019-09-30,USD,4905840000,23053000,421445000,15201000,4199532000,706308000,None,None,20737000,149389000,17744000,223642000,3900679000,300619000,3902400000,None,None,6494000,67175000,324153000,353000000,459613000,353000000,15201000,267272000,8333000,4915000,None,None,None,None,None,None,None,None,None,None,None,267272000,None,None,None,None,None,529688000,None,None,None,21000000
2019-06-30,USD,4794211000,24231000,418796000,16508000,4089510000,704701000,None,None,21147000,137342000,14230000,223642000,3874200000,232607000,3864171000,None,None,4233000,59690000,255409000,348173000,456828000,348173000,16508000,196017000,6294000,3531000,None,None,None,None,None,None,None,None,None,None,None,196017000,None,None,None,None,None,541979000,None,None,None,22000000
2019-03-31,USD,4768802000,25409000,448949000,16194000,4065025000,703777000,None,None,21484000,123094000,13833000,223642000,3823154000,258843000,3784572000,None,None,3015000,60327000,276189000,345716000,454726000,345716000,16194000,250954000,1152000,4511000,None,None,None,None,None,None,None,None,None,None,None,250954000,None,None,None,None,None,556184000,None,None,None,22000000
2018-12-31,USD,4655249000,26587000,None,44710000,3952265000,702984000,None,None,21938000,112131000,12525000,223125000,3728999000,241247000,3665348000,None,None,-2888000,41717000,286587000,348234000,453272000,None,None,274392000,630000,3662536000,None,None,None,None,None,None,None,None,None,None,None,274392000,None,None,None,None,None,571803000,None,None,None,16000000
2018-09-30,USD,3035539000,2688000,None,11609000,2707408000,328131000,0,None,13397000,98968000,11103000,39389000,2457443000,191468000,2435897000,None,None,-5996000,18970000,205083000,311966000,286054000,0,None,260408000,2006000,2433791000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14000000
2018-06-30,USD,2966426000,2883000,None,12413000,2646538000,319888000,0,None,13341000,90089000,7427000,39389000,2371894000,200645000,2314763000,324348000,324348000,-4207000,19049000,215508000,317703000,277616000,0,None,324348000,2450000,2313786000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14000000
2018-03-31,USD,2886484000,42468000,None,10521000,2574496000,311988000,0,2284802000,13302000,78926000,8406000,39389000,411560000,190088000,2286014000,281288000,281288000,-3607000,18605000,201417000,321539000,269520000,0,10521000,281288000,365000,2284802000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14000000
