fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-731723000,0,-731723000,-1995000,65000000,810511000,747240000,4247000,9907000,91511000,12723000,None,1875000,-2042000,0,None,-12721000,9387000,1425000,None,None,None
2020-03-31,USD,-172174000,0,-172174000,-6485000,115000000,-9595000,-114417000,-1482000,3516000,-171359000,10410000,None,1856000,-2033000,-9302000,None,-4141000,10633000,1510000,None,None,None
2019-12-31,USD,-43829000,0,-43829000,7967000,-84089000,77354000,171101000,-2676000,13986000,45629000,12104000,None,2038000,None,-11508000,None,-1451000,179000,1106000,None,None,None
2019-09-30,USD,-47523000,0,-47523000,-5172000,71195000,94550000,36845000,4931000,12047000,68012000,20985000,None,2001000,None,-13986000,None,-293000,2271000,11214000,None,None,None
2019-06-30,USD,-50548000,0,-50548000,5673000,-54997000,10159000,80579000,-976000,14248000,-26236000,14153000,None,1933000,None,-15825000,None,-544000,-535000,650000,None,None,None
2019-03-31,USD,-91614000,0,-91614000,-91199000,-23498000,61885000,102063000,3871000,12678000,-10104000,19625000,None,1931000,None,-16680000,None,2177000,-1060000,415000,None,None,None
2018-12-31,USD,8435000,0,143067000,3467000,-16076000,-79189000,-62421000,-3741000,13163000,77479000,13601000,None,2031000,None,1418000,None,None,1410000,1562000,None,None,None
2018-09-30,USD,-2269000,0,-80193000,5074000,-64000000,56778000,120005000,4933000,8879000,-9177000,14238000,None,685000,0,0,0,0,815000,411000,None,None,None
2018-06-30,USD,4960000,0,-69384000,-2596000,43000000,72532000,28984000,131000,7556000,10557000,7409000,None,629000,0,0,0,0,1926000,370000,None,None,None
2018-03-31,USD,-3710000,0,-24645000,-1199000,-50000000,21819000,70831000,499000,7711000,7985000,10811000,None,602000,0,0,0,0,856000,1076000,None,None,None
2017-12-31,USD,8644000,0,-377824000,1138000,36355000,384397000,343794000,3130000,3204000,40005000,33432000,None,2418000,0,0,0,0,16162000,2133000,None,None,None
2017-09-30,USD,-2725000,0,-318533000,1050000,-103000000,341648000,416435000,79000,2986000,4936000,27214000,None,0,0,0,0,0,7890000,1517000,None,None,None
2017-06-30,USD,-718000,0,-228272000,0,35000000,256969000,229062000,1428000,5395000,3345000,16696000,None,0,0,0,0,0,3847000,1057000,None,None,None
2017-03-31,USD,-101031000,545000,-101588000,0,-10000000,134529000,142382000,427000,6047000,42048000,9107000,None,0,0,0,0,0,859000,557000,None,None,None
2016-12-31,USD,-161942000,0,-408494000,-15755000,235000000,374726000,137682000,-851000,5771000,-6333000,27435000,None,2412000,0,0,0,0,3175000,1511000,None,None,None
2016-09-30,USD,-84278000,910000,-325114000,0,31000000,380473000,168359000,None,5471000,14219000,21292000,None,0,0,0,0,0,2343000,590000,None,None,None
2016-06-30,USD,-123825000,1203000,-240442000,0,145000000,291378000,110766000,None,5254000,27573000,11496000,None,0,0,0,0,0,1937000,196000,None,None,None
2016-03-31,USD,None,None,0,0,None,145951000,110639000,None,6355000,None,0,None,0,0,0,0,0,None,81000,None,None,None
2015-12-31,USD,-64388000,0,-243516000,-12101000,22500000,203986000,136376000,503000,4212000,-19109000,18320000,None,2444000,-559000,0,0,0,2836000,1939000,None,None,None
2015-09-30,USD,None,None,0,0,None,136025000,33052000,None,4220000,None,8107000,None,0,-559000,0,0,0,None,1891000,None,None,None
2015-06-30,USD,None,None,None,None,None,76523000,1828000,None,3883000,None,5717000,None,None,-386000,None,None,None,None,1531000,None,None,None
