fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,52409000,None,None,None,None,9907000,None,None,11961000,None,22637000,None,None,2541000,9605000,2054000,60452000,50847000,None,None,None,2054000,None,None,9907000,9907000,None
2020-03-31,USD,47750000,None,None,None,None,3516000,None,None,4359000,None,23177000,None,None,4888000,12427000,843000,57452000,45025000,None,None,None,843000,None,None,3516000,3516000,None
2019-12-31,USD,47926000,26639400,None,46993000,None,13986000,None,None,17562000,None,21646000,None,20353600,3167000,13621000,3576000,58147000,44526000,None,None,None,3576000,-2791600,None,13986000,13986000,None
2019-09-30,USD,47726000,28870600,None,45129000,None,12047000,None,None,15120000,None,23142000,None,16258400,2227000,13828000,3073000,58665000,44837000,None,None,None,3073000,-1138400,None,12047000,12047000,None
2019-06-30,USD,49416000,27947000,None,48009000,None,14248000,None,None,17929000,None,23037000,None,20062000,2341000,13375000,3681000,58946000,45571000,None,None,None,3681000,-2133000,None,14248000,14248000,None
2019-03-31,USD,47892000,28036000,None,46890000,None,12678000,None,None,15775000,None,23143000,None,18854000,2191000,12546000,3097000,57149000,44603000,None,None,None,3097000,-3079000,None,12678000,12678000,None
2018-12-31,USD,45208000,26201000,13429000,45208000,0,13163000,0,0,16162000,0,24203000,None,19007000,1998000,10465000,None,None,None,0,0,0,2999000,-2845000,0,13163000,13163000,None
2018-09-30,USD,29964000,18268000,7300000,29964000,0,8879000,0,0,10800000,0,16878000,None,11696000,1390000,7300000,None,None,None,0,0,0,1921000,-896000,0,8879000,8879000,None
2018-06-30,USD,28990000,19155000,7008000,28990000,0,7556000,0,0,9130000,0,17661000,None,9835000,1494000,6377000,None,None,None,0,0,0,1574000,-705000,0,7556000,7556000,None
2018-03-31,USD,27882000,17988000,6155000,27882000,0,7711000,0,0,9165000,0,14066000,None,13214000,1415000,5502000,None,None,None,0,0,0,1454000,-729000,0,7711000,7711000,None
2017-12-31,USD,96341000,97097000,6532000,96341000,-25050000,3204000,0,0,7813000,0,13586000,None,12896000,2668000,11866000,None,None,None,0,0,0,4609000,-3054000,0,12690000,3204000,None
2017-09-30,USD,0,-45885000,10812000,0,50100000,2986000,0,0,3873000,0,12905000,None,8022000,7621000,24000,None,None,None,0,0,0,887000,0,0,17688000,2986000,None
2017-06-30,USD,0,15696000,6887000,0,-33400000,5395000,0,0,7116000,0,11717000,None,11266000,-6398000,496000,None,None,None,0,0,0,1721000,0,0,-18793000,5395000,None
2017-03-31,USD,0,0,4727000,0,8350000,6047000,0,0,7577000,0,11989000,None,11542000,1938000,3384000,None,None,None,0,0,0,1530000,0,0,6047000,6047000,None
2016-12-31,USD,89613000,56892000,3959000,89613000,15850000,5771000,0,0,7813000,0,11865000,None,11549000,8547000,8004000,None,None,None,0,0,0,2042000,-316000,0,33142000,5771000,None
2016-09-30,USD,0,0,5124000,0,-23787000,5471000,0,0,7574000,0,11041000,None,10828000,-6206000,-2035000,None,None,None,0,0,0,2103000,0,0,-15545000,5471000,None
2016-06-30,USD,0,0,4223000,0,7937000,5254000,0,0,7593000,0,10391000,None,10515000,2255000,4945000,None,None,None,0,0,0,2339000,0,0,5254000,5254000,None
2016-03-31,USD,0,0,3077000,0,0,6355000,0,0,9425000,0,10505000,None,10507000,0,0,None,None,None,0,0,0,3070000,0,0,0,6355000,None
2015-12-31,USD,78366000,52629000,4396000,78366000,0,4212000,0,0,6178000,0,10084000,None,9358000,4079000,8640000,None,None,None,0,0,0,1966000,-2176000,0,15786000,3653000,None
2015-09-30,USD,0,0,3768000,0,0,4220000,0,0,6177000,0,10285000,None,9172000,0,0,None,None,None,0,0,0,1957000,0,0,0,4220000,None
2015-06-30,USD,0,0,3536000,0,0,3883000,0,0,5839000,0,9755000,None,8890000,0,0,None,None,None,0,0,0,1956000,0,0,0,3883000,None
