fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,97625000,None,None,2040000,32114000,65511000,None,514000,916066000,-1004014000,22920000,None,173000,45899000,6327000,None,None,-48099000,7741000,85536000,1600000,-77747000,36489000,1108000,None,None,5813000,None,None,916066000,143258000,-1004014000,None,None,2748000,None,12089000,3231000,None,25787000,25787000,None,None,None,58300000,97625000,82388000,None,71256579
2020-03-31,USD,102614000,None,None,2370000,29358000,73256000,None,466000,911099000,-986932000,22440000,None,233000,26416000,4031000,None,None,-47977000,8176000,88333000,3215000,-67007000,61690000,1072000,None,None,3565000,None,None,911099000,140263000,-986932000,None,None,2890000,None,14281000,3295000,None,25327000,25327000,None,None,None,56803000,102614000,88106000,None,56850172
2019-12-31,USD,105535000,None,None,1790000,32791000,72744000,None,730000,898535000,-970093000,21945000,0,293000,31799000,7828000,None,None,-48229000,8676000,93828000,0,-64541000,59035000,1204000,None,None,7098000,None,None,898535000,137285000,-970093000,None,None,3031000,None,11707000,3358000,None,24963000,24963000,None,None,None,55246000,105535000,90834000,None,64789314
2019-09-30,USD,117277000,None,None,1771000,33640000,83637000,None,618000,884623000,-942559000,21680000,0,None,90082000,8817000,None,None,-48217000,9150000,94341000,10969000,-50768000,0,2488000,None,None,8199000,None,None,884623000,134405000,-942559000,None,None,2817000,None,22936000,3472000,None,24823000,24823000,None,None,None,55385000,117277000,90082000,None,56850172
2019-06-30,USD,192570000,43836000,None,2770000,28104000,164466000,12661000,859000,884623000,-857264000,16042000,22471000,None,78872000,8799000,None,None,-48244000,9402000,99583000,14377000,-33454000,16410000,1531000,None,None,7940000,None,None,884623000,131613000,-857264000,None,None,2901000,None,92987000,3639000,None,6644000,19305000,None,None,None,53738000,192570000,95282000,None,56850172
2019-03-31,USD,209216000,43836000,None,682000,28007000,181209000,12661000,1995000,882143000,-831187000,15912000,22471000,None,83969000,8823000,599000,599000,-48192000,9667000,112486000,17675000,-13949000,26621000,1214000,3272000,None,6828000,None,None,882143000,128851000,-831187000,None,None,3081000,None,96730000,3871000,None,6523000,19184000,None,None,None,49594000,209216000,110590000,None,56255816
2018-12-31,USD,227905000,43836000,None,69099000,27671000,200234000,13306000,1810000,879405000,-805221000,16432000,22471000,None,36942000,11239000,None,None,-48170000,10145000,129229000,22224000,74098000,87675000,1820000,None,None,9429000,None,None,879405000,126136000,-805221000,None,None,None,None,32369000,None,None,3126000,16432000,None,None,None,48084000,227905000,124617000,None,55518800
2018-09-30,USD,245418000,43836000,None,67434000,30146000,215272000,13317000,4157000,878805000,-784325000,17478000,22471000,90972000,21933000,12668000,None,None,-48197000,10421000,144025000,24665000,91783000,120085000,880000,0,0,8511000,0,0,878805000,123489000,-784325000,0,None,None,None,35086000,None,None,4161000,17478000,None,None,None,45500000,245418000,142018000,None,55472319
2018-06-30,USD,277014000,58647000,None,82354000,38942000,238072000,17632000,4156000,878191000,-757285000,27401000,22471000,108564000,10193000,11541000,None,None,-48185000,10681000,157769000,27446000,117150000,144676000,1664000,0,0,7385000,0,0,878191000,120922000,-757285000,0,None,None,None,38127000,None,None,9769000,27401000,None,None,None,44429000,277014000,154869000,None,55325250
2018-03-31,USD,270026000,58647000,None,84468000,37608000,232418000,17636000,3937000,876288000,-757835000,27212000,24364000,83011000,12461000,10396000,None,None,-48185000,11829000,175186000,None,114037000,160079000,1189000,0,0,6459000,0,0,876288000,118381000,-757835000,0,None,None,None,11829000,None,None,9576000,27212000,None,None,None,43769000,270026000,172540000,None,55087191
