fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-1543000,2184000,23371000,24980000,None,4959000,17440000,452000,-14087000,19529000,-8801000,1525000,543000,2995000,4959000,None,-36000,1070000,66000,-36000,None,19529000
2020-03-31,USD,-24369000,-3733000,-2401000,21968000,None,12481000,17440000,-570000,-13861000,-5373000,-15453000,600000,498000,2978000,12481000,None,132000,911000,0,132000,None,-5373000
2019-12-31,USD,28916000,-1280000,-58822000,-87675000,None,13893000,17440000,-423000,-24654000,-58280000,-13351000,-21762000,232000,2880000,13893000,None,1284000,-12215000,63000,1284000,68000,-58212000
2019-09-30,USD,16155000,-46000,16155000,16410000,None,18549000,18549000,496000,-82503000,11234000,-23470000,2186000,507000,2792000,5015000,None,-957000,57372000,255000,-957000,None,11234000
2019-06-30,USD,9972000,240000,9972000,10212000,None,2479000,18549000,-2264000,-23315000,-5154000,-17605000,-1616000,505000,2762000,2479000,None,-608000,7189000,240000,-608000,None,-5154000
2019-03-31,USD,61033000,-2972000,61033000,61064000,None,2536000,18549000,2190000,-23251000,46989000,-16580000,2375000,509000,2715000,2536000,None,508000,6251000,31000,508000,None,46989000
2018-12-31,USD,45011000,1466000,44784000,-2989000,-12001000,109000,18549000,-1104000,-18249000,27818000,-17075000,-2361000,504000,2647000,109000,None,-893000,2458000,227000,-893000,-77000,26815000
2018-09-30,USD,11990000,775000,11775000,23000,None,435000,None,-211000,-24473000,-992000,-13202000,-89000,497000,2567000,435000,0,784000,9432000,238000,656000,None,-66000
2018-06-30,USD,15403000,3033000,14980000,2000,None,735000,None,283000,3091000,-1907000,-17622000,-1546000,578000,4877000,735000,0,-475000,-21274000,425000,-475000,-361000,-2268000
2018-03-31,USD,-75418000,-5209000,-75666000,0,-12001000,54367000,None,1716000,-17429000,-41266000,-19967000,685000,602000,0,66368000,0,-317000,672000,248000,-317000,-565000,-41831000
2017-12-31,USD,894000,6976000,709000,3000,-12001000,48903000,-1131000,-140000,-35931000,39270000,-10342000,-875000,620000,0,48903000,0,-129000,18424000,188000,444000,-203000,39067000
2017-09-30,USD,5843000,-8544000,5306000,0,-12001000,61000,-1131000,827000,-11600000,-10314000,-15681000,682000,593000,0,61000,0,573000,2847000,537000,341000,1327000,-8987000
2017-06-30,USD,1731000,1548000,-1385000,0,-12001000,4000,-1131000,-9000,-18255000,-6463000,-5082000,285000,480000,0,4000,0,914000,4169000,3116000,6691000,824000,-5639000
2017-03-31,USD,26618000,3483000,23195000,0,None,354000,-1131000,-279000,-18627000,6014000,-17535000,-279000,334000,0,354000,0,7605000,5159000,3423000,-7605000,424000,6438000
2016-12-31,USD,15906000,1987000,731000,-12576000,12001000,12001000,-1131000,-115000,-218695000,-2090000,-14822000,3000,332000,0,0,0,688000,201429000,2599000,122000,-1127000,-3217000
2016-09-30,USD,-712000,-1953000,-879000,0,None,76000,None,584000,-19595000,-15515000,-14712000,-67000,291000,0,76000,0,613000,189089000,167000,1165000,-825000,-16340000
2016-06-30,USD,-84439000,42000,-85393000,0,None,446000,None,-476000,-130000000,-101752000,-16805000,-371000,252000,0,446000,0,552000,-72776000,954000,116000,-50000,-101802000
2016-03-31,USD,-13306000,-1116000,-13582000,0,None,115000,None,-273000,-15874000,-25013000,-11546000,273000,217000,0,115000,0,668000,7912000,276000,-668000,3006000,-22007000
2015-12-31,USD,-630000,446000,-1804000,-12601000,12001000,-25000,-1131000,159000,-5264000,-18446000,-16617000,359000,169000,0,-25000,0,789000,-989000,1174000,-1205000,4136000,-14310000
2015-09-30,USD,-17144000,2408000,-17733000,0,None,115000,None,None,-28982000,-20145000,-2527000,-469000,153000,0,115000,0,0,-22426000,589000,-4047000,-5971000,-26116000
2015-06-30,USD,-9944000,-7351000,-10327000,0,None,960000,None,None,-14886000,-27165000,-17798000,519000,147000,0,960000,0,0,4296000,383000,1738000,2094000,-25071000
