fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,1514000,14655000,10465000,1514000,-12988000,-14087000,10465000,None,-14087000,None,3566000,153000,-13141000,617000,1099000,0,200000,-899000,None,7000,None,None,-170000,None,-14087000,-17082000,2995000
2020-03-31,USD,1491000,14638000,10416000,1491000,-12820000,-13861000,10416000,None,-13861000,None,3553000,327000,-13147000,612000,1041000,0,345000,-696000,None,57000,None,None,-187000,None,-13861000,-16839000,2978000
2019-12-31,USD,1618000,14705000,12418000,1618000,21384000,-24654000,12418000,None,-24654000,None,-4609000,34471000,-13087000,507000,994000,0,402000,-592000,None,6418000,None,None,-10878000,None,-24654000,-192406000,2880000
2019-09-30,USD,3061000,94462000,17731000,3061000,-94059000,-82503000,17731000,None,-95159000,None,9735000,-2658000,-91401000,507000,1100000,-12656000,503000,-597000,None,66489000,None,-12656000,-76136000,None,-82503000,-85295000,2792000
2019-06-30,USD,653000,21168000,12740000,653000,-23313000,-23315000,12740000,None,-23315000,None,8189000,-2798000,-20515000,505000,2000,None,606000,604000,None,-266000,None,None,-3138000,None,-23315000,-26077000,2762000
2019-03-31,USD,679000,19750000,14712000,679000,-23239000,-23251000,14712000,None,-23251000,None,4412000,-4168000,-19071000,509000,12000,None,-4055000,588000,None,117000,None,None,-4885000,None,-23251000,-25966000,2715000
2018-12-31,USD,1678000,18581000,11063000,1678000,-18127000,-18249000,11063000,0,-18249000,0,5927000,-1224000,-16903000,504000,122000,None,None,None,0,1087000,0,0,-2433000,0,-18249000,-20896000,2647000
2018-09-30,USD,1587000,34013000,16566000,1587000,-28755000,-24473000,16566000,0,-28755000,0,2631000,3671000,-32426000,497000,-24278000,None,None,None,0,14319000,0,-4282000,-10648000,0,-24473000,-27040000,2567000
2018-06-30,USD,1244000,23290000,16356000,1244000,3091000,3091000,16356000,0,3091000,0,3775000,25137000,-22046000,578000,-122000,None,None,None,0,2581000,0,0,22556000,0,3091000,550000,2541000
2018-03-31,USD,1436000,19841000,13949000,1436000,-17325000,-17429000,13949000,0,-17429000,0,3669000,1080000,-18405000,602000,104000,None,None,None,0,1621000,0,0,-645000,0,-17429000,-19765000,2336000
2017-12-31,USD,2534000,62783000,21365000,2534000,-60176000,-35931000,17822000,0,-60251000,0,3543000,73000,-60249000,620000,75000,None,None,None,0,40798000,0,-24320000,-39898000,0,-35931000,-36842000,911000
2017-09-30,USD,6892000,19789000,19196000,6892000,-11524000,-11600000,15537000,0,-11600000,0,3659000,1373000,-12897000,593000,76000,None,None,None,0,40798000,0,0,67000,0,-11600000,-11600000,None
2017-06-30,USD,1039000,20524000,20044000,1039000,-18187000,-18255000,15445000,0,-18255000,0,4599000,1298000,-19485000,480000,68000,None,None,None,0,-81596000,0,0,1558000,0,-18255000,-18255000,None
2017-03-31,USD,235000,18534000,18200000,235000,-18585000,-18627000,13872000,0,-18627000,0,4328000,-286000,-18299000,334000,42000,None,None,None,0,40798000,0,0,-328000,0,-18627000,-18627000,None
2016-12-31,USD,-195000,257244000,21889000,-195000,-258833000,-218695000,17156000,0,-258833000,0,4733000,-1394000,-257439000,332000,-261000,None,None,None,0,235023000,0,-40138000,-420254000,0,-218695000,-218695000,None
2016-09-30,USD,774000,19749000,19458000,774000,-19595000,-19595000,15738000,0,-19595000,0,3720000,-620000,-18975000,291000,0,None,None,None,0,0,0,64864000,-1004000,0,-19595000,-19595000,None
2016-06-30,USD,309000,195557000,38981000,309000,-194864000,-130000000,15215000,0,-194864000,0,23766000,384000,-195248000,252000,0,None,None,None,0,156324000,0,-64864000,-3719000,0,-130000000,-130000000,None
2016-03-31,USD,603000,20580000,20363000,603000,-15874000,-15874000,13144000,0,-15874000,0,7219000,4103000,-19977000,217000,0,None,None,None,0,156324000,0,0,4103000,0,-15874000,-15874000,None
2015-12-31,USD,15257000,24444000,23258000,15257000,-8824000,-5264000,14904000,0,-8824000,0,8354000,2934000,-11758000,169000,-261000,None,None,None,0,1017000,0,-989000,-27847000,0,-7835000,-5264000,None
2015-09-30,USD,4065000,62203000,24060000,4065000,-44178000,-28982000,16354000,0,-44178000,0,7706000,13960000,-58138000,153000,0,None,None,None,0,37990000,0,-15196000,0,0,-28982000,-28982000,None
2015-06-30,USD,869000,17860000,17352000,869000,-12315000,-14886000,9690000,0,-12315000,0,7662000,2105000,-14420000,147000,0,None,None,None,0,361000,0,0,0,0,-12315000,-14886000,None
