fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,591000,0,591000,None,None,-3196000,110000,754000,35237000,-284189000,-281584000,None,-774000,-2238000,-1068000,None,144000,-19599000,0,None,None,None
2020-03-31,USD,-10607000,0,-10607000,477000,None,-6004000,-531000,-6844000,-73355000,10006000,26617000,None,802000,-2248000,-3225000,None,8271000,50111000,11084000,None,None,None
2019-12-31,USD,-1467000,0,-1467000,1460000,None,-1373000,-601000,9797000,11022000,-2346000,494000,None,12000,0,-772000,None,-8295000,-4321000,268000,None,None,None
2019-09-30,USD,265000,0,265000,2659000,None,-2085000,-743000,-4974000,5951000,-10568000,-8748000,None,6000,0,-1342000,None,-29000,3260000,6250000,None,None,None
2019-06-30,USD,-6193000,0,-6193000,2394000,-2000,-4950000,-1064000,-13798000,-932000,-34518000,-23375000,0,6000,-2254000,-1630000,0,-70000,3601000,6250000,0,0,0
2019-03-31,USD,2337000,0,2337000,2337000,-2000,-3176000,-526000,11272000,24654000,-13544000,-12705000,0,6000,-2259000,-391000,0,3206000,-21434000,6250000,0,0,0
2018-12-31,USD,-10264000,0,-10264000,571000,-2000,-1422000,-982000,8136000,-40315000,60677000,72363000,0,6000,-2259000,-7011000,0,-3027000,49470000,6250000,0,0,0
2018-09-30,USD,-10264000,0,-10264000,571000,-2000,18932000,-336000,8628000,-7379000,75117000,56185000,0,6000,-2259000,0,0,-30000,-632000,6250000,0,0,0
2018-06-30,USD,-2623051.37,0,-2623051.37,145923.84,0,3061078.46,-85867.62,1412215.69,3021722.46,-2607206.75,-5668285.20,0,1277.79,-589317.66,0,0,37822.64,-605162.28,0,0,0,0
2018-03-31,USD,-10264000,0,15000000,15000000,10000000,5201000,-1971000,6978000,-22229000,-9140000,-29388000,None,4000,-2369000,0,0,4254000,2555000,0,None,None,None
2017-12-31,USD,-3734000,0,-18734000,-15000000,50000000,65373000,91362000,-55241000,15800000,-20981000,-67620000,None,16000,-4768000,0,0,4045000,2157000,0,None,None,None
2017-09-30,USD,25000,0,-2554000,0,10000000,49704000,67984000,-3893000,1519000,-77226000,58840000,None,12000,-2403000,0,0,3535000,-84000,0,None,None,None
2017-06-30,USD,-343000,0,-2000000,0,10000000,5273000,19764000,-3296000,4596000,11877000,2162000,None,8000,-2393000,0,27546000,7413000,975000,0,None,None,None
2017-03-31,USD,-1657000,-51041000,-1657000,0,10000000,9633000,9759000,24625000,1593000,-6442000,75000,None,3000,0,0,11056000,9001000,19445000,0,None,None,None
2016-12-31,USD,-4115000,0,-4115000,-15000000,150000000,105872000,150006000,22788000,3647000,108343000,6588000,None,17000,-2504000,0,0,44252000,-8819000,0,None,None,None
2016-09-30,USD,-3414000,-15840000,-2554000,0,150000000,140369000,149756000,79992000,3959000,207677000,58840000,None,13000,-2504000,0,82670000,38492000,-3204000,0,None,None,None
2016-06-30,USD,816000,1078000,860000,0,150000000,65367000,None,-9697000,1019000,-8513000,-7638000,None,6000,0,0,297000,39252000,-497000,0,None,None,None
2016-03-31,USD,None,None,44000,0,None,0,None,None,1593000,None,75000,None,0,0,0,9801000,39900000,None,0,None,None,None
2015-12-31,USD,-41734000,44516000,-41734000,-15000000,-16000000,9281000,25325000,29849000,4189000,-79780000,-47350000,None,13000,-2504000,0,0,-949000,-6791000,0,None,None,None
2015-09-30,USD,None,43232000,0,0,None,53882000,53882000,None,0,None,65083000,None,0,0,0,29096000,0,None,0,None,None,None
2015-06-30,USD,None,42753000,None,None,None,65367000,65367000,None,855000,None,50500000,None,None,None,None,14686000,None,79000,0,None,None,None
