fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,3137000,7280000,None,None,48800000,35237000,None,None,48735000,48081000,3985000,None,-4143000,3295000,65000,11110000,1227000,1162000,None,None,None,11110000,51716000,None,37625000,35237000,None
2020-03-31,USD,4369000,5464000,None,None,-100300000,-73355000,None,None,-101151000,46860000,3375000,None,-1095000,2089000,49000,-23799000,2310000,2261000,None,None,None,-23799000,-102317000,None,-77352000,-73355000,None
2019-12-31,USD,16674000,18396000,15896000,778000,17123000,11022000,None,None,17042000,51388000,20654000,None,-1722000,-2258000,69000,4658000,3708000,3639000,None,None,None,4658000,15125000,None,12384000,11022000,None
2019-09-30,USD,5118000,8127000,4808000,310000,7221000,5951000,None,None,7146000,49699000,5064000,None,-3009000,3063000,69000,1554000,2618000,2549000,None,None,None,1554000,7606000,None,5592000,5951000,None
2019-06-30,USD,4821000,7972000,5584000,-763000,-84000,-932000,0,0,-125000,49668000,5868000,0,-3151000,2104000,35000,-277000,3295000,3260000,0,0,0,-277000,-234000,0,152000,-932000,0
2019-03-31,USD,4652000,12528000,6311000,-1659000,30895000,23147000,0,0,30845000,50781000,9571000,0,-7876000,2957000,44000,6191000,38721000,3742000,0,0,0,6191000,34979000,0,24654000,23147000,0
2018-12-31,USD,8614000,10899000,8434000,180000,-2285000,-40315000,0,0,-47926000,49800000,3260000,0,-2285000,2465000,-120000,None,None,None,0,0,0,-7274000,-45641000,0,-40652000,-40315000,0
2018-09-30,USD,4666000,8165000,5907000,-1241000,-3499000,-7379000,0,0,-8080000,51119000,3260000,0,-3499000,2258000,-70000,None,None,None,0,0,0,-858000,-4581000,0,-7222000,-7379000,0
2018-06-30,USD,1225658.06,317918.34,1500127.78,-274469.72,-880654.23,3021722.46,0,0,4153079.48,13111934.58,833120.37,0,-880654.23,606184.51,-9966.78,None,None,None,0,-88.36,0,865831.84,5033733.71,0,3287247.64,3021722.46,0
2018-03-31,USD,4703000,8953000,6324000,-1621000,-4250000,-22229000,0,0,-29106000,50604000,0,None,-4250000,2557000,-33000,None,None,None,0,2557000,0,-6734000,-24856000,0,-22372000,-22229000,None
2017-12-31,USD,11585000,59037000,15070000,-3729000,-5809000,15800000,0,0,21989000,8231000,713000,None,-11356000,9381000,17000,None,None,None,0,9381000,0,6247000,19138000,0,29681000,15800000,None
2017-09-30,USD,5248000,-23284000,11356000,0,-50866000,1519000,0,0,1400000,37969000,0,None,-5495000,2661000,69000,None,None,None,0,2661000,0,67000,-3257000,0,-51779000,1519000,None
2017-06-30,USD,5095000,11548000,11544000,0,57660000,4596000,0,0,4316000,30000,0,None,797000,-4069000,71000,None,None,None,0,-4069000,0,8114000,27878000,0,43860000,4596000,None
2017-03-31,USD,4987000,0,9315000,0,-21371000,1593000,0,0,0,61000,0,None,-4332000,2092000,70000,None,None,None,0,2092000,0,-8424000,-17109000,0,-13078000,-13078000,None
2016-12-31,USD,16295000,43459000,16159000,259000,-14858000,3647000,0,0,4731000,4160000,1593000,None,132000,8434000,36000,None,None,None,0,10429000,0,1103000,27889000,0,8548000,3647000,None
2016-09-30,USD,5451000,0,9944000,0,988000,3959000,0,0,5836000,70000,0,None,14653000,0,66000,None,None,None,0,-4075000,0,1807000,-12957000,0,902000,3959000,None
2016-06-30,USD,4964000,0,8310000,0,1638000,1019000,0,0,1570000,246000,0,None,-7867000,0,68000,None,None,None,0,2080000,0,305000,11645000,0,1019000,1019000,None
2016-03-31,USD,4517000,0,9029000,0,0,1593000,0,0,2208000,0,0,None,0,0,420000,None,None,None,0,0,0,661000,0,0,0,1593000,None
2015-12-31,USD,8995000,37154000,14874000,-3501000,-14312000,4189000,0,0,5368000,9220000,-309000,None,-14312000,6189000,276000,None,None,None,0,6189000,0,1469000,11736000,0,-891000,4189000,None
2015-09-30,USD,4690000,0,5768000,0,0,-855000,0,0,-971000,0,0,None,0,0,323000,None,None,None,0,0,0,-133000,0,0,0,-855000,None
2015-06-30,USD,4590000,0,8055000,0,0,855000,0,0,971000,0,0,None,0,0,327000,None,None,None,0,0,0,133000,0,0,0,855000,None
