fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-25100000,-22400000,-25100000,None,-100300000,-106000000,None,25600000,33300000,-52300000,78800000,None,None,-2400000,0,-6800000,None,1700000,22500000,None,None,None
2020-03-31,USD,-325400000,4600000,-325400000,-304300000,249900000,244200000,-1200000,-12300000,31600000,-39700000,41500000,None,26800000,-2500000,-2000000,-7900000,None,5900000,21100000,None,None,None
2019-12-31,USD,-22000000,56700000,-22000000,-24000000,-200000,-4900000,-1900000,-1500000,21100000,112900000,139800000,None,22600000,-2500000,0,25000000,12900000,3000000,24400000,None,None,None
2019-09-30,USD,-27900000,9600000,-27900000,-26400000,-300000,-5700000,-1900000,-1400000,32700000,44200000,77800000,None,21700000,-2400000,-3000000,-15500000,20800000,9900000,22100000,None,None,None
2019-06-30,USD,-42200000,-6600000,-42200000,-20600000,-300000,-8700000,-1900000,-4400000,31800000,-34700000,16200000,None,21700000,-2500000,-2000000,-14700000,-19900000,8300000,20900000,None,None,None
2019-03-31,USD,-17300000,-6900000,-17300000,700000,-80400000,-89100000,-1900000,10800000,27700000,18600000,125000000,None,19800000,-2500000,-6200000,-17500000,85200000,5900000,18000000,None,None,None
2018-12-31,USD,None,13900000,-309100000,-319700000,179800000,398100000,21800000,24600000,27700000,89000000,125000000,None,17900000,-2500000,-3500000,1700000,-91800000,6000000,11800000,None,None,None
2018-09-30,USD,None,-8800000,-11100000,2600000,179800000,-8500000,-8500000,-3400000,3200000,-200000,19400000,None,16800000,-2500000,None,-17600000,-9900000,39100000,12600000,None,None,None
2018-06-30,USD,None,15800000,-12400000,1100000,-100000,6800000,6900000,-7200000,22600000,3900000,9500000,None,15800000,-2500000,None,-28500000,-14700000,5700000,12800000,None,None,None
2018-03-31,USD,None,-300000,-31900000,None,-100000,-57800000,-57800000,-4600000,22200000,-100000,89600000,None,17100000,None,None,14500000,35500000,5200000,7600000,None,None,None
2017-12-31,USD,None,2200000,-126400000,3500000,500000,-42800000,-43300000,-5500000,23600000,-7200000,162000000,None,65700000,None,None,24300000,-26400000,7100000,82400000,None,None,None
2017-09-30,USD,None,2800000,-55800000,None,-100000,13000000,13100000,3900000,20600000,-1700000,41100000,None,16800000,None,None,-1700000,-8000000,6700000,14100000,None,None,None
2017-06-30,USD,None,-1000000,-18400000,None,600000,-8900000,-9500000,1900000,45500000,1400000,28700000,None,15400000,None,None,-14500000,2100000,2900000,13700000,None,None,None
2017-03-31,USD,None,6900000,-17100000,None,600000,-50900000,-50900000,-7000000,23600000,-3500000,64500000,None,16000000,None,None,36600000,-10000000,-1600000,18100000,None,None,None
2016-12-31,USD,None,-20500000,-79800000,5000000,-500000,-144200000,-143700000,-25900000,123000000,3800000,227800000,None,65600000,None,None,56400000,300000,28900000,84800000,None,None,None
2016-09-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None
2016-06-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None
2016-03-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,None,None,None
