fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,498500000,450700000,396800000,101700000,75800000,33300000,None,None,45100000,None,53900000,None,47800000,None,2800000,11800000,100000,-2700000,None,None,None,11800000,None,None,33300000,33000000,None
2020-03-31,USD,488200000,443100000,391300000,96900000,72100000,31600000,None,None,42000000,None,51800000,None,45100000,None,3300000,10400000,200000,-3100000,None,None,None,10400000,200000,None,31600000,31300000,None
2019-12-31,USD,446900000,416400000,369300000,77600000,52800000,21100000,None,None,28500000,None,47100000,None,30500000,None,1700000,7400000,400000,-1300000,None,None,None,7400000,-300000,None,21100000,21000000,None
2019-09-30,USD,445000000,402200000,356700000,88300000,65200000,32700000,None,None,41900000,None,45500000,None,42800000,None,1600000,9200000,300000,-1300000,None,None,None,9200000,400000,None,32700000,32400000,None
2019-06-30,USD,434100000,391800000,345700000,88400000,64100000,31800000,None,None,40800000,None,46100000,None,42300000,None,1600000,9000000,400000,-1200000,None,None,None,9000000,-300000,None,31800000,31500000,None
2019-03-31,USD,410900000,373600000,332800000,78100000,57300000,27700000,None,None,35600000,None,40800000,None,37300000,None,1900000,7900000,-2100000,-1600000,None,None,None,7900000,-100000,None,27700000,27400000,None
2018-12-31,USD,374400000,343800000,307000000,67400000,30600000,27700000,0,0,28800000,0,36800000,None,30600000,0,-900000,None,None,None,1500000,0,0,1100000,-1800000,0,27700000,27500000,None
2018-09-30,USD,378600000,349000000,308900000,69700000,29600000,3200000,0,0,6600000,0,40100000,None,29600000,0,-900000,None,None,None,0,0,0,3400000,-23000000,0,3200000,3200000,None
2018-06-30,USD,353000000,322400000,283000000,70000000,30600000,22600000,0,0,29400000,0,39400000,None,30600000,0,-900000,None,None,None,0,0,0,6800000,-1200000,0,22600000,22600000,None
2018-03-31,USD,354400000,323200000,285600000,68800000,31200000,22200000,0,0,30200000,0,37600000,None,31200000,0,-900000,None,None,None,0,0,0,8000000,-1000000,0,22200000,22200000,None
2017-12-31,USD,347500000,998400000,264500000,219200000,98100000,23600000,0,0,21500000,0,42400000,None,23100000,0,-900000,None,None,None,0,0,0,27200000,-1800000,0,69100000,23600000,None
2017-09-30,USD,365900000,728400000,273600000,151300000,77400000,20600000,0,0,33800000,0,41900000,None,33600000,0,0,None,None,None,0,0,0,13200000,-3200000,0,45900000,20600000,None
2017-06-30,USD,749000000,-752800000,563900000,-152300000,-83400000,45500000,0,0,74800000,0,78700000,None,75000000,0,0,None,None,None,0,0,0,29300000,4600000,0,-48900000,45500000,None
2017-03-31,USD,396300000,356700000,319800000,76500000,39600000,23600000,0,0,38400000,0,36900000,None,39600000,0,0,None,None,None,0,0,0,14800000,-1200000,0,23600000,23600000,None
2016-12-31,USD,1704000000,1503200000,1290300000,348100000,200800000,123000000,0,0,197200000,0,147300000,None,200800000,0,-900000,None,None,None,0,0,0,74200000,-3600000,0,123000000,123000000,None
2016-09-30,USD,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None
2016-06-30,USD,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None
2016-03-31,USD,0,0,0,0,0,0,0,0,0,0,0,None,0,0,0,None,None,None,0,0,0,0,0,0,0,0,None
