fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,129798000,-11053000,126865000,None,None,47401000,None,-12640000,-42141000,137383000,-36883000,-2336000,1117000,None,47401000,17000,-2149000,19070000,2933000,-1557000,None,137383000
2020-03-31,USD,30542000,23834000,29608000,30542000,None,3754000,None,20916000,-88023000,-15640000,-49002000,-2675000,751000,None,3754000,-37000,-5855000,23845000,934000,-6697000,None,-15640000
2019-12-31,USD,-208937000,7622000,-209144000,-164707000,None,43058000,None,6490000,-53036000,-195793000,-29707000,3274000,74000,None,43058000,-1311000,-4977000,19275000,207000,-5605000,None,-195793000
2019-09-30,USD,9923000,-1206000,9923000,44230000,None,319967000,None,3011000,-41978000,311042000,-18851000,-3180000,651000,None,319967000,-699000,977000,20393000,80000,453000,None,311039000
2019-06-30,USD,10627000,-10974000,10627000,34227000,None,4646000,None,-3978000,-54941000,-23125000,-38397000,5500000,695000,None,4646000,830000,-1823000,20434000,20000,1048000,None,-23124000
2019-03-31,USD,23580000,9853000,22758000,23580000,None,4176000,None,5555000,-85304000,-37241000,-64175000,-2077000,-221000,None,4176000,-557000,-3868000,20112000,822000,-5981000,None,-37241000
2018-12-31,USD,-188418000,18227000,-188949000,39000,None,300603000,None,10892000,-65492000,72575000,-39079000,-6123000,619000,None,300603000,462000,-6132000,20335000,570000,-7107000,None,72575000
2018-09-30,USD,32794000,-7203000,31784000,5000,None,211000,None,-8690000,-62138000,-10285000,-42280000,-2082000,577000,0,211000,682000,5738000,21884000,1015000,6000000,None,-10285000
2018-06-30,USD,-3827000,3068000,-3942000,0,None,2953000,None,2949000,-63266000,-41864000,-40875000,231000,645000,0,2953000,959000,-3251000,20822000,115000,-3334000,None,-41864000
2018-03-31,USD,90066000,-2350000,89618000,0,None,2880000,None,-908000,-54296000,47262000,-45236000,-4532000,586000,0,2880000,-177000,-5102000,20451000,448000,-4918000,None,47262000
2017-12-31,USD,-18086000,12833000,-18093000,0,None,4791000,None,3910000,-68871000,-43197000,-29895000,6115000,548000,0,4791000,633000,-11440000,22023000,7000,-3176000,-1000,-43198000
2017-09-30,USD,19388000,-4753000,19332000,0,None,7897000,None,-10736000,-65248000,-31172000,-58401000,-6360000,856000,0,7897000,282000,8318000,19698000,56000,-2876000,-1000,-31173000
2017-06-30,USD,38563000,-4182000,38299000,0,None,7010000,None,-1576000,-67441000,-13591000,-58900000,-1026000,492000,0,7010000,-2128000,5691000,18244000,264000,-2859000,-3000,-13594000
2017-03-31,USD,53420000,2572000,52935000,0,None,11490000,None,3052000,-87843000,-6236000,-70661000,691000,526000,0,11490000,201000,1757000,15571000,485000,-2379000,-1000,-6237000
2016-12-31,USD,69389000,3483000,69140000,0,None,3986000,596000,10718000,-78696000,9937000,-63189000,-1654000,574000,0,3390000,198000,-5903000,14822000,249000,-1916000,4000,9941000
2016-09-30,USD,-154438000,10074000,-154908000,0,None,226077000,14320000,1872000,-71613000,21907000,-49262000,1872000,978000,0,226077000,-991000,3839000,14009000,470000,-3591000,-1000,21905000
2016-06-30,USD,1120000,7982000,-7460000,-8000000,None,20758000,14320000,-4387000,-71322000,-43447000,-56745000,-4387000,461000,0,6438000,-2512000,5000,13883000,580000,-850000,None,-43446000
2016-03-31,USD,-168489000,-1151000,-168696000,0,None,282991000,14320000,-3018000,-49762000,73083000,-41212000,-3018000,-96000,0,282991000,0,855000,11960000,207000,855000,-1000,73082000
2015-12-31,USD,57018000,4190000,56725000,0,None,9332000,247000,4458000,-45784000,31335000,-34722000,-321000,-30000,0,9085000,-3305000,-5903000,8655000,293000,-1432000,4000,31339000
2015-09-30,USD,8494000,-1930000,8308000,0,None,1132000,None,None,-38906000,-22413000,-31853000,-914000,-670000,0,1132000,0,758000,9265000,186000,1302000,None,-22413000
2015-06-30,USD,44738000,3216000,44064000,0,None,2599000,None,None,-39378000,16789000,-29874000,97000,-546000,0,2599000,0,0,7499000,674000,-762000,-1000,16788000
