fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,110103000,151214000,2899000,107204000,-43573000,-42141000,64295000,None,-41748000,None,84344000,437000,-44010000,2575000,-1825000,393000,1825000,1825000,None,None,None,393000,437000,None,-42141000,-42141000,None
2020-03-31,USD,90068000,178281000,2799000,87269000,-89515000,-88023000,72636000,None,-88023000,None,103470000,None,-89515000,2175000,-2989000,0,2989000,2989000,None,None,None,None,-1497000,None,-88023000,-88023000,None
2019-12-31,USD,98326000,151705000,3020000,95306000,-55908000,-53036000,57520000,None,-52636000,None,91871000,491000,-56399000,2314000,-3272000,400000,3272000,3272000,None,None,None,400000,491000,None,-53036000,-53036000,None
2019-09-30,USD,94586000,140007000,4689000,89897000,-44770000,-41978000,62622000,None,-42242000,None,72696000,747000,-45421000,2273000,-2432000,-264000,2432000,2432000,None,None,None,-264000,747000,None,-41978000,-41978000,None
2019-06-30,USD,83205000,140296000,4995000,78210000,-56396000,-54941000,67320000,None,-54576000,None,67981000,-12000,-57091000,2037000,-2527000,365000,2527000,2527000,None,None,None,365000,-12000,None,-54941000,-54941000,None
2019-03-31,USD,62959000,147643000,2950000,60009000,-87863000,-85304000,52923000,None,-84929000,None,93090000,-229000,-87634000,1630000,-2934000,375000,2934000,2934000,None,None,None,375000,-229000,None,-85304000,-85304000,None
2018-12-31,USD,59571000,125355000,1491000,58080000,-67148000,-65492000,48183000,0,-65478000,0,74271000,127000,-67275000,2901000,-1670000,None,None,None,0,0,0,14000,1797000,0,-65492000,-65492000,None
2018-09-30,USD,58305000,115737000,3839000,54466000,-62991000,-62138000,53112000,0,-61762000,0,61089000,-1720000,-61271000,1536000,-1229000,None,None,None,0,0,0,376000,-491000,0,-62138000,-62138000,None
2018-06-30,USD,57063000,117580000,3562000,53501000,-64326000,-63266000,46592000,0,-63047000,0,69472000,-247000,-64079000,1516000,-1279000,None,None,None,0,0,0,219000,1032000,0,-63266000,-63266000,None
2018-03-31,USD,48868000,100202000,3485000,45383000,-54819000,-54296000,39276000,0,-53649000,0,60926000,None,-54819000,0,-1170000,None,None,None,0,0,0,647000,1170000,0,-54296000,-54296000,None
2017-12-31,USD,43562000,108718000,3703000,39859000,-68859000,-68871000,43179000,0,-67752000,0,65539000,None,-68859000,0,-1107000,None,None,None,0,0,0,1119000,4126000,0,-68871000,-68871000,None
2017-09-30,USD,35578000,98676000,3213000,32365000,-66311000,-65248000,36421000,0,-65248000,0,62255000,None,-66311000,0,-1063000,None,None,None,0,0,0,667000,0,0,-65248000,-65248000,None
2017-06-30,USD,30475000,95703000,3206000,27269000,-68434000,-67441000,34180000,0,-67441000,0,61523000,None,-68434000,0,-993000,None,None,None,0,0,0,398000,0,0,-67441000,-67441000,None
2017-03-31,USD,15286000,101154000,2938000,12348000,-88806000,-87843000,35409000,0,-87843000,0,65745000,None,-88806000,0,-963000,None,None,None,0,0,0,85000,0,0,-87843000,-87843000,None
2016-12-31,USD,11962000,87881000,2312000,9650000,-78231000,-78696000,30218000,0,-77355000,0,57663000,None,-78231000,0,-876000,None,None,None,0,0,0,1341000,2763000,0,-78696000,-78696000,None
2016-09-30,USD,5268000,76347000,1320000,3948000,-72399000,-71613000,25813000,0,-71613000,0,50534000,None,-72399000,0,-786000,None,None,None,0,0,0,0,0,0,-71613000,-71613000,None
2016-06-30,USD,97000,71246000,774000,-677000,-71923000,-71322000,20478000,0,-71322000,0,50768000,None,-71923000,0,-601000,None,None,None,0,0,0,0,0,0,-71322000,-71322000,None
2016-03-31,USD,4000,50266000,11020000,4000,-50262000,-49762000,22775000,0,-49762000,0,27491000,None,-50262000,0,-500000,None,None,None,0,0,0,0,0,0,-49762000,-49762000,None
2015-12-31,USD,17000,45582000,45454000,17000,-45565000,-45784000,20466000,0,-45454000,0,25116000,None,-45565000,0,-111000,None,None,None,0,0,0,330000,-9101000,0,-45784000,-45784000,None
2015-09-30,USD,39000,39037000,38920000,39000,-38998000,-38906000,18729000,0,-38906000,0,20308000,None,-38998000,0,-92000,None,None,None,0,0,0,0,0,0,-38906000,-38906000,None
2015-06-30,USD,1000,39498000,39218000,1000,-39497000,-39378000,18379000,0,-39378000,0,21119000,None,-39497000,0,-119000,None,None,None,0,0,0,0,0,0,-39378000,-39378000,None
