fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-03-31,CAD,75520000,157788000,48115000,27405000,-112945000,-137395000,5601000,None,-147178000,-19813000,89351000,None,-82268000,None,6678000,-9815000,2197000,-4481000,None,None,None,-9815000,-60429000,None,-137363000,-137395000,None
2019-12-31,CAD,56027000,173579000,26112000,29915000,-1274706000,-1286129000,6775000,None,-1330177000,-19845000,119845000,None,-117552000,None,23877000,-24279000,2194000,-21683000,None,None,None,-24279000,-1190942000,None,-1305898000,-1286129000,None
2019-09-30,CAD,75245000,151683000,21537000,53708000,77246000,12756000,6048000,None,29611000,-76000,105889000,None,-76438000,None,17911000,19241000,977000,-16934000,None,None,None,19241000,122983000,None,10370000,12756000,None
2019-06-30,CAD,98942000,149144000,31941000,67001000,37328000,-193000,6025000,0,12136000,4410000,100374000,0,-50202000,0,8297000,14404000,875000,-7422000,0,0,0,14404000,69760000,0,-2268000,-193000,0
2019-03-31,CAD,65145000,140579000,46321000,18824000,-125745000,-158354000,3516000,0,-169121000,5819000,106358000,0,-86413000,0,13993000,-8926000,-81455000,-12067000,0,0,0,-8926000,-81620000,0,-160195000,-158354000,0
2018-12-31,USD,39725766.24,94351077.87,16157794.40,23567971.84,-54625311.63,-174330547,1327907.32,0,-205279366.48,5616659.33,48659627.51,0,-54625311.63,0,-7484968.47,None,None,None,0,0,0,-29562985.78,-150654054.85,0,-175716380.70,-174330547,0
2018-09-30,USD,29674000,126567000,21624000,8050000,-96893000,105462000,3426000,0,108714000,3398000,65319000,0,-96893000,0,-8362000,None,None,None,0,0,0,4533000,205607000,0,104181000,105462000,0
2018-06-30,USD,19147000,58862000,-1460000,20607000,-39715000,79869000,923000,0,84643000,4562000,37318000,0,-39715000,0,-8021000,None,None,None,0,0,0,5376000,124358000,0,79267000,79869000,0
2018-03-31,USD,16100000,41110000,8485000,7615000,-25010000,-19215000,477000,None,-21968000,10704000,15727000,None,-25010000,None,-1893000,None,None,None,None,None,None,-1173000,3042000,None,-20795000,-19215000,None
2017-12-31,USD,9326424.87,20730171.38,3993622.96,5170187.33,-11403746.51,6155440.41,137106.42,0,7962534.87,5414906.34,16207253.89,None,-11403746.51,0,1323236.35,None,None,None,0,0,0,2227182.14,19365484.26,0,5734555.60,6155440.41,None
2017-09-30,USD,6594451.99,7456231.51,-448477.10,7042929.09,-861779.52,2845950.92,85538.41,0,3727716.04,5430490.05,7397873.53,None,-861779.52,0,1611639.62,None,None,None,0,0,0,881765.13,4589495.56,0,2845950.92,2845950.92,None
2017-06-30,USD,4578480.52,0,0,0,0,0,94870.81,0,0,0,6366371,None,0,0,1410721.17,None,None,None,0,0,0,0,0,0,0,0,None
2017-03-31,USD,3887177.95,0,0,0,0,104409.22,39059.57,0,208818.45,0,5562983.55,None,0,0,962968.53,None,None,None,0,0,0,104409.22,0,0,0,104409.22,None
2016-12-31,USD,2891055.22,0,0,0,0,0,73671.68,0,0,0,4889120.40,None,0,0,1340973.36,None,None,None,0,0,0,0,0,0,0,0,None
2016-09-30,USD,2339096.66,0,2221799.07,0,0,0,30466.91,0,0,0,2313199.79,None,0,0,2314723.13,None,None,None,0,0,0,0,0,0,0,0,None
2016-06-30,USD,943907.16,0,4095164.41,0,0,0,193423.60,0,0,0,1849903.29,None,0,0,726499.03,None,None,None,0,0,0,0,0,0,0,0,None
2016-03-31,USD,168383.82,0,0,0,0,1942949.41,84576.35,0,1914501,0,1055666.62,None,2051360.91,0,146855.30,None,None,None,0,0,0,0,0,0,0,1942949.41,None
2015-12-31,USD,0,0,0,0,0,428437.25,78029.04,0,428437.25,0,1023047.47,None,486959.03,0,81641.50,None,None,None,0,0,0,0,0,0,0,428437.25,None
2015-09-30,USD,0,0,0,0,0,0,72850.17,0,0,0,765302.29,None,0,0,150957.57,None,None,None,0,0,0,0,0,0,0,0,None
2015-06-30,USD,0,0,0,0,0,0,166493.24,0,0,0,1328744.10,None,0,0,163291.44,None,None,None,0,0,0,0,0,0,0,0,None
2015-03-31,USD,0,0,0,0,0,0,89060.53,0,0,0,656525.85,None,0,0,66204.29,None,None,None,0,0,0,0,0,0,0,0,None
