fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-06-30,USD,2890622000,2731000,587878000,None,2554642000,335980000,None,None,224520000,95570000,12194000,19925000,2233106000,66797000,None,None,None,15890000,22494000,None,486560000,316055000,271829000,None,99958000,None,None,None,None,None,None,None,None,None,None,None,None,None,49958000,None,None,None,None,None,None,None,None,None,None
2020-03-31,USD,2719658000,2785000,675135000,None,2387358000,332300000,None,None,224233000,93721000,8641000,19925000,1985674000,142365000,None,None,None,14346000,22533000,None,493545000,312375000,280390000,None,49916000,None,None,None,None,None,None,None,None,None,None,None,None,None,49916000,None,None,None,None,None,None,None,None,None,22000000
2019-12-31,USD,2910379000,3027000,914859000,13970000,2583884000,326495000,None,None,230265000,91669000,12453000,19925000,1943770000,466328000,2506755000,None,None,4561000,22536000,489432000,426989000,306570000,282461000,None,49873000,278000,2499046000,None,None,None,None,None,None,None,None,None,None,None,49873000,None,None,None,None,None,None,None,None,None,23000000
2019-09-30,USD,2410198000,3112000,455138000,15216000,2081487000,328711000,None,None,237687000,84529000,22433000,19925000,1903765000,69744000,1995320000,None,None,6495000,19688000,98300000,361008000,308786000,286785000,None,125831000,278000,1854272000,None,None,None,None,None,None,None,None,None,None,None,49831000,None,None,None,None,None,None,None,None,None,23000000
2019-06-30,USD,2389680000,3095000,499441000,5900000,2052965000,336715000,None,None,256791000,76343000,14720000,19925000,1869043000,77138000,1974056000,None,None,3581000,20037000,92545000,380635000,316790000,348723000,None,131789000,971000,1851531000,None,None,None,None,None,None,None,None,None,None,None,49789000,None,None,None,None,None,None,None,None,None,24000000
2019-03-31,USD,2855887000,4241000,604677000,408639000,2535260000,320627000,None,607153000,276346000,47191000,9659000,17135000,1824693000,143169000,2457479000,None,None,-2910000,19730000,555162000,431484000,303492000,402640000,None,49746000,971000,1847184000,None,None,None,None,None,None,None,None,None,None,4068000,49746000,None,None,None,None,None,None,None,None,None,25000000
2018-12-31,USD,2955440000,2983000,None,397701000,2631787000,323653000,None,591649000,291771000,42187000,33893000,17135000,1824893000,258935000,2548190000,None,None,-10305000,9779000,668928000,431722000,306518000,9457000,None,49704000,874000,1952514000,None,None,None,None,None,None,None,None,None,None,None,49704000,None,None,None,None,None,None,None,None,None,26000000
2018-09-30,USD,2882721000,4867000,None,10986000,2562484000,320237000,0,None,305300000,33357000,32542000,21690000,2133903000,168689000,2480280000,None,None,-18420000,17371000,206113000,498777000,296871000,20898000,None,49662000,968000,2379824000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,26000000
2018-06-30,USD,2690674000,5322000,None,12012000,2373904000,316770000,0,None,304793000,26844000,27838000,21690000,2027128000,98089000,2296446000,279479000,279479000,-14867000,16878000,129498000,490158000,293108000,14712000,None,49620000,1288000,2066587000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,26000000
2018-03-31,USD,2718665000,30357000,None,9135000,2411606000,307059000,0,2096300000,300893000,6166000,32874000,21759000,649451000,102772000,2334515000,287792000,287792000,-12527000,15475000,125117000,496679000,283009000,9669000,None,49577000,1762000,2096300000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,26000000
