fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,0,89666,None,None,562479,None,None,1073405,-5770801,-1126399,-3629973,None,17710,None,None,None,None,960046,0,None,None,None
2020-03-31,USD,0,-989557,None,None,562479,None,None,-590430,-4948707,-5070380,-5070380,182837,17709,None,None,None,None,667338,0,None,None,-5070380
2019-12-31,USD,-52887,320953,-52887,None,562479,0,None,-45860,-5156284,-4044263,-3991376,164708,17709,None,92270,None,None,661538,52887,None,None,-4044263
2019-09-30,USD,8880,-1509263,8880,None,562479,0,None,-1196818,-5251473,-7366292,-7375172,-179834,13498,None,92270,None,None,568884,126080,None,None,-7366292
2019-06-30,USD,-46022,1890526,-46022,None,None,92272,None,388749,-11041507,-8343232,-8389482,-24112,17527,None,92272,None,None,768084,46022,None,None,-8343232
2019-03-31,USD,-88938,-2759972,-88938,None,None,0,None,-1491027,-7968705,-9839857,-9750919,296283,9548,None,None,None,None,671927,88938,None,None,-9839857
2018-12-31,USD,None,3425304,-10699,None,None,87078,None,3069635,-8496286,-4514126,-4590505,82721,11120,None,87078,None,None,386636,10699,None,None,-4514126
2018-09-30,USD,None,-576961,-69796,0,None,42662028,38747,-877750,-3965511,37841637,-4750595,-566421,5583,0,42662028,0,0,352715,69796,None,None,37841637
2018-06-30,USD,None,253897,-5380,0,None,42662028,38747,-50763,-4835490,-4024852,-4019472,230876,4817,0,0,0,0,326428,5380,None,None,-4024852
2018-03-31,USD,None,444817,-9752,0,None,-38747,-38747,268113,-3983604,-3275730,-3227231,52958,6224,0,-38747,0,0,252374,9752,None,None,-3275730
2017-12-31,USD,None,-287538,967000,0,5500000,26938000,-68530,-282338,-14194431,13810337,-14095256,None,3997,0,21506842,0,0,663153,63000,None,None,None
2017-09-30,USD,None,659970,977600,980123,5630110,15147918,-68530,167255,-8375906,8190911,-7934607,-505394,2711,0,9586338,0,0,284012,2523,None,None,8190911
2017-06-30,USD,None,-384429,50000,0,-65339,-65339,None,-111901,-678192,-998322,-932983,81361,0,0,0,0,0,48277,0,None,None,-998322
2017-03-31,USD,None,-277402,50000,50000,-64771,348891,-62974,810973,-926272,-622275,-1021166,134231,0,0,413662,0,0,48277,0,None,None,-622275
2016-12-31,USD,None,37000,-1582,0,5500000,7995000,-155162,-533561,-6699562,1035473,-6957782,None,3532,0,0,0,0,63803,2000,None,None,None
2016-09-30,USD,None,-641273,-1221,0,-37476,268010,None,None,-2005904,-2033060,-2301070,150816,52045,0,305486,0,0,143246,1221,None,None,-2033060
2016-06-30,USD,None,-457770,-736,0,-55724,-78493,None,None,-2104721,-2108089,-2028860,279118,65653,0,-22769,0,0,188860,736,None,None,-2108089
2016-03-31,USD,None,-709787,-485,None,-55144,-82656,None,None,-2160394,-2628315,-2545174,98565,72589,None,-27512,None,None,153853,485,None,None,-2628315
2015-12-31,USD,None,-233913,-9279,0,2052800,3952285,-100515,-278777,-3667697,796692,-3146314,None,1112,0,0,0,0,1032961,9279,None,None,None
2015-09-30,USD,None,-716112,-58165,None,None,502696,-5028,None,-2793980,-2691060,-3135591,84046,89019,None,507724,None,None,201436,58165,None,None,-2691060
2015-06-30,USD,None,-591233,-5368,None,None,12203961,None,None,-3496881,8710680,-3487913,289553,94002,None,12099104,None,None,216646,5368,None,None,8710680
