fiscalDateEnding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents
2020-06-30,USD,-1488656000,55311000,-1531694000,-33821000,823618000,805833000,-889000,718499000,466389000,-14735000,711126000,666145000,16489000,-11762000,-5134000,None,-45181000,-448027000,9217000,-45181000,None,-14735000
2020-03-31,USD,-312526000,472609000,-278496000,42500000,16300000,-134496000,-56332000,287605000,-88674000,197462000,610454000,207798000,16631000,-11584000,-82880000,None,-418457000,420547000,8470000,-418457000,None,197462000
2019-12-31,USD,6043154000,-93199000,-556007000,145533000,-21644000,-34166000,69183000,154629000,312768000,-84853000,505320000,187399000,21890000,1107000,0,None,91013000,-14551000,10202000,91013000,None,-84853000
2019-09-30,USD,7677977000,250921000,-503532000,28375000,137283000,-37411000,600000,306598000,399189000,289672000,830615000,231111000,20003000,2414000,557000,None,-26715000,-43894000,11276000,-26715000,None,289672000
2019-06-30,USD,8888176000,57981000,-452151000,80847000,3800000,-50604000,-37208000,126395000,485845000,-25629000,477126000,49585000,19794000,4497000,1344000,None,-16913000,-119166000,6936000,-16913000,None,-25629000
2019-03-31,USD,7444470000,218998000,-294793000,93731000,59000000,41519000,29618000,-3821000,495498000,-17876000,235398000,-66426000,20417000,4497000,2871000,None,-285137000,-147952000,9423000,-285137000,None,-17876000
2018-12-31,USD,8489743000,-77939000,-163937000,36491000,51000000,-252066000,-43810000,226789000,56324000,22332000,438335000,237047000,26147000,4498000,-382925000,None,-8049000,204805000,10759000,-8049000,None,22332000
2018-09-30,USD,7970347000,37410000,-492482000,-8266000,36680000,-3715000,39231000,194548000,248766000,127904000,624101000,199813000,26315000,4497000,0,0,33703000,78094000,5808000,33703000,None,127904000
2018-06-30,USD,7186303000,-2540000,160313000,-9924000,90994000,-394124000,-14737000,-247580000,256347000,-137105000,96706000,-282907000,26472000,4497000,0,0,-3178000,102512000,9002000,-3178000,None,-137105000
2018-03-31,USD,9681267000,231279000,-57914000,-40037000,39585000,-338905000,-161567000,165749000,166384000,3361000,400180000,112115000,26736000,4497000,92555000,0,-233772000,97438000,4240000,-233772000,None,3361000
2017-12-31,USD,-1403893000,8529000,-1359996000,94447000,56415000,-3405000,-113779000,450815000,214640000,-236743000,1112617000,None,125778000,-46041000,0,0,-31405000,-168690000,22841000,None,None,None
2017-09-30,USD,8179803000,50933000,-544187000,13917000,166915000,132876000,27001000,487355000,-45217000,115756000,527067000,499939000,31824000,4497000,228892000,0,0,-65767000,5759000,55355000,6285000,122041000
2017-06-30,USD,9422408000,37819000,-214517000,33395000,50000000,-100121000,5253000,171059000,199099000,31311000,345949000,141061000,30824000,4497000,-2848000,0,0,-16706000,5909000,-46148000,5255000,36566000
2017-03-31,USD,10476918000,179357000,-121878000,-19603000,22000000,-227669000,-180946000,-40686000,274035000,-141429000,208118000,-40686000,31294000,4497000,-3990000,0,0,-59532000,5194000,-176350000,2241000,-139188000
2016-12-31,USD,-495299000,31542000,-2721543000,-218221000,1167570000,1635669000,138944000,564007000,74013000,289616000,1396644000,None,19343000,-28070000,763200000,0,-71613000,45600000,15303000,None,None,None
2016-09-30,USD,28199895000,114643000,-899440000,8955000,179171000,467176000,11443000,176020000,303620000,63651000,495915000,122117000,0,33454000,511642000,0,0,-124370000,19849000,79905000,-1426000,62225000
2016-06-30,USD,-123288000,62978000,-122401000,5219000,-59000000,-126412000,-55741000,-11599000,249357000,-30132000,218681000,16350000,0,-9982000,-1689000,0,0,-48538000,4332000,-61466000,-11238000,-41370000
2016-03-31,USD,-236052000,254282000,-233267000,6737000,-74171000,-86973000,72233000,127869000,175627000,2303000,322543000,127869000,0,-9981000,-75054000,0,0,-17887000,3952000,-217348000,2332000,4635000
2015-12-31,USD,-850246000,83626000,-913875000,-48711000,431362000,-4656000,-53558000,161525000,58579000,67624000,997906000,None,22926000,-21938000,0,0,-26783000,218874000,15736000,None,None,None
2015-09-30,USD,-450206000,121353000,-461596000,-43654000,239077000,172540000,-51569000,None,64000000,133324000,422380000,25597000,0,-9981000,-4987000,0,0,113529000,32264000,97901000,-8619000,124705000
2015-06-30,USD,-76755000,-10164000,-83773000,3250000,None,-168332000,38039000,None,125819000,47633000,299738000,155849000,0,-9982000,-196389000,0,0,42629000,10268000,-14395000,6429000,54062000
