fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-06-30,USD,2291835000,1799319000,None,2291835000,492516000,298821000,None,None,492516000,167568000,17920000,None,492516000,1799319000,31139000,26127000,None,-31139000,None,None,None,26127000,3527000,None,466389000,288418000,10403000
2020-03-31,USD,1533828000,1594557000,None,1533828000,-60729000,144117000,None,None,-60729000,-232791000,20796000,None,-60729000,1594557000,32555000,27945000,35907000,-32555000,None,None,None,27945000,15400000,None,-88674000,133714000,10403000
2019-12-31,USD,1743554000,1403450000,None,1743554000,340104000,326384000,None,None,340104000,-13616000,26837000,None,340104000,1403450000,31199000,27336000,-56366000,-31199000,None,None,None,27336000,5440000,None,312768000,315981000,10403000
2019-09-30,USD,1682660000,1245355000,None,1682660000,437305000,392453000,None,None,437305000,6736000,17061000,None,437305000,1245355000,31328000,38116000,18926000,-31328000,None,None,None,38116000,4664000,None,399189000,382050000,10403000
2019-06-30,USD,1779140000,1248823000,977632000,1779140000,530317000,468954000,None,None,530317000,16891000,18251000,None,530317000,1248823000,29280000,44472000,-1696000,-29280000,None,None,None,44472000,7082000,None,485845000,458551000,10403000
2019-03-31,USD,1722846000,1181462000,916380000,1722846000,541384000,448528000,None,None,541384000,46970000,17962000,None,541384000,1181462000,29065000,45886000,21327000,-29065000,None,None,None,45886000,9908000,None,495498000,438125000,10403000
2018-12-31,USD,1352020000,1260684000,1036992000,1352020000,91336000,136494000,0,0,91336000,-80170000,29364000,None,91336000,1260684000,-29774000,None,None,None,0,0,0,35012000,-2666000,0,56324000,126091000,10403000
2018-09-30,USD,1403784000,1121662000,901022000,1403784000,282122000,227408000,0,0,282122000,21358000,13244000,None,282122000,1121662000,-29730000,None,None,None,0,0,0,33356000,-19983000,0,248766000,217006000,10402000
2018-06-30,USD,1410809000,1130794000,928991000,1410809000,280015000,243646000,0,0,280015000,12701000,15604000,None,280015000,1130794000,-30344000,None,None,None,0,0,0,23668000,16454000,0,256347000,233243000,10403000
2018-03-31,USD,1283955000,1095656000,828236000,1283955000,188299000,150423000,0,0,188299000,15961000,14482000,None,188299000,1095656000,-30636000,None,None,None,0,0,0,21915000,-51187000,0,166384000,137276000,13147000
2017-12-31,USD,1392454000,5365285000,1057378000,1884471000,1266502000,214640000,0,0,258605000,1280804000,44921000,None,290155000,648273000,30496000,None,None,None,0,0,0,56813000,-255363000,0,799089000,203535000,None
2017-09-30,USD,1479554000,1516582000,1410122000,1479554000,-37028000,-33656000,0,0,-37028000,-11561000,45932000,None,-37028000,1516582000,29510000,None,None,None,0,0,0,8189000,0,0,-45217000,-52760000,19104000
2017-06-30,USD,1407537000,1174269000,1050277000,1407537000,233268000,185167000,0,0,233268000,13932000,53025000,None,233268000,1174269000,28749000,None,None,None,0,0,0,34169000,0,0,199099000,173818000,11349000
2017-03-31,USD,1319176000,1016744000,909578000,1319176000,302432000,253127000,0,0,302432000,20908000,43502000,None,302432000,1016744000,28676000,None,None,None,0,0,0,28397000,0,0,274035000,241909000,11218000
2016-12-31,USD,977802000,2691109000,883060000,1610332000,925204000,74013000,0,0,83276000,21561000,6941000,None,87801000,626038000,18539000,None,None,None,0,0,0,18143000,-61951000,0,843645000,62396000,None
2016-09-30,USD,1197501000,880650000,838736000,1197501000,316851000,252872000,0,0,316851000,50748000,16208000,None,316851000,880650000,15943000,None,None,None,0,0,0,13231000,0,0,303620000,247388000,5484000
2016-06-30,USD,1191152000,927664000,914583000,1191152000,263488000,211055000,0,0,263488000,38302000,22080000,None,263488000,927664000,15663000,None,None,None,0,0,0,14131000,0,0,249357000,205570000,5485000
2016-03-31,USD,1086676000,894739000,840935000,1086676000,191937000,154798000,0,0,191937000,20829000,14131000,None,191937000,894739000,16107000,None,None,None,0,0,0,16310000,0,0,175627000,149314000,5484000
2015-12-31,USD,911683000,3389640000,838998000,1222909000,546950000,58579000,0,0,39456000,944013000,12243000,None,60442000,603288000,15827000,None,None,None,0,0,0,11450000,20244000,0,526582000,53094000,None
2015-09-30,USD,932590000,858886000,849527000,932590000,73704000,80033000,0,0,73704000,-16033000,10739000,None,73704000,858886000,13300000,None,None,None,0,0,0,9704000,0,0,64000000,74549000,5484000
2015-06-30,USD,1019652000,887053000,846041000,1019652000,132599000,115790000,0,0,132599000,10029000,17418000,None,132599000,887053000,4011000,None,None,None,0,0,0,6780000,0,0,125819000,110305000,5485000
